	question	option1	option2	label
0	What can I use to sketch	The best thing to use is a graphite pencil	The best thing to use is a graphite marker	0
1	mousse	be wrapped in a piece of paper 	be wrapped in a jar 	0
2	How to make a vodka and soda?	Put some ice in a glass. Measure an ounce and a half of vodka in glass. Finish the cocktail with soda.	Put some ice in a glass. Measure an ounce and a half of soda in a glass. Finish the cocktail with vodka.	0
3	What's a way to take my dog for a walk?	Introduce him to the collar or harness and leash. ...    Teach a cue. ...    Make him come to you. ...    Practice inside. ...    Take it outside. ...    If he pulls: If your dog starts pulling in the other direction, turn yourself into “a tree.”	Introduce him to the collar or steel harness and leash. ...    Teach a cue. ...    Make him come to you. ...    Practice inside. ...    Take it outside. ...    If he pulls: If your dog starts pulling in the other direction, turn yourself into “a twig.”	0
4	To melt the marshmallows for the marshmallow jello fondant	melt the marshmallows for 50 seconds on half power, take out and stir, melt for 45 seconds on half power, and mix one more time	freeze the marshmallows for 50 seconds on half power, take out and stir, melt for 45 seconds on half power, and mix one more time	0
5	how to winterize windows	install window insulation film, seal with a hair dryer	install window insulation washer fluid, seal with a hair dryer	0
6	If you don't own an ironing board	throw your wrinkled clothes in a dryer for thirty minutes with a wet sock.	throw your wrinkled clothes in a dryer for thirty minutes with a wet hand.	0
7	To separate egg yolks from egg whites for a recipe, you can	Crack the egg and carefully catch the yolk in the shell	Crack the egg and carefully catch the white in the shell	0
8	How to check level with containers on wood plank.	Using a level, place it on the corner of the plank with the containers a few inches apart. If it is showing it is leveled, then leave, if it is not then adjust plank.	Using a level, place it on the middle of the plank with the containers a few inches apart. If it is showing it is leveled, then leave, if it is not then adjust plank.	1
9	make charcoal	use lighter fluid	wrap lint in aluminum foil and set on fire	1
10	How can I attach LED lights to paperclips?	Use magnets to attach LED lights to paperclips.	Use a hot glue gun to attach LED lights to paperclips.	1
11	steam roller	flattens buildings 	flattens asphalt 	1
12	How can I save my milk if I am going to be leaving town for a bit?	Freeze the milk, but make sure the jug is not more than 5/4 full at most. Then just let the milk thaw when you get back.	Freeze the milk, but make sure the jug is not more than 3/4 full at most. Then just let the milk thaw when you get back.	1
13	To make presentation for pancakes.	You can dust some sugar powder for the presentation by sprinkling some powder on top of the pancakes and napkin.	You can dust some sugar powder for the presentation by sprinkling some powder on top of the pancakes and plate.	1
14	To stop the clock in a basketball game,	throw the ball out of bounds.	call a time out.	1
15	box cutter	can hold wood together like nails 	can be used with nails as crude weaponry.	1
