	sentence	label
0	chris jones ( malik yoba ) is a strong , independent , black man who finds himself lost on a desolate road .	0
1	when a cia agent is killed during a nuclear arms purchase , his partner oakes ( anthony hopkins ) , recruits his twin brother , jake hayes ( chris rock ) .	0
2	she 'll just have to remember everything for the both of them .	0
3	when his mom named him after warren beatty . . .	0
4	explores the question of whether it 's ever too late to say 'i love you ' .	0
5	the story unveils three high school seniors who dress and live by the philosophy of `` goth , `` good friends and great rebels : digger , noisy , and dvd .	0
6	later , otte distributes the donations he 's collected throughout the year .	0
7	they all collide during the course of a typical no thrills weekend an urban fairy tale-romantic comedy , in which nola , an aspiring songwriter , leaves an abusive kansas home and journeys to new york to find her biological father .	0
8	upon sighting a small , previously not there , diner , he pulls in to find help .	0
9	a friendly vacation for four old friends - two couples from college - turns ugly . . . then	0
10	using previously unseen video footage , the film shows rocha all jerky and with florid rhetoric urging his cuban comrades to embrace the new political and cultural challenges of the age ; outlining his vision of a unified third world ; and expounding on the differences and peculiarities of latin americans and the means by which their revolutionary aims might be achieved .	0
11	they gradually find themselves drawn to each other but , as their remarkable story plays out , the obstacles to their happiness prove all but insurmountable .	0
12	a few days later , during the ancient festival of samhain , a group of american university students moves in a beautiful cottage , surrounded by a lush forest and a majestic lake they are here to learn about the rituals of the ancient druids and other celtic legends .	0
13	he has yet to break out from under his mentor 's shadow until he finds a pair of love letters in the textbook that once belonged to one of his idols , a famous long dead victorian poet .	0
14	the story is set in a place called attic town , where the great syndicate robs and kills anyone who stands in their way .	0
15	in the small town , local cop connie struggles with many sightings of a mothlike creature taller than a man being reported , while john believes that an explanation for his wife 's fate can be found .	0
16	in a futuristic world , a strict regime has eliminated war by suppressing emotions : books , art and music are strictly forbidden and feeling is a crime punishable by death .	0
17	nete 's husband seeks comfort outside of their home , her daughter begins to rebel , and as the relationship between nete and her father has not been too good for years , things are bound to explode .	0
18	big-shot executive robert stiles ' car is damaged when parked at the lodge .	0
19	an art whose medium is one of flesh and bone .	0
20	it is no coincidence that funding for `` anti-graffiti `` campaigns often outweighs funding for the arts .	0
21	those who score well are recruited into a secret paramilitary academy .	0
22	he works as an illustrator at a news paper and his life is pretty okay .	0
23	testing his theories with a time machine of his own invention , hartdegen is hurtled 800 , 000 years into the future , where he discovers that mankind has divided into the hunter - and the hunted .	0
24	the film shows the surreal side of routines that seem simple and ordinary .	0
25	after taking a look at the people around her and examining her life 's choices , lucy decides that it would be unfair to give up this baby just because she did n't do what she wanted to with her own life .	0
26	with the help of another innocent prisoner ( richard harris ) , he escapes the island and proceeds to transform himself into the wealthy count of monte cristo as part of his plan to exact revenge .	0
27	upon his arrival he hears talk about monroe hutchen ( snipes ) who is the top ranked prison boxing champ 10 years running .	0
28	so when charlie sees mallory with her new boyfriend , curtis , he goes a bit mad .	0
29	a demand for money is made and the men wait for payment .	0
30	when longfellow deeds , a small-town pizzeria owner and poet , inherits $ 40 billion from his deceased uncle , he quickly begins rolling in a different kind of dough .	0
31	the country was at the start of a rapid process of industrialization and social change .	0
32	while the subject 's appeal is limited and the film 's 106-minute running time excessive , viewers who do respond to the pic will find it raw , real and cathartic .	1
33	recoing 's fantastic performance does n't exactly reveal what makes vincent tick , but perhaps any definitive explanation for it would have felt like a cheat .	1
34	the only young people who possibly will enjoy it are infants . . . who might be distracted by the movie 's quick movements and sounds .	1
35	this formulaic chiller will do little to boost stallone 's career .	1
36	think 'glengarry glen ross ' without the mamet dialogue , and that 's kinda what you 'll get here .	1
37	the director has injected self-consciousness into the proceedings at every turn . the results are far more alienating than involving .	1
38	it is bad , but certainly not without merit as entertainment .	1
