premise	hypothesis	label
Splashing through the churning seas, a parasailer hangs on to his tow rope.	The parasailer is hanging on	0
A man building a fire.	A man with materials for a fire.	0
two guys sitting on the floor, with the guy in the green jacket reading a piece of paper.	Two men are together on the floor.	0
A boy on a skateboard grinding down a handrail.	The boy is on top of the skateboard outdoors.	0
People are walking around a yard sale in the snow.	People are at a snowy yard sale.	0
Teen girl in a parka kissing teen boy in a brown jacket on a snowy street	Some teenagers are outside kissing.	0
A dark-haired woman wearing white sunglasses with a green tank top, green beads and a green button carrying a brown clutch with a funny smile on her face.	A human carrying	0
A young boy drives a Power Wheels motorcycle with an American flag attached to the back.	A young boy rides a toy motorcycle.	0
Adults and children gathered outdoors under a slatted roof socializing	Adults and children and gathered around to socialize.	0
Two men, one in colorful jacket and other in blue jacket, looking at sun in solar telescopes.	The men were using solar telescopes	0
A boy in blue and white on rollerskates holds hockey stick with a black ball at the end of it.	A boy is playing sports.	0
Group of rollerskaters in a skate park.	There are a group of people with rollers kates in a park.	0
A woman sitting on a train in between two people holding a white box and closing her eyes.	The woman can not see anything.	0
A man in a kayak is holding his paddle up high.	A man is in a kayak.	0
Five women wearing scarves, sitting in a row, on the ground in front of an old stone wall working with their hands.	Five women are outside.	0
Several youths in black and white shirts and blue jeans walk down a street.	Several youths are wearing clothes.	0
A man in a blue jacket stands among street stands.	A man stands among pine trees.	1
A young child with a red belt does a demonstration.	The child is demonstrating his science project.	1
A man standing at a urinal with a coffee cup.	The man in the bathroom was afraid someone would take his coffee.	1
man in turquoise shirt reading new paper in a newsstand.	The man in the turquoise shirt is going to purchase the newspaper.	1
A man sits on top of a blue ball, and holds an infant, while a smiling toddler behind him hangs onto his back.	The ball is big	1
three males and a female watch as a biker fixes a chain that has come off his gear on his bike.	The people watching are spectators.	1
A person chopping wood in the winter.	the person is a woman	1
A DJ with one hand on his headphones and one hand on his turntable.	The DJ is playing for a crowd	1
One asian woman resting her head on another asian woman's lap with two parasols behind them.	The sisters are riding on a boat.	1
A couple enjoy a beautiful day bicycling on a bike trail wearing bicycling safety helmets and gloves.	A married couple is taking their daily bike ride.	1
A dog jumps over the sand.	A dog jumps on the sand.	1
An older man and a young girl are looking a fish in pool at a shopping mall.	A grandpa is with his granddaughter at the mall.	1
A group of volunteers working with children to do a toy drive outside of a toys r us for children in need.	Ten children.	1
black male wearing Run DMC t-shirt giving another black male a haircut	black male wearing Run DMC t-shirt giving another black male a fade haircut	1
A guy wearing a blue t-shirt, a green and white hat, shorts and sandals is cleaning out an enclosed pool.	pool soon to open	1
An Asian man in a polo shirt repairs a tennis shoe.	An asian man in shorts repairs a tennis shoe.	1
Two guys are playing a shooting cideo game while two girls watch.	the man shoots at the game alone	2
A woman wearing a scarf covering her head and a long dress shops for vegetables at an open air market.	A boy plants flowers.	2
Two women share an umbrella and walk down a busy street during a rainstorm.	Swim teams are playing in the pool before the race.	2
Two men in blue jumpsuits, one holding a bandaged girl	Two men are playing cards.	2
Group performs a dance together.	Singers perform karaoke	2
The woman wearing a black and white jacket and red boots is also wearing headphones.	A woman is flipping though television channels on her couch.	2
A child is looking at a clown.	A girl dances in a tutu.	2
A young woman pushing a child on a swing, with two other children at a playground.	The child is not on a swing, he is at home watching TV.	2
The passenger is holding onto the load on top of the car.	A man unloads a uHaul van.	2
A woman with a baby browses in a bookstore.	The family is sitting by a lake.	2
A Dodgers player just beat the third-baseman's tag, in a very close play.	A man sits in a chair.	2
Two African American girls are eating lunch at a table in a cafeteria.	african american girls have no place to sit in cafeteria	2
Med sit with their produce in a street market.	The men sit with their goats at a street market.	2
A man with white hair and a long white beard is eating.	A lawnmower comes along and cuts the man's beard off.	2
A person is doing a trick on a wakeboard.	Person on water-skis.	2
A child playing in the ocean.	The child is inside a house.	2
