	question	option1	option2	label
0	Make a tea fountain leak proof so it functions properly	Once you have drilled holes for your pump and water line. Insert water line, apply silicone and allow to dry 24 hours to prevent leaks around the lines and drilled holes	Once you have drilled holes for your pump and water line. Insert water line,  silicone holes shut and allow to dry 24 hours to prevent leaks around the lines and drilled holes	0
1	To bake the best sponge cake.	Always use the freshest eggs possible. The whites of fresh eggs will whip up into a frenzy of air, whereas older eggs struggle to hold it together.	Always use the freshest eggs possible. The whites of fresh eggs will whip up into a frenzy of air, whereas older eggs struggle to cook at all.	0
2	how to fake a window shadow?	cut out shapes in a piece of cardboard.	use a light bulb and a piece of led strip lighting.	0
3	How do you repair a broken statue?	Use super glue.	Use glue paste.	0
4	make quinoa	Rinse quinoa in a fine mesh sieve until water runs clear, drain and transfer to a medium pot. Add 2 cups water and salt and bring to a boil. Cover, reduce heat to medium low and simmer until water is absorbed, 15 to 20 minutes. Set aside off the heat for 5 minutes; uncover and fluff with a fork.	Rinse quinoa in a fine mesh sleeve until water runs clear, drain and transfer to a medium pot. Add 2 cups water and salt and bring to a boil. Cover, reduce heat to medium low and simmer until water is absorbed, 15 to 20 minutes. Set aside off the heat for 5 minutes; uncover and fluff with a fork.	0
5	How to refill a hole in your garden	Use a gardening shovel to refill the dirt	Use a gardening hose to refill the dirt	0
6	To find the perfect temperature to cook pizza at	Set the oven between 450-500 degrees.	Slow cook the dough at about 200 degrees for 30 minutes.	0
7	To rinse spare ribs to begin using them for a recipe, you can	Give them a gentle rinse under cold water	Give them a gentle rinse under boiling water	0
8	To update android mobile application.	Search for the application to be updated and click on it to download the update.	Open the play store application and navigate to update the application	1
9	To get soil and roots to release gently from germination bed.	Bang the outside of the pot.	Rub the outside of the pot.	1
10	vise grip	instead of tissue tissue 	holding  tissue 	1
11	To easily recreate an image many times repeatedly,	try and memorize the proportions and quickly draw them again	recreate the image with a stencil and then spray paint over it.	1
12	To cover edible flowers with egg white evenly.	Beat the egg white in a small bowl just a bit, until slightly foamy. The aim is to break the albumen completely without whisking much air in. This will help you cover the petals evenly. Hold the flower with one hand, dip the paint brush into the egg white and cover the flower like you were painting it. Cover both sides of the petals completely but with a thick layer.	Beat the egg white in a small bowl just a bit, until slightly foamy. The aim is to break the albumen completely without whisking much air in. This will help you cover the petals evenly. Hold the flower with one hand, dip the paint brush into the egg white and cover the flower like you were painting it. Cover both sides of the petals completely but with a thin layer.	1
13	To check if a piece of chicken is cooked all the way through,	insert a meat thermometer into the middle of the breast and check for 50 degrees.	insert a meat thermometer into the middle of the breast and check for 165 degrees.	1
14	How to prepare rainwater for cooking or drinking?	Use a large saucepan to store the water and then cool it in the fridge to use	Use a large saucepan to boil the water and then cool it in the fridge to use	1
15	how do you turn off an iphone alarm?	press the repeat button on the screen.	press the stop button on the screen	1
