	question	option1	option2	label
0	Water	can be frozen 	can be burnt 	0
1	toilet roll	can be used to make paper mache  when wet	can be used to make a fire when wet	0
2	How can I clean the top of a fan?	Get a ladder, stand on it, then spray cleaner and wipe it down	Get a ladder, stand on it, then spray cleaner and let it sit	0
3	how to add more flavor to a broth?	add a few teaspoons of tomato concentrate.	boil with a few egg shells and parsnip tops.	0
4	How to clean a glue gun.	While the glue gun is still hot use a ball of aluminum foil to wipe it off.	While the glue gun is still hot use a ball of rubber bands to wipe it off.	0
5	shoe	can crush a bug 	can crush a car 	0
6	How do you separate an egg with your hands?	Crack the egg on the side of a bowl. Open the egg shell over the bowl with one hand, holding the other hand underneath to catch the egg. Allow the egg white to drip through your open fingers into the bowl.	Crack the egg over the counter. Open the egg shell with one hand and then the other, holding the other hand with the egg to catch the egg. Allow the egg to drip through your hands onto the counter.	0
7	To ensure that chopped zucchini stays firm	Take care to remove seeds	Take care to include seeds	0
8	How to hide the cord for a wall-mounted light?	You can hide the cord behind a curtain.	You can hide the cord behind a window.	0
9	poster	to display sports fandom to friends	to display inner demons to friends	0
10	To prepare a pumpkin to use for cooking, you can	Make sure to remove all of the seeds and pulp	Make sure not to remove the seeds and pulp	0
11	how do you use a kcup machine?	put the pod in and start it.	pour the contents of the pod in and start it.	0
12	Decorate a wooden shelf	Measure the wooden shelf, mark the measurements with a pencil onto a piece of self adhesive wallpaper, cut out the piece and tear the back film off the wallpaper, apply to the shelf, slide a book over to flatten the wallpaper, let dry over night	Measure the wooden shelf, mark the measurements with a pencil onto a piece of paste wallpaper, cut out the piece and tear the back film off the wallpaper, apply to the shelf, slide a book over to flatten the wallpaper, let dry over night	0
13	How to tie shirt for tie dying.	Tie rubber bands around shirt in different patterns.	Tie wire around shirt in different patterns.	0
14	wash cloth	is dried in the dryer while bathing	is dried in the shower while bathing	0
15	How to trace baby's foot.	On a white sheet of paper, place baby's foot on the paper. With a pencil, trace the outline of the baby's foot.	On a black sheet of paper, place baby's foot on the paper. With a pencil, trace the outline of the baby's foot.	0
16	How to tell when a pancake is done cooking.	It's fully cooked when it becomes puffy in the middle.	It's fully cooked when it becomes flat in the middle.	0
17	Keep bathroom tiles clean.	Polish bathroom tiles with car wax to keep them clean.	Scrub tiles with salt to keep them scratch free and clean.	0
18	How do I prepare dry ingredients to make macarons?	Sift the powdered sugar, 1/3 at a time. Now sift the almond flour the same way, in the same bowl. Now whisk it until it's thoroughly combined	Sift the powdered sugar, 1/3 at a time. Now sift the almond flour the same way, in the same kitchen scale. Now whisk it until it's thoroughly combined	0
19	How to trim leather tassels evenly.	Cut across bottom of leather tassels with scissors in a straight line.	Cut across bottom of leather tassels with wire in a straight line.	0
20	To remove freshly baked, hot bread out of the pan,	slide a knife around the edge of the pan to release the loaf, then tip the bread out onto a wire rack to cool.	use a knife around the loaf to release it from the pan, and then put the bread onto a rack to cool.	0
