	question	option1	option2	label
0	How to clean glass windows.	In a spray bottle, mix 50% distilled vinegar and 50% tap water. Spray on window. Let it set for a few minutes then wipe clean with dry cloth.	In a spray bottle, mix 50% distilled vinegar and 50% tap water. Spray on window. Let it set for an hour then wipe clean with dry cloth.	0
1	To create your own sanding block, you can	Glue a piece of sandpaper to a block of wood	Glue a piece of sandpaper to a stack of paper	0
2	make spicy chocolate chip bark	1 12 - ounce package semisweet chocolate pieces    2 cups finely crushed corn tortilla chips*    1 -2 teaspoons crushed red pepper (optional)    directions    In a medium bowl, microwave chocolate for 1 minute. Stir. Continue to microwave and stir at 20-second intervals, until smooth. Stir in tortilla chips.    Spread or pat mixture on a parchment-lined baking sheet to a 12x8-inch rectangle (mixture will be thick). Sprinkle with crushed red pepper, if desired.    Freeze 15 minutes. Break into pieces. Store in refrigerator up to 5 days.	1 12 - ounce package semisweet chocolate pieces    2 cups finely crushed corn tortilla chips*    1 -2 cups crushed red pepper (optional)    directions    In a medium bowl, microwave chocolate for 1 minute. Stir. Continue to microwave and stir at 20-second intervals, until smooth. Stir in tortilla chips.    Spread or pat mixture on a parchment-lined baking sheet to a 12x8-inch rectangle (mixture will be thick). Sprinkle with crushed red pepper, if desired.    Freeze 15 minutes. Break into pieces. Store in refrigerator up to 5 days.	0
3	How do I shovel snow and not hurt my back?	Bend your knees and lift with your legs. As you lift the snow, keep the shovel blade close to you, to reduce back strain. Switch off between snow shoveling right-handed and left-handed, so that you're working different muscles.	Bend your knees and lift with your legs. As you lift the snow, keep the shovel blade away from you, to reduce back strain. Switch off between snow shoveling right-handed and left-handed, so that you're working different muscles.	0
4	How to make a cold cut sandwich.	Start with piece of bread, ad condiment such as mayo, ad preferred lunch meats, ad your choices of tomato, pickles, lettuce, peppers etc, top with another piece of bread.	Start with piece of bread, ad condiment such as mayo, ad preferred lunch meats, ad your choices of tomato, pickles, lettuce, peppers etc, top with another piece of bread and cook in microwave.	0
5	To tell your right and left ear buds apart without looking	Tie a small knot at the speaker end of the left hand one.	Tie a small knot at the connecting end of the left hand one.	0
6	Deodorize fish smell in kitchen.	Simmer pot of water with cinnamon sticks.	Simmer pot of water with chop sticks.	0
7	how to check meat for doneness	use an instant read thermometer	cut into the meat, if it's not done stick back in the pan	0
8	To reduce eye puffiness naturally.	Just put a metal spoon in the fridge overnight and when you wake up use it to reduce puffiness around tired eyes.	Just put a metal spoon in the oven overnight and when you wake up use it to reduce puffiness around tired eyes.	0
9	How can you get an Umbrella in a downpour?	Step into a bar.  Ask if there are any umbrellas in lost and found.  Leave them a nice tip and take your new umbrella.	Step into a Phone booth.  Ask if there are any umbrellas in lost and found.  Leave them a nice tip and take your new umbrella.	0
10	To separate egg yolks from egg whites for a recipe, you can	Crack the egg and carefully catch the yolk in the shell	Crack the egg and carefully catch the white in the shell	0
11	what to use as a base for sauces	make a roux	make a salad dressing	0
12	how to keep your pipes from freezing in the winter	open any cabinet doors covering plumbing in the kitchen and bathroom.	open any cabinet knobs and drawers covering plumbing in the kitchen and bathroom.	0
13	To chop basil	Stack basil leaves and roll into a cigarette. Slice leaves crosswise in a rocking motion with a sharp chef's knife to make thin ribbons..	Stack basil leaves and roll into a cigarette. Slice leaves lengthways in a rocking motion with a sharp chef's knife to make thin ribbons..	0
14	Add fluff to blankets.	Throw in tennis balls when drying blankets.	Throw in golf balls when drying blankets.	0
15	knees	can support a child 	can support a tv 	0
16	Measure something without a ruler.	Use a stack of rolled quarters.	Use a dollar bill which is 6 inches long.	1
17	How to create slingshot pellets	Tear a piece of paper in half until it is rectangular in shape and thick enough. Then fold the rectangle in half so that the rubber band is able to be held back with it.	Fold a piece of paper in half until it is rectangular in shape and thick enough. Then fold the rectangle in half so that the rubber band is able to be held back with it.	1
18	fingernails	can be hidden in a  floor 	can be hidden in a  dresser 	1
19	how do you cremate something?	burn it for five seconds.	burn it to ashes.	1
20	When cleaning up an oil spill on concrete, what is the best procedure?	Use dog litter to soak up the spill, then dispose of the dirty litter properly.	Use cat litter to soak up the spill, then dispose of the dirty litter properly.	1
21	how do you use milk with cereal?	take a bite of cereal, then a sip of milk.	pour the milk into the cereal bowl.	1
22	What electronic parts are easiest to solder?	"Soldering products called ""surface to surface"" are the easiest for beginners."	"Soldering products called ""through hole"" are the easiest for beginners."	1
23	glass	can cut wood easily.	can cut skin easily.	1
24	To make it easier to paint a board,	make the board rough first by sanding it down with a fine grit sandpaper.	make the board smooth first by sanding it down with a fine grit sandpaper.	1
25	To make a recycled wrapping paper wreath	Attach strips of wrapping paper to a plastic coat hangar.	Attach strips of wrapping paper to a bent wire coat hangar.	1
26	To limit the moment of inertia that can come for a poorly packed backpack.	Pack heavy items as far away as possible from your back.	Pack heavy items as close as possible from your back.	1
27	Make a colored pencil case.	Place in CD case.	Place in DVD case.	1
28	how to sharpen scissors	Sandpaper will sharpen your tongs easily – just by cutting through it several times. Medium grit works the best for this application.	Sandpaper will sharpen your scissors easily – just by cutting through it several times. Medium grit works the best for this application.	1
29	how do you wear underwear?	over your pants.	underneath your pants.	1
30	how to sanitize a kitchen sponge?	soak in lemon juice, and dry with a hairdryer.	soak for five minutes in a quart of water and 3 tablespoons of bleach.	1
31	How do you clean a cast iron skillet?	Wipe interior surface of still-warm skillet with paper towels to remove any excess food and oil. Rinse under cold running water, scrubbing with nonmetal brush or nonabrasive scrub pad to remove any traces of food.	Wipe interior surface of still-warm skillet with paper towels to remove any excess food and oil. Rinse under hot running water, scrubbing with nonmetal brush or nonabrasive scrub pad to remove any traces of food.	1
