	question	option1	option2	label
0	Hide money in purse.	Place cash in sanitary napkin pack.	Place cash in clear ziploc bag.	0
1	To create cold air in a DIY air conditioner made from a fan enclosed in a Styrofoam box.	Put a bottle of frozen water in the box with the fan.	Put a bottle of lukewarm water in the box with the fan.	0
2	Can I make my own stress tea?	Lemon verbena    Lemon thyme    Lemongrass         Steeping Instructions: For dried herbs, use 1 teaspoon lemon verbena, ½ teaspoon lemon thyme and ½ teaspoon lemongrass per cup of tea. (If using fresh herbs, triple the quantities.) Steep for 15 minutes. Strain as needed.	Lemon verbena    Lemon thyme    grass         Steeping Instructions: For dried herbs, use 1 teaspoon lemon verbena, ½ teaspoon lemon thyme and ½ teaspoon grass per cup of tea. (If using fresh herbs, triple the quantities.) Steep for 15 minutes. Strain as needed.	0
3	Reduce shininess of makeup.	Place a dab of baby powder on makeup.	Place a dab of baby oil on makeup.	0
4	make bracelet	connect paperclips to fit wrist	make sure to close clips	0
5	Hang a picture frame with ease.	Place dabs of tooth paste on the back of frames where you want to make nail marks to mark the wall properly.	Place dabs of paint on the back of picture frames to mark where the nails should go on the wall.	0
6	What is the best way to slice an apple?	To slice an apple, you should make sure you cut the apple into wedges while avoiding the core and seeds.	to slice the apple, you should make sure you are using the whole apple so that you avoid wasting any of the apple flesh.	0
7	Homemade deodorant	3 T Coconut Oil    3 T Baking Soda    2 T Shea Butter    2 T Arrowroot (optional) or organic cornstarch    Essential Oils (optional)    Melt shea butter and coconut oil in a double boiler over medium heat until barely melted.  Combine in a quart size glass mason jar with a lid instead and place this in a small saucepan of water until melted. This will save your bowl and you can just designate this jar for these type of projects and not even need to wash it out… This can also be done in the microwave if you have one.    Remove from heat and add baking soda and arrowroot (If you don’t have arrowroot, use more baking soda or just omit)    Mix well    Add essential oils and pour into a glass container for storage. It does not need to be stored in the fridge.	3 T Coconut Oil    3 T Baking Soda    2 T Shea Butter    2 T Arrowroot (optional) or organic cornstarch    Essential Oils (optional)    Melt shea butter and coconut oil in a double boiler over medium heat until barely melted. Combine in a quart size glass mason jar with a lid instead and place this in a small saucepan of water until melted. and boiling for 5 minutes This will save your bowl and you can just designate this jar for these type of projects and not even need to wash it out… This can also be done in the microwave if you have one.    Remove from heat and add baking soda and arrowroot (If you don’t have arrowroot, use more baking soda or just omit)    Mix well    Add essential oils and pour into a glass container for storage. It does not need to be stored in the fridge.	0
8	how to make apple pie nog	Mix 1/2 cup each melted vanilla ice cream and apple juice in a glass; add a pinch each of ground cinnamon and allspice. Add apple brandy, if desired. Dust with cinnamon	Mix 1/2 cup each melted vanilla hummingbird cake and apple juice in a glass; add a pinch each of ground cinnamon and allspice. Add apple brandy, if desired. Dust with cinnamon	0
9	to make a natural remedy for colds and flu.	Put peeled garlic in a glass jar. Cover with raw honey and let ferment for at least six months.	Put peeled eggs in a glass jar. Cover with raw honey and let ferment for at least six months.	0
