sentence	label
's simply stupid , irrelevant and deeply , truly , bottomlessly cynical . 	0
being a total rehash 	0
a generic bloodbath 	0
donovan ... squanders his main asset 	0
general audiences might not come away with a greater knowledge of the facts of cuban music 	0
tries too hard 	0
that stretches the running time about 10 minutes 	0
a movie that ca n't get sufficient distance from leroy 's 	0
91-minute trailer 	0
is workmanlike in the extreme . 	0
and mawkish dialogue 	0
marred beyond redemption 	0
rambling 	0
unfolds as one of the most politically audacious films of recent decades from any country , but especially from france 	0
the ridiculous bolero 	0
staged like `` rosemary 's baby , '' but is not as well-conceived as either of those films . 	0
is akin to a reader 's digest condensed version of the source material . 	0
awkward interplay and utter lack 	0
the movie is a lumbering load of hokum but 	0
i can analyze this movie in three words : thumbs friggin ' down . 	0
it was n't the subject matter that ultimately defeated the film ... it was the unfulfilling , incongruous , `` wait a second 	0
a blown-out vein 	0
is like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables 	0
has been overexposed , redolent of a thousand cliches , and 	0
inappropriate 	0
graceless and devoid 	0
dying a slow death 	0
to split up so that it can do even more damage 	0
... one resurrection too many . 	0
of tastelessness and gall 	0
too literally 	0
shreve 's graceful dual narrative gets clunky on the screen , and we keep getting torn away from the compelling historical tale to a less-compelling soap opera . 	0
the biggest names in japanese anime , with impressive results 	1
of quality 	1
dramatic interest 	1
about kicking undead *** 	1
are in place for a great film noir 	1
this modern mob music drama never fails to fascinate . 	1
the sight of the spaceship on the launching pad is duly impressive in imax dimensions , as are shots of the astronauts floating in their cabins . 	1
the film is less the cheap thriller you 'd expect than it is a fairly revealing study of its two main characters -- damaged-goods people whose orbits will inevitably and dangerously collide . 	1
it 's also pretty funny 	1
remarkable performance 	1
a minimalist beauty 	1
holm does his sly , intricate magic , and 	1
keenly observed and refreshingly natural , swimming gets the details right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt of a sudden lunch rush at the diner . 	1
binks 	1
the two and 	1
deliberately and devotedly constructed 	1
does so without compromising that complexity 	1
as another key contribution 	1
enjoy the perfectly pitched web of tension that chabrol spins 	1
a well-crafted film that is all the more remarkable because it 	1
's just brilliant in this 	1
outrageously creative action 	1
the humor is recognizably plympton 	1
but it does have one saving grace . 	1
offer some modest amusements when one has nothing else to watch 	1
with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer 	1
a flawed but engrossing thriller . 	1
's a feel-good movie about which you can actually feel good . 	1
deftly captures 	1
astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one . 	1
is about something very interesting and odd that 	1
profound humanity 	1
