	sentence	label
0	their daughter rachel cleans in a home for elderly people , and their son rory is unemployed and aggressive .	0
1	faced with endless dead-end gigs and his own loss of passion for the music he once thought was his life , he finds himself returning home to the three generations of women that he left behind .	0
2	embracing the afghan women 's cause as a primary commitment , iara lee 's short film not only spotlights the despair on both sides of the afghan-pakistan border , but also captures the hope and dignity that still define afghan men , women and children .	0
3	toledo ( daniel hendler ) , 25 years old , future architect , suffers from an acute jealousy .	0
4	but roger 's seemingly foolproof world of smooth talk and casual sex begins to unravel when he is paid a surprise visit by his teenager nephew , nick .	0
5	but then the crew detects a break-in on their computer systems , and picard is captured by the romulans because shinzon needs him as his only matching supplier of genetic material .	0
6	she faces exams , completion of her thesis , and a competitive interview process , all of which is compounded when a police detective , wade handler ( bratt ) , begins investigating the two year-old disappearance of her boyfriend , embry langan ( hunnam ) , a young man whose memory haunts and obsesses her .	0
7	as he struggles for his humanity , he fights his oppressors and is quickly sent to `` the shu `` where his unbridled rage catapults him to the victor 's circle .	0
8	an absurd comedy about a parking enforcement officer , who - despite constant abuse from the public - finds truth , honour and serenity in the act of ticketing .	0
9	amongst the excitement of rediscovering old friendships , no one minds that a snowstorm has cut them off from the rest of the outside world .	0
10	however , his son is a celibate priest who has never had any success with women . . . , ever .	0
11	he 's full of ideas on how to change brazilian public health , which is being threatened by yellow fever .	0
12	it is as if he has suddenly discovered his love of fatherhood .	0
13	an offbeat horror tale about a group of five college friends on vacation at a remote mountain cabin when one contracts a flesh-eating virus .	0
14	intent on exacting bloody revenge on the reunited english friends murray possesses the body of a guest and turns him into a murderer .	0
15	the master preaches his self proclaimed spiritual wisdom and eventually selects the most dependable ( i . e .	0
16	on the other side of town a woman named jill valentine tries to escape from the city while battling zombies and matt adison , now transformed into a monster called `` the nemesis `` who is bent on destroying all who live .	0
17	in their new environment , the men relinquish their frat mentality and realize how hurtful they have been to women over the years .	0
18	having arrived at hole in the wall they meet a mysterious stranger and all hell breaks loose . . .	0
19	after taking a look at the people around her and examining her life 's choices , lucy decides that it would be unfair to give up this baby just because she did n't do what she wanted to with her own life .	0
20	stan lee discusses the origins of the industry ; neil gaiman and john byrne speak on superheroes as modern mythology ; frank miller and bill sienkewicz discuss the relationship of politics and comics ; peter david tells the story of the meanest thing he has ever done to a fan ; and much more .	0
21	as their relationship builds jenny starts to struggle in her religious beliefs and her new lifestyle .	0
22	at the end a 50-foot high , neon-lit , wooden effigy is burned , igniting a wild , tribal , all-night celebration .	0
23	it has been 10 years since a 13 year old eve has left her homeland and emigrated in nyc with her parents .	0
24	this includes never-before-seen images of tests of modified v-1s at point mugu naval air station , and the flight test program for regulus at edwards air force base in 1950 .	0
25	their plan is to take jason back home to crystal lake and have both freddy and jason destroy each other .	0
26	it is dawn on the morning of the vernal equinox .	0
27	at the last minute a cyber-friend arrives to join the battle .	0
28	when he tries to grant everybody what they want , turmoil ensues .	0
29	based on the 1997 john king novel of the same name with a rather odd synopsis : `` a first novel about a seasoned chelsea football club hooligan who represents a disaffected society operating by brutal rules .	0
30	while on a ski trip , one of them finds passion with a beautiful girl after a random accident on the icy slopes .	0
31	disturbing for its unabashed honesty , our cast of characters both love and despise each other , their very actions acknowledging the pressures inherent in a tightly bonded peer group .	0
32	the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection .	1
33	i complain all the time about seeing the same ideas repeated in films over and over again , but the bourne identity proves that a fresh take is always possible .	1
34	it does n't make for great cinema , but it is interesting to see where one 's imagination will lead when given the opportunity .	1
35	it 's like rocky and bullwinkle on speed , but that 's neither completely enlightening , nor does it catch the intensity of the movie 's strangeness .	1
36	it ca n't be easy starting a movie in the middle , staying in the middle , and then ending it in the middle . . .	1
37	a work of the utmost subtlety and perception , it marks the outstanding feature debut of writer-director eric byler , who understands the power of the implicit and the virtues of simplicity and economy .	1
38	it 's an exhilarating blast that makes good use of the large-format screen .	1
39	this real-life hollywood fairy-tale is more engaging than the usual fantasies hollywood produces .	1
40	stripped almost entirely of such tools as nudity , profanity and violence , labute does manage to make a few points about modern man and his problematic quest for human connection .	1
41	sum `` is jack ryan 's `` do-over . `` give credit to everyone from robinson down to the key grip that this bold move works . especially give credit to affleck .	1
42	the bottom line with nemesis is the same as it has been with all the films in the series : fans will undoubtedly enjoy it , and the uncommitted need n't waste their time on it .	1
43	the message becomes the savior for `` the country bears , `` an equal parts silly and sweet tale that wears its great big ol ' heart on its grizzly-sized sleeve .	1
44	has not so much been written as assembled , frankenstein-like , out of other , marginally better shoot-em-ups .	1
45	payne constructs a hilarious ode to middle america and middle age with this unlikely odyssey , featuring a pathetic , endearing hero who is all too human .	1
46	one thing has been made very clear -- being john malkovich was n't a fluke .	1
47	the latest installment in the pokemon canon , pokemon 4ever is surprising less moldy and trite than the last two , likely because much of the japanese anime is set in a scenic forest where pokemon graze in peace .	1
48	daughter from danang sticks with its subjects a little longer and tells a deeper story	1
49	e . t . works because its flabbergasting principals , 14-year-old robert macnaughton , 6-year-old drew barrymore and 10-year-old henry thomas , convince us of the existence of the wise , wizened visitor from a faraway planet .	1
50	despite impeccable acting . . . and a script that takes some rather unexpected ( even , at times , preposterous ) turns , love is just too , too precious in the end .	1
51	. . . fifty minutes of tedious adolescent melodramatics followed by thirty-five minutes of inflated nonsense .	1
52	it 's hard to quibble with a flick boasting this many genuine cackles , but notorious c . h . o . still feels like a promising work-in-progress .	1
53	where this was lazy but enjoyable , a formula comedy redeemed by its stars , that is even lazier and far less enjoyable .	1
54	there 's not a spark of new inspiration in it , just more of the same , done with noticeably less energy and imagination .	1
55	russian ark moves beyond a simple technical exercise and into the realm of greatness . it 's a masterpiece on every level .	1
56	the real draw , though , is the performance by dunst that is , alone , worth the price of admission .	1
57	wise , cruelly observant of human nature and hysterically funny .	1
58	not for all tastes . but i , for one , was hooked by this fish 's tale .	1
59	it 's difficult to conceive of anyone who has reached puberty actually finding the characters in slackers or their antics amusing , let alone funny .	1
60	several degrees shy of the gross-out contests one expects from current teen fare .	1
61	disappointing in comparison to other recent war moviesM-^Eor any other john woo flick for that matter .	1
62	i enjoyed `` formula 51 `` in a guilty kind of way	1
63	this may not have the dramatic gut-wrenching impact of other holocaust films , but it 's a compelling story , mainly because of the way it 's told by the people who were there .	1
