premise	hypothesis	label
people are gathered at some kind of shop on the side of the street.	People are outside.	0
A girl, perhaps around five, wearing white shorts, red and white top and carrying a red balloon, is standing outside of a wooden building, looking inside.	The girl is near a window.	0
An older man with white hair wearing a blue hat and blue jacket sits on a brown bench on a sidewalk, opposite a store and in front of a black vehicle.	An old man has white hair	0
Several groups of young boys are paired up to practice martial arts on the grass.	Boys are practicing martial arts outside.	0
Three children in jackets looking at water's edge looking at their reflections in a lake	Humans in jackets	0
A young woman wearing sunglasses and several necklaces drinks from a bottle of water in an outdoor setting.	A woman is having a drink outside.	0
Conversation between two man.	Two people conversing.	0
A boy in a black helmet jumps a bicycle with a small town visible in the background.	A boy in a helmet jumps a bicycle.	0
Female musician pauses her guitar playing to enjoy a moment during a performance.	The female guitar player pauses to look at the crowd	0
Two dogs are swimming through deep water within close proximity to one another.	Two dogs swimming.	0
In the midst of a tennis match, a girl in yellow is jumping to hit the ball.	A girl is competing	0
Couples standing outside a large hotel.	There are more than one couple.	0
A dog is backlit buy the sun as he jumps up to catch a tennis ball.	A dog is performing a track with a ball.	0
A man in a vest stands near a taxi cab.	A man stands next to a taxi.	0
a small brown and black dog lying down in a furry rug.	A small animal is on relaxing on a rug.	0
Two dogs are playing in a fenced in yard.	Two dogs are in a yard.	0
A SouthEast Asian girl sits in a makeshift metal bucket as a boat, holding a snake, giving a fierce smile as she floats over muddy water.	An Asian girl sits in a makeshift bucket as a boat.	0
Several tall women jumping into the air while wearing traditional matched outfits and sandals with three aloft hot air balloons in the background.	Several women jump into the air.	0
A woman in a mustard dress with a white purse is walking down the street in front of a brick building.	a woman walks down the street	0
The couple eat their meal outside.	A couple eats outdoors.	0
A bearded man is sitting with his eyes closed and his mouth open in an airplane seat.	The man is in an airplane.	0
Two women in colorful clothes sit on the ground near their cow.	Some people, sitting on the grass by a cow have bright Tshirts on.	0
Several people, wearing blue robes and white keffiyehs, are riding yellow bicycles.	People are riding yellow bikes.	0
