premise	hypothesis	label
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	A man is pulling on a rope.	0
The skateboarder jumps over the ramp.	person skateboarding	0
Two elderly people wearing blue shirts are sitting by a rock formation, socializing while they eat.	The elderly people are over the age of 18 years old.	0
A group of people gather and holding different types of flags.	A bunch of people display different flags.	0
A group of people stand below black and white patterned decorations.	The group is standing below some decorations.	0
A couple with their eyes closed dances as people watch.	A couple dancing.	0
Two men, one playing a horn and the other playing a sax on a dimly lit stage.	The men are both on stage.	0
Two guys load boxes into a battered blue container that sits on a brick-paved street.	People are putting boxes into a container.	0
A storefront with poor artist rendition of street art.	A store with art	0
One man in a red shirt is falling, while another man in a blue shirt watches during a soccer game.	One man in a red shirt is falling	0
Four children in a fake egg having fun.	there are childrens playing	0
Three children play at a dock.	The 3 kids are spending time outside.	0
People outside in a city field.	People are in a field.	0
A couple look through a camera in Paris.	A couple are together in Paris.	0
Kids jump in a sack race, as a little girl on the beach with a minnie mouse bucket with her shovel scoops up the sand in piles.	Kids jump.	0
Skiers riding a ski carousel	people are skiing	0
A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.	A person is sitting outside during the day.	0
Three woman walk, in their hijab, alone in an area of Muslim denomination.	Three woman are clothed.	0
A little girl in a red jumper crying with her older sister and mom.	A young girl cires to her family.	0
A group of people are sitting near the ocean.	The people are at the ocean sitting down.	0
A family is taking ride in a old style horse-drawn wagon, driven by a man in a vest and derby hat, down a tree and shrubbery lined grassy path	A family is behind a horse.	0
Children are dressed in vibrant colors.	There is more than one child in this picture.	0
Children in life jackets while paddling a boat.	The kids wear life jackets.	0
A white bearded man sitting on a bench watching boats.	a man sitting on a bench	0
Gay tourist giving directions to fellow gay men.	The man showed the other man where to go	0
A man wearing glasses is leaning against the wall reading a book.	A man wearing glasses leans while reading a book.	0
A man in a white hat, sunglasses, and dark shirt speaks into a microphone.	A man is talking in to a mike.	0
A girl in a flower print shirt drawing.	A girl is currently practicing art.	0
A man and boy are eating food outdoors while sitting down next to a shopping cart.	Two people are outside.	0
Two construction workers sitting on some pipes while one waves, obscuring his face.	Two men are sitting while on the job	0
