	question	option1	option2	label
0	What is the first step to chopping garlic?	Remove some of the cloves of garlic, as many as you'd like and remove the skin.	Remove as much of the garlic as you'd like and remove the skin	0
1	my cake has a dome top, how do I flatten it?	use a tea towel, and press down when it comes out of the oven.	take a knife and cut off the top, and glue on upside down.	0
2	To  get rid of pimples naturally at home.	Apply tea tree oil on the affected area daily.	Apply apple cedar vinegar mixed with water daily on the skin for best results.	0
3	attach the lights to the clothes hanger	Hang the hanger at a comfortable height on the tree and tie the end of the lights to the hook part of the hanger	Hang the hanger at the tip top of the tree and tie the end of the lights to the hook part of the hanger	0
4	What shirts should be hung as opposed to folded?	Shirts with a collar are usually hung to avoid the fold lines that appear in the shirt when folded.	Sweatshirts are usually hung to avoid the fold lines that appear in the shirt when folded.	0
5	how to keep drip pans clean	Cover them snugly with aluminum foil.	Cover them snugly with aluminum foil emergency blankets.	0
6	how to do a grave stone rubbing?	take paper and carefully put it on the headstone and gently move a pencil back and forth until the words and designs are visible	take paper and carefully put the headstone on it and gently move a pencil back and forth until the words and designs are visible	0
7	What kitchen tools do I need to make banana ice cream?	To make banana ice cream, you need an ice cream maker, a food processor, a sauce pan, a bowl, a candy thermometer, a sieve, and a spatula.	To make banana ice cream, you need an ice cream maker, a food processor, a sauce pan, a bowl, a meat thermometer, a sieve, and a spatula.	0
8	One wants to cook while camping.	One should use the grill brought.	One should use the bonfire.	1
9	Roll out toothpaste.	Wrap back end of toothpaste around tooth pick.	Wrap back end of toothpaste around pencil.	1
10	how do you use a hairblower to dry your hair?	fan your hair on each strand using the hairblower.	turn on and aim the hairblower at your hair and move it around your head as each strand dries.	1
11	evenly slice fruits	use a cherry pitter	use an egg slicer	1
12	How I cook the egg in the same wok that sausage and vegetable are cooking ?	The vegetable and sausage are moved to the outside of the wok creating space for the egg in the middle of the wok.	The vegetable and sausage are moved to the sides of the wok creating a space for the egg in the middle of the wok.	1
13	To make a template for a sticker,	One can open Photoshop on their computer. They can design a sticker from there to be able to print out the sticker on some special sticker paper. If there is no special sticker paper, you can substitute envelope paper to trace an outline on sticker paper later.	One can open Photoshop on their computer. They can design a sticker from there to be able to print out the sticker on some special sticker paper. If there is no special sticker paper, you can substitute normal paper to trace an outline on sticker paper later.	1
14	Need the light of a lantern, but only have a small headlamp?	A gallon milk jug or translucent laundry box cleaned out and filled with water can help. Just attach the headlamp with the light facing toward the inside of the jug to help expand the glow.	A gallon milk jug or translucent laundry jug cleaned out and filled with water can help. Just attach the headlamp with the light facing toward the inside of the jug to help expand the glow.	1
15	To thread a needle,	stick a needle thru the eye of the needle, stick thread thru the eye of the needle, and pull the needle back thru the eye of the needle.	stick a needle threader thru the eye of the needle, stick thread thru the eye of the needle threader, and pull the needle threader back thru the eye of the needle.	1
