	question	option1	option2	label
0	What do you need to construct a miniature BBQ grill?	A miniature BBQ grill can be constructed with two large food cans, a saw to make a few careful cuts, some screws, a thick mesh screen, and a set of hinges.	A miniature BBQ grill can be constructed with two large oil cans, a saw to make a few careful cuts, some screws, a thick mesh screen, and a set of hinges.	0
1	stick	can help start a fire	can help put out a fire	0
2	How to change the setting on a fan.	Find the controls for the fan and push the button that corresponds to the setting you wish to use.	Find the controls for the fan and pull the button that corresponds to the setting you wish to use.	0
3	how do you prevent getting pregnant?	take a birth control shot or a pill.	don't use any birth control.	0
4	How do I prepare the cookie sheets when making cherry cheesecake twists?	Line two cookies sheets with a non-stick baking mat or parchment paper	Line two cookies sheets with a non-stick baking mat or an egg slicer	0
5	how do you wear a bandana?	fold it in a triangle, and then wrap it and tie it on your head.	place it over your head and tie it at the bottom	0
6	Prevent mess when peeling food.	Peel food over plastic bag, then toss.	Peel food with plastic bag.	0
7	Clean your wooden cutting board.	Wash your cutting board with dish soap and allow to dry. Wipe down with alcohol to kill all bacteria and condition the wood.	Wash your cutting board with furniture polish and allow to dry. Wipe down with alcohol to kill all bacteria and condition the wood.	0
8	To avoid over cooking your cookies,	take them out as soon as the edges look golden.	take them out as soon as the middle looks golden.	0
9	How to glue inlays to neck of ukulele.	Using superglue, glue each inlay in the space you have marked for the neck of the ukulele. Wait to dry.	Using glitter glue, glue each inlay in the space you have marked for the neck of the ukulele. Wait to dry.	0
10	How do you cut 90 pieces of wire 18 inches long in minutes?	Wrap wire around an 18 inch wide book and simply cut down the sides of the book with wire cutters.	Wrap wire around an 36 inch wide book and simply cut down the sides of the book with wire cutters.	0
11	How can I keep my pizza leftover from getting too chewy when microwaving?	Place a small cup of water in the oven when you are warming up pizza.	Place a small cup of bread in the oven when you are warming up pizza.	0
12	how do you switch facebook messenger accounts?	click on your profile picture in the messaging app then click on switch accounts.	click on your profile picture in the messaging app then click on sign out.	0
13	To cover up wood you don't want painted when painting the rest of it.	Use masking tape to block off sections.	Use scissors to cut off sections.	0
14	remove barcode stickers	soak a cloth in vinegar and rub	peel with a razor blade, and then rub with salt.	0
15	water bottle	be lifted by fingers easily	be lifted by tweezers easily	0
16	Who can design me a jacket	A seamstress can measure you and design something for themself	A seamstress can measure you and design something for you	1
17	oven	can be used to heat molten steel 	can be used to heat pies 	1
18	Creating your designs on the cakes	Put 1oz of melted chocolate into a fine tipped storage bag, make your designs onto the cakes.	Put 1oz of melted chocolate into a fine tipped piping bag, make your designs onto the cakes.	1
19	How to Inspire Students	If your students seem lethargic, try having them sit down and relax. Even a quick nap can wake people up.	If your students seem lethargic, try having them get up and move around. Even a quick stretch can wake people up.	1
20	push pin	warm hands in mittens 	pierce mittens 	1
21	pumice	can scrape concrete 	can scrape a nose 	1
22	To cut a piece of lumber to the right length, you can	Use a metal chisel to cut the lumber	Use a miter saw to cut the lumber	1
23	Is there an easy way to remove mud from the bottom of your shoes?	Remember to carry a cleaning brush with you if you are travelling by foot in a rainy area.	If the mud is still wet, let it dry first. When the mud is dry, take a brush and the shoes outside, and brush the mud off with a medium firm brush, making side to side motions until all the mud and dust comes away. Finally, wipe all surfaces with a soft cloth. If the mud is very caked on, you can also loosen it up with a paring knife. Just be careful you don't slice any holes in the shoe.	1
24	To make maple-nut candies	In a bowl, combine equal parts powdered sugar and maple syrup and mix until uniform mixture is made, dip the nuts of your choice into mixture and eat them or serve them on a plate.	In a heated  sauce pan, combine equal parts powdered sugar and maple syrup and mix until uniform mixture is made, pour over nuts of your choice and place nuts in refrigerator to cool.	1
25	How to clear notifications on an android phone	slide your finger down on the screen from the very bottom to the top. Push the text that says CLEAR on the bottom right.	slide your finger down on the screen from the very top to the bottom. Push the text that says CLEAR on the bottom right.	1
26	how do you return a hit quickly on mturk?	press the return button on the top left.	press the return button on the bottom right.	1
27	How to prepare carrots to make a baked cake with?	Slice the carrots and then salt them and retain any extra moisture	Shred the carrots and then salt them and strain off extra moisture	1
28	How do you make jello?	Whisk together 1 cup of warm water with 1 packet of jello in a large bowl. Add 1 cup of cold water to the mixture and whisk it in.	Whisk together 1 cup of hot water with 1 packet of jello in a large bowl. Add 1 cup of cold water to the mixture and whisk it in.	1
29	how to fill a cupcake	Bake your cupcakes and let them cool completely. ...    Insert a decorating tip into a paper bag. ...    Fill the bag with 1 to 2 tablespoons of your desired filling. ...    Insert the tip into the top of the cupcake. ...    Squeeze the filling into the cupcake. ...    Frost and decorate the cupcake as desired	Bake your cupcakes and let them cool completely. ...    Insert a decorating tip into a piping bag. ...    Fill the bag with 1 to 2 tablespoons of your desired filling. ...    Insert the tip into the top of the cupcake. ...    Squeeze the filling into the cupcake. ...    Frost and decorate the cupcake as desired	1
30	Avoid getting sleepy when waking up.	Hit the snooze button.	Avoid the snooze button.	1
31	How can you make a bug bite stop itching?	Rub the bug bite with a dry stick.  It will stop it from itching.	Rub the bug bite with a glue stick.  It will stop it from itching.	1
