premise	hypothesis	label
A man in a suit walking down the street with a colorful drawing in the background.	A man in a suit is walking outside.	0
A male practices BMX bike riding at and man made urban practice field with big lumps of dirt, water and a factory as a back drop.	A person practicing	0
Two students having a conversation on the other side of a concrete wall, which has a common sitting are on the other side.	Two students are talking.	0
Flags with men in yellow vests in front of them.	There are men with yellow vests.	0
A brown and white dog with pointy ears stands outside in sand holding a small tire in its mouth.	A dog holds a tire in its mouth.	0
a group of five young people all dressed in black in a dimlight room	A group of five people are wearing black.	0
A blurry dog inside on a carpet.	The dog is on the carpet.	0
A military man training his dog for combat.	A person is teaching an animal.	0
a woman and a child looking at the child's dress	A mother and her daughter admire the dress.	1
A man in a t-shirt and shorts poses in front of a police squad wearing full S.W.A.T. gear.	A officer is about to go to work to arrest some bad guys.	1
In foreground, a woman in pink jeans is helping a child in a heart t-shirt to skate, while cyclists and others walk in background with palm trees.	A skate teacher teaches her student skating.	1
The man in the white shirt is praying in public.	A man is bowing his head.	1
Two scientists work together, looking into the smoke of their experiment to see how it's all coming together.	Two female scientists are working together.	1
A young boy in Christmas-themed pajamas unwraps a gift and plays with other gifts while family watches him.	The child is celebrating the holidays with family.	1
Two Asian people look at flowers lined up on a table.	Two people pick out flowers for a wedding.	1
A man standing in a lake fishing.	A man is catching fish at a lake for dinner.	1
A sculptor in a blue sweater chiseling a piece of stone.	A sculptor in a red sweater chiseling a piece of stone.	2
Two boys are sitting to a table filled with food and snacks.	Two young boys, candy bars and other snacks jammed in their pockets, ran across the field to get away from the store clerk.	2
The young man is tuning his guitar.	A baby is on a table.	2
A man stands among cement fixtures in front of a donut shop.	The man is petting a walrus.	2
Smoke is coming from a jet in the sky.	The jet sits on the ramp.	2
A police officer talks to the owner of a parked car.	The police officer sitting at the precinct.	2
Rugby players having fun.	The players are bored.	2
A young man in odd clothes leaning against a brick wall with a garden in it.	A young man in odd clothes is sleeping in a car.	2
