	question	option1	option2	label
0	How to cut leather to size to use as a holster?	Use a pencil to outline the marking for the cut and cut with a boxcutter	use a pen to outline the marking for the cut and cut with a knife	0
1	How to patch up a hole in drywall.	Cut around the area of the hole into a square, then measure the square and cut another piece of drywall to size. Hold the new piece in place and drill to the studs. Place joint tape around the edges, then use a joint knife to apply putty. Sand it down when it's dry and wipe clean with a wet washcloth.	Cut around the area of the hole into a square, then measure the square and cut another piece of drywall to size. Hold the new piece in place and scotch tape it to the studs. Place joint tape around the edges, then use a joint knife to apply putty. Sand it down when it's dry and wipe clean with a wet washcloth.	0
2	how to make stuffed figs	Use a paring knife to cut a pocket in the side of about 24 dried figs. Tuck a small thin strip of orange zest, a blanched almond and a small piece of bittersweet chocolate into each pocket. Dip the bottoms of the figs in 4 ounces melted bittersweet chocolate and chill on a parchment-lined baking sheet until set.	Use a paring knife to cut a pocket in the side of about 24 dried figs. Tuck a small thin strip of orange zest, a blanched almond and a small piece of bittersweet chocolate into each pocket. Dip the bottoms of the figs in 4 ounces melted bittersweet chocolate and heated sizzle platter on a parchment-lined baking sheet until set.	0
3	how do you manually turn off the screen on an amazon fire tablet?	press the lock button on the right side of the tablet.	wait for the screen to turn off after a minute.	0
4	How can I drain browned beef?	Place a strainer over a paper plate and put beef in strainer.	Place a strainer over a paper plate and put beef on plate.	0
5	To successfully make homemade dough rise after kneading it.	Place the dough in a large bowl that has been greased with kitchen spray or oil. Cover the dough with a damp cloth and let the dough rise for 1 to 1 and 1/2 hours, until the dough has doubled in size.	Place the dough in a large bowl that has been greased with kitchen spray or oil. Cover the dough with a damp cloth and let the dough rise for 1 to 1 and 1/2 hours, until the dough has tripled in size.	0
6	Make organic paint.	Mix skim milk with powdered pigment.	Mix orange juice with powdered pigment.	0
7	To protect a metal surface without changing the way it looks	Spray a few coats of automotive clear coat on the area	Spray a few coats of black spray paint on the area	0
8	How can I grab metal out of a tub of corrosive liquid?	Use metal salad or hot dog tongs.	Use wool winter gloves to protect your hands.	0
9	To attach two separate sections of a wooden plank using a brass hinge.	Line up the two sections of a wooden plank lengthwise. Screw in the brass hinge at the ends of each of the sections, attaching them at the hinge.	Line up the two sections of a wooden plank widthwise. Screw in the brass hinge at the ends of each of the sections, attaching them at the hinge	0
10	When making gauntlets what sort of gloves should I use?	Use leather gloves to make the gauntlet around.	Use latex rubber gloves to make the gauntlet around.	0
11	How to construct your brass key?	Place lamination of thin brass sheet around a balsa wood core. Glue to the wood. Decide on the pattern of the top and cut it out with a jig saw. Sand down with a belt sander.	Place lamination of thin brass sheet around a balsa wood core. Tape to the wood. Decide on the pattern of the top and cut it out with a jig saw. Sand down with a belt sander.	0
12	How to fold a t-shirt.	Hold t-shirt by the shoulders so that it is facing you. Pinch it between your thumb and forefinger. Fold back sleeves so with the three excess fingers. Place face down on a flat surface. Grab the collar and fold back so that it is touching the hem.	Hold t-shirt by the shoulders so that it is facing away from you. Pinch it between your thumb and forefinger. Fold back sleeves so with the three excess fingers. Place face down on a flat surface. Grab the collar and fold back so that it is touching the hem.	0
13	How can I neatly keep my laundry soap?	Use a large container that was used for huge water dispensers, set detergent in that and open and close the dispenser on that.	Use a large container that was used for huge oil drums, set detergent in that and open and close the dispenser on that.	0
14	How to quickly clean white sneakers without machine washing?	Make a paste from water, vinegar and baking soda and scrub the shoes until the paste dries, wipe away the paste and leave to air dry	Make a paste from water, vinegar and baking soda and scrub the shoes until the paste dries, leave the paste to air dry then wear	0
15	how do you spill something?	drop it  on the floor	throw it on the floor	0
16	how do you push someone?	shove them with your hands.	poke them with your hands.	0
17	Seal zip lock bag.	Seal zipper around straw, suck air out, remove straw and complete seal.	Seal zipper around straw, blow air in, remove straw and complete seal.	0
18	How do you ensure that breadcrumbs will stick to mozzarella sticks?	Dip the cheese into a mixture of flour and water or egg before rolling in breadcrumbs.	Dip the cheese into a mixture of flour and oil before rolling in breadcrumbs.	0
19	To fix a wobbly bolted table leg.	Take a wrench and tighten the bolts near the legs to keep the legs stable.	Take a wrench and tighten the bolts near the center of the table to keep the leg stable.	0
20	To cut the trucks of roller skates in half.	Mark where you would like to cut and use a hack saw.	Mark where you would like to cut and use a bolt cutter.	0
21	bin	can hold a comb on it's edges	can hold a brush on it's edges	0
22	Remove a label from a jar in a non toxic way	Cover the label in peanut butter and let sit over night. Next day scrape a little and rinse off.	Cover the label in peanuts and let sit over night. Next day scrape a little and rinse off.	0
23	To strengthen the edges of a folder cardboard project, you can	Use electrical tape to reinforce them	Use rubbing alcohol to reinforce them	0
24	How do I cut the strips of fleece ?	"Cut 4 strips of fleece fabric with sewing scissors , each about 3"" wide."	"Cut 4 strips of fleece fabric with safety scissors , each about 3"" wide."	0
25	how do you turn on the caps lock on a laptop?	press the caps lock key til a light is on.	press the caps lock key til a light is off.	0
26	How do I prepare the cookie sheets when making cherry cheesecake twists?	Line two cookies sheets with a non-stick baking mat or parchment paper	Line two cookies sheets with a non-stick baking mat or an egg slicer	0
27	Paint a design on a glass or cup.	Use acrylic glass paint for the most durable result. Unless it specifically instructs you to, you won't need to cure it after painting, just let it dry as you would a canvas. The paint will last a long time but don't use a scrub brush on it or the paint may begin to wear off.	Use acrylic glass paint for the most durable result. Unless it specifically instructs you to, you won't need to cure it after painting, just let it dry as you would a canvas. The paint will last a long time so use a scrub brush on it so the paint may begin to wear off.	0
28	How can I make a smore inside?	Break your graham crackers in half and lay out on the counter. For every two crackers, break off two squares of chocolate bar and lay on the cracker, Put a marshmallow on a fork and roast gently over the flame of a gas range. Put the hot, roasted marshmallow on one cracker, cover with a piece of chocolate and another cracker. Cool a little and enjoy	Break your graham crackers in half and lay out on the counter. For every two crackers, break off two squares of chocolate bar and lay on the cracker, Put a marshmallow on a fork and roast gently over the flame of a gas range. Put the hot, roasted marshmallow on one cracker, cover with a bit of chocolate milk and cover with a wet cracker. Cool a little and enjoy!	0
29	How to contain fire pit.	Place bricks around the fire pit.	Place blocks of wood around the fire pit.	0
30	Where do I take a shower	You take a shower in the bathroom	You take a shower in the kitchen	0
31	To add detail to a fake guillotine blade.	"To make the blade cut out a 1/4"" piece of plexiglass and then spray paint it with ""aluminum"" color and bolt a piece of left over 1x2 piece of wood on the front and back of the blade at the top."	"To make the blade cut out a 1/4"" piece of plexiglass and then spray paint it with ""aluminum"" color and bolt a piece of left over 1x2 piece of wood on the front and back of the blade at the bottom."	0
32	How do you change water color?	use a colored vegetable to mix the water.	use colored dye or paint.	1
33	How to finish wooden cabinets after sanding.	Using a brush, dip the brush in shellac and brush it on the cabinets until fully coated. Don't let it dry.	Using a brush, dip the brush in shellac and brush it on the cabinets until fully coated. Let dry.	1
34	To pain a wooden beam,	stick the handle end of a paint brush into the paint bucket, the smoothly apply it to the beam.	stick the bristle end of a paint brush into the paint bucket, the smoothly apply it to the beam.	1
35	cardboard	makes a sign when wet	makes a funny smell when wet	1
36	What do I do with the dough for mooncakes once it has been kneaded?	Cover the dough with a slotted spoon and refrigerate for two hours	Cover the dough with plastic wrap and refrigerate for two hours	1
37	What should I do once the copper pipe solder has cooled down when working on a plumbing project?	grab a rag and wipe the excess flux off as good measure and test your joints by turning the water back off.	grab a rag and wipe the excess flux off as good measure and test your joints by turning the water back on.	1
38	To Make Streusel Topping, Place the Flour Mixture Set Aside Earlier in a Bowl. Then Add in Melted Butter.	Place the Flour Mixture Set Aside Earlier in a Bowl. Then Add in Melted ice.	Place the Flour Mixture Set Aside Earlier in a Bowl. Then Add in Melted Butter.	1
39	To write your name on the sidewalk with a piece of chalk.	Use a pen to inscribe your name in it,	Use a piece of coal to inscribe your name in it,	1
40	"To keep plague doctor's from breathing ""bad"" air during the plague."	The beaks of their masks were lined with fabric and religious artifacts.	The beaks of their masks were lined with incense and herbs	1
