premise	hypothesis	label
A man in a blue kayak paddles in water.	A man kayaks in a body of water.	0
the reflection of a young couple in a train window with onlookers and a old asian man sitting on the bench.	people are on a train.	0
A dark-haired woman wearing a red skirt and white top uses a pay phone.	A woman uses a pay phone	0
Protesters are in the background of this photo whereas a magazine display is in the foreground.	A group of people protesting.	0
The people on the street need to be wearing sunscreen.	The crowd on the road should be using sun-block lotion.	0
A black man in a white tank top approaches a couple in the street who are eating green and blue snow cones.	The people eating snow cones are outside.	0
A vivid and colorful street vendor gathering shows a number of proprietors outdoors, with a woman offering a box of items in the foreground.	A group of colorful street vendors are outdoors, while a woman is with a box of items in the foreground	0
Two men, seated side-by-side, look at something on a computer that one man is pointing to with a pen.	Two men are looking at a computer screen and one is pointing a pen at the screen.	0
A white dog runs in the grass.	An animal is running outside.	0
A large crowd of people are running in a city marathon.	The people are running outside in a race.	0
a black dog jumping to catch a rope toy	The dog is playing.	0
person in black looking at a man standing behind a motorcycle.	A man has a motorcycle.	0
A man wearing glasses and a black shirt with the number four on it is walking by a merchants table while people behind him are looking at the items on the table.	A man is walking by a vendor.	0
A young girl wearing a bikini in an innertube.	A girl is floating on the water.	0
A woman in a crowd smiles at something off-camera in front of an Applebee's.	A female surrounded by other people is grinning in front of a restaurant.	0
A boy in a green uniform is kicking a soccer ball in a game while two others stand behind him.	A boy is kicking a ball during a soccer game.	0
Beautiful mountain scenery and a ski lift.	A mountain and a ski lift.	0
A boy kicking a soccer ball into the net while the goalie jumps for the ball.	the kicking kid kicked the ball into the goal besides another player.	0
A man hugging a boy in a tunnel, made in the trunk of a tree.	The tree has a carving in it.	0
A man in a white shirt advertising a summer school is talking to a man in a pink shirt in front of a crowd.	The man is attempting to sell a service.	0
A woman in green shoes, walking and holding a phone.	There is a woman in green holding a phone.	0
A group of Indian men demonstrate the act of sleeping to 3 school children, a young boy, and two young girls.	A human sleeping	0
A baseball player is caught midair attempting to catch the baseball with his mitt, while another player looks on.	The person is jumping for the ball.	0
A bird flies above the water.	The bird is flying.	0
An asian boy eating a piece of cake.	The boy is chewing on the piece of cake	0
A guy in black shirt and shorts and dog outside.	A guy and a dog are outside.	0
A blond man carries an axe through a forest.	The man is blond	0
A man is riding his bicycle through the woods.	A male exercises near trees	0
A woman is cooking food in a kitchen.	A woman in the kitchen.	0
A young girl is standing on the back of a man's bicycle while the man peddles forward.	A girl stands on the back of a bicycle.	0
