premise	hypothesis	label
A group of people are on a canyon.	People are on a canyon.	0
A man in a blue shirt and yellow hat wears a backpack and sells ice cream treats to another man and a young girl from a cart on the street.	Two people are buying ice cream from a man.	0
Two women wearing ceremonial costumes are walking outside a white building.	two women walk outside a building	0
A woman waring a purple sweatshirt in a jewelry store is bent over inside the display case.	A human in a shirt	0
People sitting on a couch laugh.	People are sitting.	0
A man in a black leather jacket was eating an ice cream cone while waiting for a transit train to arrive.	A man in a black leather jacket is eating an ice cream cone.	0
A man with glasses and a gray sweater is laughing.	The man is wearing a sweater.	0
A man in uniform leans over a dog, in front of car on an urban street with a group of people visible in the background.	The man and dog were outside.	0
A bare-chested man launches his skateboard off a ramp.	A guy with no shirt performs a skateboard trick	0
Three young boys are playing with Legos in a messy living room.	Three young boys are building with legos.	0
A man in green carries goods down a crowded street.	The man is holding goods.	0
A referee on rollerskates and wearing knee pads and a helmet is sweeping the floor of a wooden basketball court in front of a crowd.	There are lots of people in a place for a sport.	0
A man surveying in a fairly large city.	A man surveys in the city	0
People line the stands which advertise Freemont's orthopedics, a cowboy rides a light brown bucking bronco.	The cowboy is on a horse.	0
A man and two young children play music for a group of onlookers.	There is live music for a group of onlookers.	0
With a pack and ski pole on the ground, a man wearing a winter coat is holding a tent while other tents are already set up.	A man is trying to set up his tent in cold weather	0
A child holds his breath underwater.	The child is underwater.	0
Two children, an older boy and a younger girl, are walking down a sidewalk wearing their winter coats.	Two people are walking outside.	0
A baseball player takes a swing at a pitch while the crowd watches.	A baseball player swings at the ball.	0
With flowers in the foreground, a man in a blue striped shirt bikes past a large white building.	A man is biking outside.	0
A brown and black dog laying on a gray plushie in front of a TV showing breaking news.	Two dogs laying by the tv.	0
A woman sitting with her baby in a group, while other women breastfeed in the background.	A woman sitting with her baby in a group	0
A woman lying on a rock at a campground.	The woman is outside.	0
a crowd watches a bicycle race while two racers in red walk their bikes past.	A crowded bicycling event	0
Two young women in front of a vending machine trying to decide what to get.	Two women are deciding what to get.	0
There are several people outside looking at acorn squash.	People are looking at squash.	0
a man meditating on a tall building with no shoes on	A man is meditating	0
