	sentence	label
0	two lost couples find themselves stranded for the night in an old dark house where they are set upon by the family in residence that dabbles in murder , witchcraft , and cannibalism which are just a few of the 1 , 000+ secrets buried in the field behind their house .	0
1	that is , until the villainous captain hook mistakes her for wendy and abducts her to never land in an attempt to lure and capture peter pan .	0
2	an absurd comedy about a parking enforcement officer , who - despite constant abuse from the public - finds truth , honour and serenity in the act of ticketing .	0
3	they also talk about their professional and personal experiences , and describe the places they visit .	0
4	the military team must shut down the computer and get out , fighting their way past zombies , mutants , and the computer itself , before the virus escapes and infects the rest of the world .	0
5	called `` an elegant documentary `` by sundance and `` eloquent and deeply moving `` by the la times , toyo miyatake : infinite shades of gray is a penetrating portrait of this photographer 's search for truth and beauty in a world of impermanence .	0
6	she ignores him and climbs the town water tower regularly .	0
7	drank water from a spring that was actually a fountain of youth .	0
8	meanwhile , una makes herself being fired in the supermarket .	0
9	but when irrefutable proof that they are meant to be together arises , both of them are sent into conflict .	0
10	they start an in-depth investigation of a doctor chu , who is shin-hyun 's psychiatrist .	0
11	when he arrive she finds that his cousin has lied and that he lives in a flat above a shop with illegals etc . however he sets out to be a film star and auditions for a role that he gets .	0
12	the pretense is that her father jake is dying .	0
13	torn between his father 's dream of making a hospital ( which he can realize by marrying sonia ) and his own personal emotions for dr . neha , akash has to choose either .	0
14	( lil ' romeo plays a young dancer who has to choose between pursuing a career as a dancer and the quick money of street drug sales ; phifer plays honey 's romantic interest . )	0
15	`` dreamcatcher `` tells the story of four young friends who perform a heroic act - and are changed forever by the uncanny powers they gain in return .	0
16	he 's full of ideas on how to change brazilian public health , which is being threatened by yellow fever .	0
17	accompanying them is jon 's `` soulmate , `` todd , a 35-year old businessman recklessly reliving his adolescence , plus other `` circuit friends `` the boys make along the way .	0
18	arroz con mango is a light romantic comedy about people and their drives .	0
19	the men are reasonably challenged with the the bizzare situation .	0
20	they then took over a pub in glenrowan , where they basically held a party , waiting for a train full of police to derail at a part of the track that they tore up .	0
21	but as each retreats into their private worlds of fantasy , a much more lively story unfolds - a story of confrontations that should have happened , of secrets that need to be revealed .	0
22	3 beautiful agents try to find the treasure , but they must fight the evil datuk azmi , an old enemy of madame x . it has been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions .	0
23	set in 1986 when best friends harry ( olsen ) and lloyd ( richardson ) were teenagers , this is the madcap comic tale of their attempt to get out of the `` special needs `` department and into regular high school life .	0
24	explores the question of whether it 's ever too late to say 'i love you ' .	0
25	and does he feel the same way about daniel ?	0
26	after his friend , a hot young artist , is killed , a resourceful american man living in london covers up the crime and tries to keep the friend 's name alive in order to exploit his legacy and reap millions in the process .	0
27	the rich woman seeks the help of her lawyers to find her lost grandson cary and eventually finds him living in a deprived area with cass .	0
28	blueberry is stationed in the little town of palomito as sheriff .	0
29	the taxi driver is a serial killer who picks up innocent women but not all of his victims are as innocent as he thinks .	0
30	a comedy about misfits in which a veterinarian becomes involved with a client , whose wife has begun acting like a dog .	0
31	when wei is promoted from the rank of nightclub parking valet to the rank of debt-collector in brother gu 's gang , he persuades his boss to hire jie to work alongside him .	0
32	chilling in its objective portrait of dreary , lost twenty-first century america .	1
33	the ingenious construction ( adapted by david hare from michael cunningham 's novel ) constantly flows forwards and back , weaving themes among three strands which allow us to view events as if through a prism	1
34	the french are rather good at this kind of thing , unlike the americans , who have a passion for musketeers , only to spoof them .	1
35	what starts off as a potentially incredibly twisting mystery becomes simply a monster chase film .	1
36	a film worthy of comparison to truffaut 's best cinematic poems .	1
37	hawke draws out the best from his large cast in beautifully articulated portrayals that are subtle and so expressive they can sustain the poetic flights in burdette 's dialogue .	1
38	not for all tastes . but i , for one , was hooked by this fish 's tale .	1
39	far from a bad film , and at least two of its central trio of performances provide moments of disarming grace , but do n't be surprised if a whiff of self-congratulation emanates from the screen .	1
40	a bit of whimsically warped history elevated by the central performance of ian holm .	1
41	thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality . . . takes a tongue-in-cheek attitude even as it pushes the croc hunter agenda .	1
42	together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there 's still a lot of life in hong kong cinema .	1
43	smart science fiction for grown-ups , with only a few false steps along the way .	1
44	although the level of the comedy declines as the movie proceeds , there 's no denying the fun of watching de niro and crystal having fun .	1
45	first-time writer-director dylan kidd also has a good ear for dialogue , and the characters sound like real people .	1
46	a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .	1
47	the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past .	1
48	stone seems to have a knack for wrapping the theater in a cold blanket of urban desperation .	1
49	no earth-shattering accomplishment , but an unusually smart movie that the whole family can go to without a single person getting bored or talked down to .	1
50	gangster no . 1 is solid , satisfying fare for adults .	1
51	an annoying orgy of excess and exploitation that has no point and goes nowhere .	1
52	a bittersweet drama about the limbo of grief and how truth-telling can open the door to liberation .	1
53	has little on its mind aside from scoring points with drag gags .	1
54	a diverse and astonishingly articulate cast of palestinian and israeli children .	1
55	the directing and story are disjointed , flaws that have to be laid squarely on taylor 's doorstep . but the actors make this worth a peek .	1
56	it 's like an all-star salute to disney 's cheesy commercialism .	1
57	it has a caffeinated , sloppy brilliance , sparkling with ideas you wish had been developed with more care , but animated by an energy that puts the dutiful efforts of more disciplined grade-grubbers to shame .	1
