premise	hypothesis	label
A man with a hat is playing the guitar.	Man playing a guitar.	0
Two cyclists competing in road race, one in front of the other.	Two people are racing.	0
A business event is taking place with an attractive blond woman smiling at the camera with her phone in her hand.	There is one woman in this picture.	0
Two opposing hockey players prepare for a face off.	Hockey players are about to begin to play.	0
A young black man rides a donkey with a colorful saddle, and is surrounded by tropical palms.	A young man is riding a donkey in a tropical location	0
A man wearing headphones and a checkered shirt with tan jacket reaches inside his jacket while crossing a busy street.	The street is busy	0
A woman wearing a scarf around her head and black boots is walking down a brick path.	a woman wearing pants and a coat is dancing in the street	0
The man in the striped apron is dancing with the woman in the polka dotted apron.	two people are wearing aprons	0
a little boy outside playing	A small boy is playing outside.	0
The horse on the left is brown.	One of the horses is brown.	0
Three men playing soccer outdoors.	Three men are outside kicking a ball.	0
A person in black glasses takes a drink from a shot glass.	A person is taking a shot.	0
A woman in a blue shirt and pink sweater, with a slightly goofy expression, is sitting at a table where a game with miniature players and dice is being played.	The woman is sitting at a table where dice is being played.	0
A tattooed man lands a body punch in a boxing match.	A man is boxing	0
A little girl is standing next to another little girl who is taking a photograph.	Two girls taking a photo.	0
A man is sweeping the street in front of a tree.	A man is sweeping.	0
A crowd of people singing with four green strobe lights shining in the background.	People are singing with solar powered green strobe lights	1
A retail professional pauses while interacting with customers.	The retail employee is trying to sell a washing machine to the customer.	1
A woman wearing a red shirt and khaki pants carries flowers.	The woman works at Target.	1
A woman standing near water is wearing a pink jacket with Tinkerbell on it.	A woman in a pink Tinkerbell jacket is standing on the shore of the lake	1
A skateboarder is in midair as he completes a trick.	a man in the air is doing a trick.	1
Picture of a band performing in front of fans, one on drums, three guitars and a keyboard player.	Muscians are making music.	1
A man in a blue shirt and a woman in a dress having a conversation while drinking.	A man and a woman are on a date at a bar.	1
A man stands in a kitchen, flipping a crepe on a frying pan.	The man is a chef.	1
A man wearing a red life vest waves as he waterskiis.	A man is behind a boat.	1
Man wearing hat hammering with steel hammer.	A man is building the structure for the building.	1
A man in a field with a blue Jacket and a hat holding a stick with two dogs.	A man is playing fetch in a field with his two puppies.	1
Two Muslim men wearing head wraps walking in a city.	Two young men walking in New York city.	1
The lady holds her paintbrush next to the artist's easel.	Lady standing next to a painting.	1
A woman in a Green Day shirt on a boat hooks something with a fishing pole.	A woman in a Green Day shirt on a boat hooks something with a fishing pole and tries to drag it out of the water.	1
Teens are riding their bikes through the park near the fountains	The teens are on their way home from school.	1
A woman on a black and white hounds tooth jacket is being held by a man with black facial hair with a white striped shirt, on a balcony with a view of the city with its lights on.	new lovers enjoy the viewa	1
A man sitting before a microphone is preparing to play the guitar.	The man is going to play the drums.	2
A white man in a brown trench coat, a black man in a black shirt and an asian woman in a black coat walking a street in front of a blue wall passing phone booths and green milk crates.	Three people are taking the bus to a football game.	2
"A man with long hair is making an ""OK"" sign with his hand while he walks down a street."	The man is giving the middle finger.	2
A young man in shorts and a polo shirt is carrying a garbage bag out of an empty lot with another man following him.	The young man is asleep in his bedroom.	2
Two workers, working on a rooftop, looking over a town.	The workers are far out in the country.	2
A couple is dealing merchandise on a mural on the pavement.	A couple is watching a movie.	2
Two men wearing suits are chatting while one is holding a bottle of water.	The men are wearing boxer shorts and dancing on a table.	2
A large crowd standing in front of a very large painting.	A crowd has set fire to a painting and run away.	2
A young boy doing tricks on his bike.	A young boy pets his kitty cat.	2
Four people taking in front of a bus.	The four people were talking in front of their cars.	2
An African American woman braiding another African American woman's hair, while sitting in a white chair.	Two women go for a swim in the river.	2
The woman is splashing water out of a bucket.	A man is splashing water	2
Man in yellow shirt and jeans watching his BMW coming out of a car wash.	The man is wearing a clown costume and juggling poodles.	2
A boy in a striped shirt and a little girl in a blue dress walk hand in hand down the train track.	The little girl is in a purple dress.	2
A truck passing out food donations to disaster victims in need.	The truck has rainbows on it.	2
a dog jumping over a small wall at a beach near the water.	The dog has no legs.	2
