	question	option1	option2	label
0	Can you sharpen old scissors easily?	Yes you can sharpen the blades on scissors with a rock or file. Just like when sharpening a knife, make sure that when you run the blade over the stone that you are always moving it in one direction only.	Yes you can sharpen the blades on scissors with a rock or file. Just like when sharpening a knife, make sure that when you run your hand over the stone that you are always moving it in one direction only.	0
1	Remove skin from fish.	Take off with dental floss.	Take off with chop sticks.	0
2	how to keep drip pans clean	Cover them snugly with aluminum foil.	Cover them snugly with aluminum foil emergency blankets.	0
3	attach the lights to the clothes hanger	Hang the hanger at a comfortable height on the tree and tie the end of the lights to the hook part of the hanger	Hang the hanger at the tip top of the tree and tie the end of the lights to the hook part of the hanger	0
4	What kitchen tools do I need to make banana ice cream?	To make banana ice cream, you need an ice cream maker, a food processor, a sauce pan, a bowl, a candy thermometer, a sieve, and a spatula.	To make banana ice cream, you need an ice cream maker, a food processor, a sauce pan, a bowl, a meat thermometer, a sieve, and a spatula.	0
5	my cake has a dome top, how do I flatten it?	use a tea towel, and press down when it comes out of the oven.	take a knife and cut off the top, and glue on upside down.	0
6	How do I put a 1 1/8 inch hole in the wood?	Place a 1 1/8 inch auger bit in a hand drill and drill a hole in the proper location by cranking the drill in a clockwise direction.	Place a 1 1/8 inch auger bit in a hand drill and drill a hole in the proper location by cranking the drill in a counterclockwise direction.	0
7	What is the first step to chopping garlic?	Remove some of the cloves of garlic, as many as you'd like and remove the skin.	Remove as much of the garlic as you'd like and remove the skin	0
8	To  get rid of pimples naturally at home.	Apply tea tree oil on the affected area daily.	Apply apple cedar vinegar mixed with water daily on the skin for best results.	0
9	What shirts should be hung as opposed to folded?	Shirts with a collar are usually hung to avoid the fold lines that appear in the shirt when folded.	Sweatshirts are usually hung to avoid the fold lines that appear in the shirt when folded.	0
10	To control stretch marks during pregnancy,	use a nice lotion every day.	take a hot shower every day.	0
11	When constructing paper planting pots, what is a good object to use as a template for the shape?	A soup can	A trash can	0
12	how to do a grave stone rubbing?	take paper and carefully put it on the headstone and gently move a pencil back and forth until the words and designs are visible	take paper and carefully put the headstone on it and gently move a pencil back and forth until the words and designs are visible	0
13	Organize your closet.	Go through your closet and donate what you do not wear. Take everything out and look at it. Whatever you are going to keep, hang nicely and organize by type.	Go through your closet and see what you have. Take everything out and look at it. Whatever you are going to keep, hang nicely and organize by color. Pack it in there.	0
14	how do you scale a building?	climb on it.	measure it.	0
15	How do you make a fly trap?	Find a jar and put some sugar water and a paper funnel. The flies will smell the sugar and go down the funnel but wont be able to get out.	Find a cup and put some sugar water and a paper funnel. The flies will smell the sugar and go down the funnel but wont be able to get out.	0
16	how do you sweep a floor?	brush the broom on the floor, moving it back and forth.	brush the broom on the floor, putting all the trash in one pile.	1
17	Increase pop factor water balloons.	Prevent air when filling up balloons.	Blow air when filling up balloons.	1
18	To prevent from shorting out electrical components in a computer when touching them, you should	Touch something rubber before you touch the components	Touch something metal before you touch the components	1
19	How I cook the egg in the same wok that sausage and vegetable are cooking ?	The vegetable and sausage are moved to the outside of the wok creating space for the egg in the middle of the wok.	The vegetable and sausage are moved to the sides of the wok creating a space for the egg in the middle of the wok.	1
20	To limit the moment of inertia that can come for a poorly packed backpack.	Pack heavy items as far away as possible from your back.	Pack heavy items as close as possible from your back.	1
21	To make a template for a sticker,	One can open Photoshop on their computer. They can design a sticker from there to be able to print out the sticker on some special sticker paper. If there is no special sticker paper, you can substitute envelope paper to trace an outline on sticker paper later.	One can open Photoshop on their computer. They can design a sticker from there to be able to print out the sticker on some special sticker paper. If there is no special sticker paper, you can substitute normal paper to trace an outline on sticker paper later.	1
22	To eat rice with chopsticks,	hold your chopsticks wide open near the bottom of a clump of rice, then gently close the sticks around the clump of rice as you scoop it up.	hold your chopsticks slightly open near the bottom of a clump of rice, then gently close the sticks around the clump of rice as you scoop it up.	1
23	Need the light of a lantern, but only have a small headlamp?	A gallon milk jug or translucent laundry box cleaned out and filled with water can help. Just attach the headlamp with the light facing toward the inside of the jug to help expand the glow.	A gallon milk jug or translucent laundry jug cleaned out and filled with water can help. Just attach the headlamp with the light facing toward the inside of the jug to help expand the glow.	1
24	how to tell if seafood is bad	Seafood should never smell overwhelmingly chocolatey; that's a sure sign that it’s starting to go bad.	Seafood should never smell overwhelmingly fishy; that's a sure sign that it’s starting to go bad.	1
25	how do you use a hairblower to dry your hair?	fan your hair on each strand using the hairblower.	turn on and aim the hairblower at your hair and move it around your head as each strand dries.	1
26	Roll out toothpaste.	Wrap back end of toothpaste around tooth pick.	Wrap back end of toothpaste around pencil.	1
27	To thread a needle,	stick a needle thru the eye of the needle, stick thread thru the eye of the needle, and pull the needle back thru the eye of the needle.	stick a needle threader thru the eye of the needle, stick thread thru the eye of the needle threader, and pull the needle threader back thru the eye of the needle.	1
28	What can you rinse the yoga mat in to ensure it's clean and to prevent it from being slippery?	Rinse the yoga mat in in used bath water to make sure it's clean and to prevent it from being slippery.	Rinse the yoga mat in clean water to make sure it's clean and to prevent it from being slippery	1
29	evenly slice fruits	use a cherry pitter	use an egg slicer	1
30	One wants to cook while camping.	One should use the grill brought.	One should use the bonfire.	1
31	Make holes in recycled soda cans and use a decorative shade for tea lights	Punch holes in an empty soda can according to a decorative byline. Place a tealight outside.	Punch holes in an empty soda can according to a decorative outline. Place a tealight inside.	1
