	question	option1	option2	label
0	how do you spit?	shoot saliva out of your mouth.	drool saliva out of your mouth.	0
1	Pose for camera with great smile.	Laugh for the camera.	Force a fake smile.	0
2	To make a hooked toothbrush for hanging in bathrooms.	Turn a stovetop heating element on high. Take a large bowl filled with 2/3 water and fill the rest of the way with ice cubes. Wearing welding gloves to protect your hands, slowly rotate the handle of a plastic toothbrush handle a couple centimeters over the element, taking great care not to touch it. After about 20 seconds the toothbrush handle will become soft. Wrap the handle around a cannoli mold to create the hooked shape. Hold in place for 10 seconds, then dunk into the ice bath to solidify.	Turn a stovetop heating element on high. Take a large bowl filled with 2/3 water and fill the rest of the way with ice cubes. Wearing welding gloves to protect your hands, slowly rotate the handle of a plastic toothbrush handle a couple centimeters over the element, taking great care not to touch it. After about 2 minutes the toothbrush handle will become soft. Wrap the handle around a cannoli mold to create the hooked shape. Hold in place for 10 seconds, then dunk into the ice bath to solidify.	0
3	What type of paint should I use to paint my valve cover?	You must use an engine enamel that is rated for high heat as the engine can reach temperatures over 200 degrees.	You must use an engine enamel that is rated for low heat as the engine can reach temperatures over 200 degrees.	0
4	magnet	can attract iron easily	can attract warmth easily	0
5	how do you bowl?	toss the bowling ball in the lane aiming at the pins.	throw the ball at the pins.	0
6	rope	can hold doors closed	can hold garages closed	0
7	credit card	can measure gaps between rafters	can measure distance between rafters	0
8	How to wash strawberries.	Run strawberries vigorously for about 30 seconds through a vinegar/water solution. Rinse those strawberries well under cold water. You don't want any of the vinegar flavor to remain on the fruit. Pat the fruit dry with paper towels, or dry it gently with a kitchen towel	Run strawberries vigorously for about 30 seconds through a vinegar/olive oil solution. Rinse those strawberries well under cold water. You don't want any of the vinegar flavor to remain on the fruit. Pat the fruit dry with paper towels, or dry it gently with a kitchen towel	0
9	how do you chew on something?	smash it with your teeth	smash it with your gums	0
