premise	hypothesis	label
Two cyclists competing in road race, one in front of the other.	Two people are racing.	0
Two opposing hockey players prepare for a face off.	Hockey players are about to begin to play.	0
A man wearing headphones and a checkered shirt with tan jacket reaches inside his jacket while crossing a busy street.	The street is busy	0
A woman wearing a scarf around her head and black boots is walking down a brick path.	a woman wearing pants and a coat is dancing in the street	0
The horse on the left is brown.	One of the horses is brown.	0
A woman in a blue shirt and pink sweater, with a slightly goofy expression, is sitting at a table where a game with miniature players and dice is being played.	The woman is sitting at a table where dice is being played.	0
A little girl is standing next to another little girl who is taking a photograph.	Two girls taking a photo.	0
A man is sweeping the street in front of a tree.	A man is sweeping.	0
A crowd of people singing with four green strobe lights shining in the background.	People are singing with solar powered green strobe lights	1
A skateboarder is in midair as he completes a trick.	a man in the air is doing a trick.	1
Picture of a band performing in front of fans, one on drums, three guitars and a keyboard player.	Muscians are making music.	1
A man stands in a kitchen, flipping a crepe on a frying pan.	The man is a chef.	1
A man wearing a red life vest waves as he waterskiis.	A man is behind a boat.	1
Man wearing hat hammering with steel hammer.	A man is building the structure for the building.	1
The lady holds her paintbrush next to the artist's easel.	Lady standing next to a painting.	1
A woman in a Green Day shirt on a boat hooks something with a fishing pole.	A woman in a Green Day shirt on a boat hooks something with a fishing pole and tries to drag it out of the water.	1
A man sitting before a microphone is preparing to play the guitar.	The man is going to play the drums.	2
"A man with long hair is making an ""OK"" sign with his hand while he walks down a street."	The man is giving the middle finger.	2
A young man in shorts and a polo shirt is carrying a garbage bag out of an empty lot with another man following him.	The young man is asleep in his bedroom.	2
A couple is dealing merchandise on a mural on the pavement.	A couple is watching a movie.	2
Two men wearing suits are chatting while one is holding a bottle of water.	The men are wearing boxer shorts and dancing on a table.	2
Four people taking in front of a bus.	The four people were talking in front of their cars.	2
The woman is splashing water out of a bucket.	A man is splashing water	2
Man in yellow shirt and jeans watching his BMW coming out of a car wash.	The man is wearing a clown costume and juggling poodles.	2
