premise	hypothesis	label
A group of people are on a canyon.	People are on a canyon.	0
A panel of men and women attending a conference.	people attend conference	0
A man in a blue shirt and yellow hat wears a backpack and sells ice cream treats to another man and a young girl from a cart on the street.	Two people are buying ice cream from a man.	0
A man is in the kitchen cutting up chicken and vegetables on the counter, preparing a meal.	A man preps food.	0
Two women wearing ceremonial costumes are walking outside a white building.	two women walk outside a building	0
A woman waring a purple sweatshirt in a jewelry store is bent over inside the display case.	A human in a shirt	0
A short-haired male singer wearing a brown buttoned shirt plays the violin and sings on a stage, which is illuminated with a hot pink and blue display.	The singer knows how to play the violin	0
People sitting on a couch laugh.	People are sitting.	0
A man in a black leather jacket was eating an ice cream cone while waiting for a transit train to arrive.	A man in a black leather jacket is eating an ice cream cone.	0
A man with glasses and a gray sweater is laughing.	The man is wearing a sweater.	0
A redhead wearing a red shirt climbs on tree branches.	The redhead is on a tree.	0
Two people are sitting close together on a bus with a scratched window.	The bus has a scratched window.	0
A man and his canine on the beach.	A dog is near the man.	0
A man reading a newspaper outside next to some trashcans.	The man is literate.	0
3 Asian tourists are looking out at the city while one of them takes a picture.	A tourist takes a picture of their companions.	0
A man sitting outside, fanning his face with something.	A man is outdoors, fanning his face.	0
A man in uniform leans over a dog, in front of car on an urban street with a group of people visible in the background.	The man and dog were outside.	0
A man wearing sunglasses, a blue sweatshirt and carrying a backpack walks across a busy crosswalk as cars in the background wait at a red light.	A man walks across a crosswalk.	0
A bare-chested man launches his skateboard off a ramp.	A guy with no shirt performs a skateboard trick	0
Three women speak to each other in a room with tan walls.	Three women are talking.	0
Three young boys are playing with Legos in a messy living room.	Three young boys are building with legos.	0
A large group of protesters staring up at the stage together.	A group of protesters watching someone on stage.	0
A man in green carries goods down a crowded street.	The man is holding goods.	0
A referee on rollerskates and wearing knee pads and a helmet is sweeping the floor of a wooden basketball court in front of a crowd.	There are lots of people in a place for a sport.	0
A man surveying in a fairly large city.	A man surveys in the city	0
People line the stands which advertise Freemont's orthopedics, a cowboy rides a light brown bucking bronco.	The cowboy is on a horse.	0
A boy stands in water near a Frisbee.	The boy's feet are wet.	0
A woman who just gave birth holding her baby in the hospital.	a lady holds her baby after labor	0
Several people jogging outside on a sunny day in what seems to be a neighborhood, could be part of a marathon.	Possible marathon runners are jogging outside on a sunny day through a neighborhood.	0
A man and two young children play music for a group of onlookers.	There is live music for a group of onlookers.	0
A child wearing blue shorts, white shirt, soccer socks and shin guards, holds a pink ball over her head as she gets ready to throw it.	There is a child in the football ground.	0
With a pack and ski pole on the ground, a man wearing a winter coat is holding a tent while other tents are already set up.	A man is trying to set up his tent in cold weather	0
Two men wearing safety harnesses are working on a light fixture.	The men are working on a fixture.	0
A man in a blue-green shirt walking by a building with a poster of a woman in a black dress.	a man in blue	0
A child holds his breath underwater.	The child is underwater.	0
Two children, an older boy and a younger girl, are walking down a sidewalk wearing their winter coats.	Two people are walking outside.	0
A man with a guitar playing to an ill little girl in a hospital bed.	A man plays a song for a sick child.	0
A large crowd of people are sitting outside of a store.	A large group is gathered outside of a store.	0
