sentence	label
be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows 	0
one eventually resents having to inhale this gutter romancer 's secondhand material 	0
of the word -- mindless , lifeless , meandering , loud , painful , obnoxious 	0
a pointless , meandering celebration 	0
have pulled off four similar kidnappings before 	0
is a subzero version of monsters , inc. , 	0
hitting the audience over the head with a moral 	0
of their first full flush of testosterone 	0
the dead ( water ) weight of the other 	0
the movie is a mess from start to finish . 	0
wears 	0
lazy exercise 	0
no means a slam-dunk and 	0
work more than it probably should 	0
dull , a road-trip movie that 's surprisingly short of both adventure and song 	0
troubled and 	0
that 's both charming and well acted 	1
a huge box-office hit in korea , shiri is a must for genre fans . 	1
a headline-fresh thriller 	1
there 's ) quite a bit of heart , as you would expect from the directors of the little mermaid and aladdin . 	1
see scratch for a lesson in scratching , but , most of all , see it for the passion . 	1
as in the songs translate well to film 	1
candy-coat with pat storylines , precious circumstances and beautiful stars 	1
, it is worth searching out . 	1
finesse 	1
have tremendous chemistry 	1
had much science 	1
piercingly affecting ... 	1
occasionally fun enough 	1
reassures us that he will once again be an honest and loving one 	1
a great team 	1
brian tufano 's handsome widescreen photography and paul grabowsky 's excellent music turn this fairly parochial melodrama into something really rather special . 	1
