premise	hypothesis	label
Several people are running a race next to a vineyard.	Several people are moving quickly past grapes.	0
The black and white animal is in the grass.	There is an animal in some grass.	0
An elderly gentleman sits on a couch while holding a small dog as another small dog investigates the situation.	An elderly gentleman sits on a couch while holding a small dog as another small dog investigates the situation.	0
A child is wearing a red shirt and raising their arms.	A child has clothes on.	0
An elderly white woman holding a bag walks through a terminal.	An old woman holding a bag.	0
A person in a white hat and yellow top enters a bus while a man in an orange shirt looks down in the foreground.	A person in a white hat and yellow shirt gets on a bus.	0
Two young girls and an old man with gray hair and beard are opening Christmas presents.	Three people were opening their Christmas gifts.	0
A child in green shorts is eating near a swimming pool.	The child is near water.	0
A man is playing guitar while young children dance around him and older children play soccer.	A man is playing guitar as children sing along.	1
A well lit room, with three glasses on the table and two plates.	There is a bottle of wine on the table.	1
Two men are having a conversation while sitting on the patio.	Enjoying coffee sitting on a patio two friends are having a great conversation eating biscuits	1
Cameraman in populated building taping an event.	The event is being recorded by a person.	1
A male and female fire performer, work their craft in front of an audience.	A man and woman preform fire tricks.	1
A little girl in a red dress is carrying shopping bags.	A girl just got done shopping for the day.	1
A girl wearing flip-flop sandals swinging on a swing set in a park underneath fluffy white clouds.	A girl is swinging on a swing set by herself on a nice summer day.	1
a dog runs across the grass.	The dog runs after a stick.	1
A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.	The workers are knee deep in fish eyes.	2
A blond woman offers a platter of food to another blond woman while sitting at a white table.	The blond woman is keeping the food all for herself.	2
Lots of people are walking on the road near several white buildings towards Nationals Park.	A group of people are running in a race.	2
Indian shop vendor working during the day.	An Indian shop vendor is works nights.	2
Five people of different ages are sitting at the table playing a board game.	a punch of people are playing nintendo	2
A man has finished climbing a set of stairs, between two tall, conical structures.	A man is lazy.	2
Various people crossing the street by a liquor store and Thai House.	Various people are sitting on the street	2
A woman in shorts and sandals is being pulled by a small child as a subway train goes by.	People in coats get on a ski lift.	2
