	question	option1	option2	label
0	stick	can help start a fire	can help put out a fire	0
1	How do I prepare the cookie sheets when making cherry cheesecake twists?	Line two cookies sheets with a non-stick baking mat or parchment paper	Line two cookies sheets with a non-stick baking mat or an egg slicer	0
2	how do you wear a bandana?	fold it in a triangle, and then wrap it and tie it on your head.	place it over your head and tie it at the bottom	0
3	Clean your wooden cutting board.	Wash your cutting board with dish soap and allow to dry. Wipe down with alcohol to kill all bacteria and condition the wood.	Wash your cutting board with furniture polish and allow to dry. Wipe down with alcohol to kill all bacteria and condition the wood.	0
4	To avoid over cooking your cookies,	take them out as soon as the edges look golden.	take them out as soon as the middle looks golden.	0
5	how do you switch facebook messenger accounts?	click on your profile picture in the messaging app then click on switch accounts.	click on your profile picture in the messaging app then click on sign out.	0
6	To cover up wood you don't want painted when painting the rest of it.	Use masking tape to block off sections.	Use scissors to cut off sections.	0
7	water bottle	be lifted by fingers easily	be lifted by tweezers easily	0
8	Who can design me a jacket	A seamstress can measure you and design something for themself	A seamstress can measure you and design something for you	1
9	oven	can be used to heat molten steel 	can be used to heat pies 	1
10	Creating your designs on the cakes	Put 1oz of melted chocolate into a fine tipped storage bag, make your designs onto the cakes.	Put 1oz of melted chocolate into a fine tipped piping bag, make your designs onto the cakes.	1
11	push pin	warm hands in mittens 	pierce mittens 	1
12	To cut a piece of lumber to the right length, you can	Use a metal chisel to cut the lumber	Use a miter saw to cut the lumber	1
13	How do you make jello?	Whisk together 1 cup of warm water with 1 packet of jello in a large bowl. Add 1 cup of cold water to the mixture and whisk it in.	Whisk together 1 cup of hot water with 1 packet of jello in a large bowl. Add 1 cup of cold water to the mixture and whisk it in.	1
14	how to fill a cupcake	Bake your cupcakes and let them cool completely. ...    Insert a decorating tip into a paper bag. ...    Fill the bag with 1 to 2 tablespoons of your desired filling. ...    Insert the tip into the top of the cupcake. ...    Squeeze the filling into the cupcake. ...    Frost and decorate the cupcake as desired	Bake your cupcakes and let them cool completely. ...    Insert a decorating tip into a piping bag. ...    Fill the bag with 1 to 2 tablespoons of your desired filling. ...    Insert the tip into the top of the cupcake. ...    Squeeze the filling into the cupcake. ...    Frost and decorate the cupcake as desired	1
15	Avoid getting sleepy when waking up.	Hit the snooze button.	Avoid the snooze button.	1
