	question	option1	option2	label
0	How do I remove a door from its hinges?	Use a punch to remove the hinge pins.	Break off the hinges with a sledge hammer.	0
1	Remove stuck ringer finger.	Apply butter around finger.	Apply sugar around finger.	0
2	television tray	can be embroidered with a kerchief 	can be embroidered with a night stand 	0
3	plastic bottle	can contain water and other things 	can contain water indefinitely 	0
4	How do you clean the sole of white shoes?	Remove excess dirt with a paper towel dipped in warm water. Use a tooth brush to scrub with dish soap. Wipe dry with a towel. Repeat as needed.	Remove excess dirt with a straw  dipped in warm water. Use a tooth brush to scrub with dish soap. Wipe dry with a towel. Repeat as needed.	0
5	how do you tackle someone?	run at them full speed	jump on them.	0
6	how do you follow a road?	walk down the road and don't turn.	walk beside the road and don't turn.	0
7	How do I make sure that the cookies are all the same size?	Use a small ice cream scoop to scoop out the dough and put it on the cookie sheet.	Use a slotted spoon to scoop out the dough and put it on the cookie sheet.	0
8	How to quickly melt chocolate bars?	Forgo the double boiler and crack the chocolate into a microwave safe bowl and heat for 15 minutes, stop and stir the chocolate then repeat every 15 minutes until melted	Forgo the double boiler and crack the chocolate into a microwave safe bowl and heat for 15 seconds, stop and stir the chocolate then repeat every 15 seconds until melted	1
9	How to plant Roses so they grow well?	All roses grow best in full sun with moist, well-drained soil that's rich in organic matter. Make sure your roses get at least 6 hours of indirect sun a day; if they get less light, the plants won't bloom as well and will be more susceptible to attack from pests and diseases.	All roses grow best in full sun with moist, well-drained soil that's rich in organic matter. Make sure your roses get at least 6 hours of direct sun a day; if they get less light, the plants won't bloom as well and will be more susceptible to attack from pests and diseases.	1
10	how do you prove you're you at an airport?	show them your social security card.	show them your id	1
11	How do you put on a pillow case?	Hold the pillow case by the open end and flap it to fluff it up, hold the pillow near the unopened end and stuff over the pillow case, shaking during the process to make sure it is all the way in.	Hold the pillow case by the open end and flap it to fluff it up, hold the pillow near the open end and stuff into the pillow case, shaking during the process to make sure it is all the way in.	1
12	How to safely saw through wood to split it?	Place the wood on a counter top and saw through the wood, then place in a vice grip	Place the wood in a vice grip and make sure it is steady then saw the wood as desired	1
13	Reduce weight gain when eating.	Eat a meal with a fast pace.	Eat a meal with a slow pace.	1
14	How to mark wood measurements.	Measure the wood using a measuring cup and mark with a marker.	Measure the wood using a tape measure and mark with a marker.	1
15	To puree bananas together, you can	Place them in a food dehydrator	Place them in a food processor	1
