	question	option1	option2	label
0	How to open a soda bottle	Grasp the lid of the bottle and firmly twist it counter-clockwise, and continue twisting it until it comes off of the bottle.	Grasp the lid of the bottle and firmly twist it clockwise, and continue twisting it until it comes off of the bottle.	0
1	how do you bellow out?	yell out.	speak out.	0
2	homemade floor cleaner	one part white vinegar and two pars warm water.	three parts baking soda, two parts salt, one part amonia, one part laundry detergent.	0
3	how to bake salmon	Preheat the oven to 450 degrees F.    Season salmon with salt and pepper. Place salmon, skin side down, on a non-stick baking sheet or in a non-stick pan with an oven-proof handle. Bake until salmon is cooked through, about 12 to 15 minutes. Serve with the Toasted Almond Parsley Salad and squash, if desired.	Preheat the oven to 150 degrees F.    Season salmon with salt and pepper. Place salmon, skin side down, on a non-stick baking sheet or in a non-stick pan with an oven-proof handle. Bake until salmon is cooked through, about 12 to 15 minutes. Serve with the Toasted Almond Parsley Salad and squash, if desired.	0
4	How do you decide what type of fish to keep in an aquarium?	To decide what type of fish is best for your aquarium, first consider the size a species of fish will be full grown, and make sure you can safely accommodate it. Then consider things like water chemistry requirements, aggression level, tankmates and dietary needs.	To decide what type of fish is best for your aquarium, first consider the size a species of fish will be full grown, and make sure you can safely accommodate it. Then consider things like water chemistry requirements, compassion level, tankmates and dietary needs.	0
5	What supplies are needed to make a tissue box out of a shoe box?	A shoe box        A tissue box        Scissors or box cutting knife        Ruler (Optional)        Sharpie or pen (Optional)	A shoe box        A tissue box        Scissors or butcher knife        Ruler (Optional)        Sharpie or pen (Optional)	0
6	How much dog food do you feed a medium sized dog weighing around 30 pounds for each meal?	They need about one cup of dried dog food, but will eat it better if you mix in about a half of cup of wet dog food with it much better.	They need about 10 cups of dried dog food, but will eat it better if you mix in about a half of cup of wet dog food with it much better.	0
7	What can I do to get my hair to stack back?	Wear a hair tie in your hair to keep it pulled back.	Wear a bread tie in your hair to keep it pulled back.	0
8	wok	can cook food fast.	can cook ice fast.	0
9	leek and potato soup	45 grams butter    4  leeks chopped    350 grams potatoes diced    1 litre chicken stock    Instructions    In a saucepan, melt half the butter over low heat. Add the leeks and cook, stirring occasionally, until softened, about 5 minutes. Add the potatoes and cook for 3 minutes.    Increase the heat to medium, pour in the stock and bring to boil. Reduce to a simmer, cover, and cook until the leeks and potatoes are tender, 35 to 40 minutes. Remove the pan from the heat and add the remaining butter in small pieces, stirring until it’s all incorporated.    Season with sea salt and pepper to taste. Transfer to a blender and puree until smooth. Serve in warm bowls.	45 grams butter    4  leeks chopped    350 grams potatoes diced    1 litre chicken stock    Instructions    In a saucepan, melt half the butter over low heat. Add the leeks and cook, stirring occasionally, until softened, about 5 minutes. Add the potatoes and cook for 3 minutes.    Increase the heat to medium, pour in the stock and bring to boil. Reduce to a simmer, cover, and cook until the leeks and potatoes are tender, 35 to 40 minutes. Remove the pan from the heat and add the remaining butter in small pieces, stirring until it’s all incorporated.    Season with sea weed and pepper to taste. Transfer to a blender and puree until smooth. Serve in warm bowls.	0
10	Dams	stop flooding 	stop earthquakes 	0
11	Make homemade pizza with a tortilla.	Get your tortilla and rub with oil. Bake in oven for 10 minutes at 350. Make sure tortilla bubbles up a bit. Pull out of oven and cover with ingredients. Bake again.	Get your tortilla and rub with oil. Bake in pan on stove for 10 minutes. Make sure tortilla bubbles up a bit. Pull out of oven and cover with ingredients. Bake again.	0
12	Treat heat burn.	Rinse burn with cold water then apply mustard.	Rinse burn with cold water then apply hot sauce.	0
13	how to make mirrors shine	brew a cup of black tea, and use it as a glass cleaner. Apply, and remove with a squeegee	brew a cup of black tea, and use it as a dishwasher cleaner. Apply, and remove with a squeegee	0
14	How can you keep tidy when trimming nails?	When cutting nails, dip them in water, this will keep them from flying when cutting them.	When cutting nails, dip them in nail polish, this will keep them from flying when cutting them.	0
15	How do I charge at someone	Look at your target, then run as fast as you can straight at them	Look at your target, then run as slow as you can straight at them	0
16	How to weigh a bee hive?	Once the bees are removed from the hive, the hive can be weighed on any standard weighing equipment.	The beehive should be weighed on a molecular weight measure, for accurate measurements.	0
17	What kind of tools and materials do you need for an outdoor shelter?	Canvas, wood boards, hammer, saw, nails, and a piece of land.	Wood sticks, nails, and whatever you would like to get creative with.	0
18	sand paper	can be used to remove rust from metal 	can be used to remove rust from leaves 	0
19	How to make a page-holder protruding outside the book, without using any other materials?	Tear the top corner of the page a little bit and place it so that it sticks outside the book when closed.	Tear off the bottom corner of the page  a little bit and place it inwards so that it sticks outside the book when closed.	0
20	how ot bake pumpkin	Preheat oven to 350 degrees.    Wash pumpkin and cut in half. Remove seeds and pith.    Rub pumpkin with olive oil inside and out. Sprinkled with salt.    Place on a baking tray, cut side down. Bake 35-40 minutes or until tender when pierced.    Allow to cool and remove skin with a knife. Pumpkin can be cubed or pureed.	Preheat oven to 500 degrees.    Wash pumpkin and cut in half. Remove seeds and pith.    Rub pumpkin with olive oil inside and out. Sprinkled with salt.    Place on a baking tray, cut side down. Bake 2 hours or until tender when pierced.    Allow to cool and remove skin with a knife. Pumpkin can be cubed or pureed.	0
21	What kind of board can be used for drying body jewelry?	A clipboard	A chalkboard	0
22	To feed a family easily without much time,	add the ingredients into a crock-pot all day.	put the ingredients in boiling water for an hour.	0
23	how do you put a dvd in a dvd player?	place the disk onto the disk tray and then close it.	shove the disk inside the disk tray.	0
24	To make flour tortillas from scratch,	mix a little water into some flour and then flatten out the dough and lightly grill it.	pour milk and egg into some flour and then roll out the dough and bake it.	0
25	To lean an instrument for playing jazz,	learn to play the saxophone.	construct a washboard to play.	0
26	make hamburgers	Preheat grill for high heat.    In a large bowl, mix the ground beef, egg, bread crumbs, evaporated milk, Worcestershire sauce, cayenne pepper, and garlic using your hands. Form the mixture into 8 hamburger patties.    Lightly oil the grill grate. Grill patties 5 minutes per side, or until well done.	Preheat grill for high heat.    In a large bowl, mix the ground beef, egg, bread crumbs, evaporated milk, Worcestershire sauce, cayenne pepper, and garlic using your a blender. Form the mixture into 8 hamburger patties.    Lightly oil the grill grate. Grill patties 5 minutes per side, or until well done.	0
27	Remove rain water from wet cat.	Use a towel and then a hair dryer on medium heat.	Use pantyhose and then a hair dryer on medium heat.	0
28	How to prevent a pizza roll from being dry?	Run some egg wash over the top of the roll before baking	Run some egg wash under the bottom of the roll before baking	0
29	rock	can rest on top of a hand 	can rest on top of a pond 	0
30	how to make dirty rice	Brown 8 ounces crumbled spicy sausage (casings removed) in 3 tablespoons olive oil in a large skillet over medium-high heat. Stir in 8 ounces chopped chicken livers, 1 chopped red bell pepper, 1 bunch chopped scallions, 2 chopped celery stalks and 2 teaspoons chopped thyme. Cook until the vegetables are almost tender, 8 minutes. Stir in 4 cups cooked white rice and 1/4 cup chopped parsley. Cook, tossing, until warmed through; season with salt.	Brown 8 ounces crumbled spicy sausage (casings removed) in 300 tablespoons olive oil in a large skillet over medium-high heat. Stir in 8 ounces chopped chicken livers, 1 chopped red bell pepper, 1 bunch chopped scallions, 2 chopped celery stalks and 2 teaspoons chopped thyme. Cook until the vegetables are almost tender, 8 minutes. Stir in 4 cups cooked white rice and 1/4 cup chopped parsley. Cook, tossing, until warmed through; season with salt.	0
31	wok	can be used to make  stir fry noodle 	can be used to make cookies 	0
