	question	option1	option2	label
0	How to change a headlight.	Open hood, locate headlight holder, if necessary loosen screws to remove cover, push down clip or cap holding wires to bulb base, unscrew old bulb and screw new bulb in places, reattach wires by clip or cap.	Open hood, locate headlight holder, if necessary loosen screws to remove cover, push down clip or cap holding wires to bulb base, unscrew old bulb and screw new bulb in places, no need to reattach wires by clip or cap.	0
1	How can I open a tight key ring without hurting my fingers or nails?	Use a staple remover and push the points of the remover between the bound parts of the ring to widen enough to add or subtract a key.	Use a staple remover and push the points of the remover between the bound parts of the ring to widen enough to add or subtract a staple.	0
2	soap	can be advertised on internet 	can be advertised on screws 	0
3	What is an easy way to keep a room dark during the day?	Purchase blackout curtains with liners.	Paint your windows with white paint.	0
4	How to prevent sun burn.	Keep skin covered if possible. Clothing provides all day UV protection.  Exposed skin should be covered with sunblock cream. Reapply as necessary.	Keep skin covered if possible. Clothing provides all day UV protection.  Exposed skin should be covered with heavy cream. Reapply as necessary.	0
5	To prevent sausages from exploding while being cooked, you can	Take a fork and use it to prick small holes in the sausages	Take a spoon and use it to prick small holes in the sausages	0
6	What kind of boxes are good for making shelves?	shoe boxes	jewelry boxes	0
7	how do you log out of your facebook?	go to the acount menu, and scroll down to the bottom and hit log out.	exit out of your facebook app.	0
8	How to patch up a hole in drywall.	Cut around the area of the hole into a square, then measure the square and cut another piece of drywall to size. Hold the new piece in place and drill to the studs. Place joint tape around the edges, then use a joint knife to apply putty. Sand it down when it's dry and wipe clean with a wet washcloth.	Cut around the area of the hole into a square, then measure the square and cut another piece of drywall to size. Hold the new piece in place and scotch tape it to the studs. Place joint tape around the edges, then use a joint knife to apply putty. Sand it down when it's dry and wipe clean with a wet washcloth.	0
9	To easily blow up balloons for a party,	use a bicycle pump.	use a hair blow dryer.	0
10	How can you water your home garden without having to do it manually every day?	Setup a drip system to provide constant water supply on a timer.	Setup a hose to provide constant water supply all day long.	0
11	To swap between Super NES, Nintendo 64, and Game Cube audio/video cables.	The RCA (yellow, white, red) cables on these three systems are the same.	The RCA (red, blue, green) cables on these three systems are the same.	0
12	basket	can be thrown at a mirror 	can be used to repair a broken mirror 	0
13	Remove a bird from the house.	Turn off all lights and open all windows.	Turn off all lights and close all windows.	0
14	To remove gum from your hair.	Dip the strands into a small bowl of coke for a few minutes.	Dip the strands into a small bowl of baking soda for a few minutes.	0
15	Peppermint	can take away nausea quickly	can take away broken bones quickly	0
16	How do you remove gel nail polish?	Buff the surface of your mani with a nail file to remove the shine, then soak a cotton ball in the acetone and place it directly on top of your nail. Follow by wrapping each finger with a small piece of foil, and after 10 to 15 minutes	Buff the surface of your mani with a nail file to remove the shine, then soak a cotton towel in the acetone and place it directly on top of your nail. Follow by wrapping each finger with a small piece of foil, and after 10 to 15 minutes	0
17	Create a privacy screen in shared room.	Hang up bed sheet in middle of room.	Hang up tissue paper in middle of room.	0
