	question	option1	option2	label
0	To lighten skin naturally	apply aloe vera gel on skin daily.	mix two parts turmeric with one part lemon juice and one part honey and apply the paste on face.	0
1	how do you use the keyboard buttons on a laptop?	press down on them with your fingers.	hold you fingers right over them.	0
2	How to bake a potato.	Wash and scrub the potato well with water, poke each end with a fork and place in 425 degree oven for 45 minutes.	Wash and scrub the potato well with soap, poke each end with a fork and place in 425 degree oven for 45 minutes.	0
3	to determine the center of 4x4 plywood	make two lines from the corner to the opposite corner, mark the point where two lines cross each other	make two lines from the corner to the next corner, mark the point where two lines cross each other	0
4	how to add more flavor to a broth?	add a few teaspoons of tomato concentrate.	boil with a few egg shells and parsnip tops.	0
5	food	helps you run.	helps the car run.	0
6	What are the steps to making a paper lantern?	You will need a pencil, cutting blade, ruler, chart paper, glue, bulb holder, and wire. Connect the wires and the strips of paper together.	You will need a pencil, cutting blade, ruler, chart paper, glue, bulb holder, and wire. Connect the wires and the strips of metal together.	0
7	How to secure corners of wooden tool crate.	Use wood glue to secure long piece of wood in each corner for added support.	Use nail glue to secure long piece of wood in each corner for added support.	0
8	To attach felt to a piece of wood.	Glue the felt to the non-sanded side of wood.	Sew the felt to the non-sanded side of wood.	0
9	How to child proof a trampoline	To keep little feet from getting hurt on trampoline springs, cover them with pool noodles.	To keep little feet from getting hurt on trampoline springs, cover them with pool filters.	0
10	crayon	writes on napkins 	writes on brush 	0
11	To attach sections of copper heating pipe together, you can	Use epoxy to hold the sections of pipe in place	Use masking tape to hold the sections of pipe in place	0
12	To cut grooves into a wooden board.	Use a router with proper sized bit and cut the grooves out.	Use a router with proper sized bit and fill the grooves in.	0
13	Make a t-shirt from a hoody?	Easy enough, as long as your hoody is zipper free.  Just cut away the arms at the sleeve holes, Trim the neckline to the desired length, and you will have a t-shirt in 5 minutes.	Easy enough, as long as your hoody is zipper free.  just cut away the legs at the sleeve holes, Trim the cuffs  to the desired length, and you will have a t-shirt in 5 minutes.	0
14	How do you clean a litter box?	Empty all of the litter out of the box and fill the box with 1/2 inch of vinegar. Let the vinegar sit for 15 minutes. Mix some warm water into the vinegar and scrub the box, and then dump out the mixture.	Empty all of the litter out of the box and fill the box with 1/2 inch of vinegar. Let the vinegar sit for 15 minutes. Mix some warm water into the vinegar and wipe the box, and then dump out the mixture.	0
15	Practice your soccer shooting skills.	Practice your approach to the ball, placing your plant foot just behind the ball when you want to get some air under it	Practice your approach to the ball, placing your plant foot just in front the ball when you want to get some air under it	0
16	earring back	can carve words into iced cake 	can carve words into iced sidewalk 	0
17	How to prevent failure of writing something in the wrong size on a cake?	First use a toothpick and write your message, get it the right size, then go over with the icing.	First use a icing nozzle and write your message, get it the right size, then go over with the toothpick.	0
18	Decide what to throw out.	If you have an item that you haven't used in a year, have completely forgotten about, or can't even image what you'll need it for ever again, then it's time to toss it.	If you have an item that you haven't used in a week, have completely forgotten about, or can even image what you'll need it for ever again, then it's time to toss it.	0
19	how do you put cream on your sking?	rub it around your skin until it blends in.	squirt it on your skin and let it settle.	0
20	How do you use a clothespin?	Holding an article of clothing up to a clothesline, squeeze the open end of the clothespin with two fingers and slide the clasped end over the clothing and line, release the pressure.	Holding an article of clothing up to a clothesline, squeeze the open end of the clothespin with your fist and slide the clasped end over the clothing and line, release the pressure.	0
21	How to make a fun vertical bookshelf?	Run a thick band thread across a bundle of books and staple the thread to a wooden plank, place brackets into the wall and place the plank underneath the brackets for an inverted bookshelf	Run a thick band thread across a bundle of books and staple the books to a wooden plank, place brackets into the wall and place the plank atop the brackets for an inverted bookshelf	0
22	Make a hair dryer holder.	Hang string cloth grocery bag in bathroom for hair dryer.	Hang plastic grocery bag in bathroom for hair dryer.	0
23	how do you log into your netflix app?	open the netflix app, put in your information, then click log in.	open the netflix app, click on sign up, put in your information, then click log in.	0
24	How can you get permanent marker stains off your body?	Use a highlighter, mark over the marker with a highlighter to dislodge stain then clean off with soap and water..	Use a darker permanent marker, mark over the marker with a highlighter to dislodge stain then clean off with soap and water..	0
25	How long should I cook french toast on each side?	You cook it until the raw egg is cook on each side.	You want to make each side a brown as you can	0
26	How do I chop the onions ?	First remove the dry layers of the onion with your fingers, then put the onion on a chopping board and cut it in half with a kitchen knife, then cut each half in 1 inch pieces.	First remove the dry layers of the onion with your fingers, then put the onion on a chopping board and cut it in half with a kitchen spatula, then cut each half in 1 inch pieces.	0
27	How do you remove hard water stains from stainless steel?	Soak the edge of a cloth or sponge in the club soda and wipe over the metal surface. Repeat as needed until the water stains have been removed completely.	Soak the edge of a cloth or sponge in the diet soda and wipe over the metal surface. Repeat as needed until the water stains have been removed completely.	0
28	What should I wear when working on a soldering project?	You should wear a good pair of safety glasses and gloves	You should wear a good pair of safety contact and gloves	0
29	How to mix a carton of juice before serving it	Take the carton in one or two hands, and keep it closed. Shake it firmly to make the contents mix together.	Take the carton in one or two hands, and open it. Shake it firmly to make the contents mix together.	0
30	grater	can hold chopsticks 	can season chopsticks 	0
31	To stop a car without brakes,	turn on the hazard lights, take your foot off the gas and turn off cruise control, try to shift into a lower gear, drive on the shoulder of the road, pump the brakes, and engage the emergency brake once you've slowed down.	turn on the hazard lights, take your foot off the gas and turn off cruise control, try to shift into a lower gear, drive on the shoulder of the road, pump the tire, and engage the emergency brake once you've slowed down.	0
32	how do you wear a bra?	with the straps over your breasts.	with the cups over your breasts.	1
33	hair	grows on carpet naturally	grows on feet naturally	1
34	Slow a bunch of bananas from ripening to quickly.	After bringing a bunch of bananas home from the grocery store, seperate the bunch into individual bananas and place in different areas of the kitchen. This prevents the ethylene gas emitting from each tea bag from ripining the other bananas on the bunch to quickly.	After bringing a bunch of bananas home from the grocery store, seperate the bunch into individual bananas and place in different areas of the kitchen. This prevents the ethylene gas emitting from each banana from ripining the other bananas on the bunch to quickly.	1
