premise	hypothesis	label
A man with a mad standing on a ladder holding yellow measuring tape.	A man is standing on a ladder	0
The young man is checking his map.	A man, young in age, stops to check his map.	0
A lady is in a wheelchair on the corner of a street, and a man in a white shirt is about to cross the street.	There are two people outside.	0
The train worker checks to make sure that everything is okay before the train leaves the station.	There is a worker working.	0
A boy is putting the cone end of a melting ice cream cone in his mouth.	A child eats a treat.	0
Many people at an outdoor gathering with a guy and girl in the foreground.	Two people are in the foreground of a large group outdoors	0
Asian people in a SuperMarket.	People shopping.	0
a man with a green hat& jacket sitting on the sidewalk playing a guitar.	The man is making music.	0
A woman sitting on a wall on a bright summer day.	She is enjoying the beautiful summer day.	1
A woman is sitting up asleep with her head resting on her hand.	A college girl fell asleep resting on her hand as the psychology professor droned on.	1
A man with white shirt and blue jeans pushing a truck with a picture of a woman Edwards saying real colors never dye	A man pushes a truck that had run out of gas.	1
Men in fluorescent green vest stand in a group.	The men are having a conversation.	1
A bald man holds a fish in front of a lake while two blond young children stand near him while holding fishing poles.	There is a grandfather teaching his grandchildren how to fish at a lake.	1
This man is playing a set of red drums.	A man is playing drums in front of a sold out crowd.	1
A happy girl in a forest with leaves falling from a tree.	a girl lost in the forest	1
A young boy is pushing a toy ATV around a rubber pool	A kid is playing outside in the sun	1
A boy in a red, white, and blue striped shirt holding and examining a bug.	The boy is playing with a cat.	2
A man with a bag walking along a stone street in front of an old looking building with blue pillars.	a man is sitting, eating lunch .	2
A man sleeping on a wooden chair.	A woman starting a fire.	2
A man is kicking a ball on an empty field.	A man is kicking a ball on an crowded field	2
A biker is doing tricks on his bike.	The person is doing tricks on his skateboard	2
Two men wearing black vests and white shirts and a girl are holding bottles of beer.	Three women are drinking wine.	2
dough is being rolled out.	Dough is placed in the oven.	2
A man with glasses wearing ornate clothing sitting down with an ornament in his hand.	A man at the hospital getting an x-ray.	2
