sentence	label
completely awful iranian drama ... as much fun as a grouchy ayatollah in a cold mosque 	0
is a whole lot of nada 	0
by the artsy and often pointless visuals 	0
little room 	0
of unsettling atmospherics 	0
the plot seems a bit on the skinny side 	0
but , like silence , it 's a movie that gets under your skin . 	0
the hackneyed story 	0
serves up with style and empathy 	1
adroit 	1
another cool crime movie 	1
sharp and quick documentary 	1
what 's even more remarkable is the integrity of devito 's misanthropic vision 	1
the remarkable ensemble cast 	1
it demonstrates that werner herzog can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken . 	1
sweetly conspiratorial 	1
