premise	hypothesis	label
Several people are running a race next to a vineyard.	Several people are moving quickly past grapes.	0
A young man with a leather jacket walking by a man who seems like having trouble with his poorly constructed shopping cart.	The young man is wearing a jacket.	0
The black and white animal is in the grass.	There is an animal in some grass.	0
Two men work on girls bike in front of garage.	Humans working	0
Woman cleaning a desk in a dilapidated building.	A woman is cleaning in a run down building.	0
An elderly gentleman sits on a couch while holding a small dog as another small dog investigates the situation.	An elderly gentleman sits on a couch while holding a small dog as another small dog investigates the situation.	0
A child is wearing a red shirt and raising their arms.	A child has clothes on.	0
A soccer player looks to maneuver around the opposing goalie who is diving for a steal.	There is a soccer player running.	0
A young woman is working behind the counter at a restaurant.	A young woman is at work.	0
An elderly white woman holding a bag walks through a terminal.	An old woman holding a bag.	0
A young man has a cigarette in his mouth and is wearing a nun's habit.	A young man in a nun's habit is smoking.	0
A person in a white hat and yellow top enters a bus while a man in an orange shirt looks down in the foreground.	A person in a white hat and yellow shirt gets on a bus.	0
Concentration campsite.	A concentration camp.	0
Two young girls and an old man with gray hair and beard are opening Christmas presents.	Three people were opening their Christmas gifts.	0
A child in green shorts is eating near a swimming pool.	The child is near water.	0
A chef and his newest creation in process, being made in an old fashioned oven.	A chef creates.	0
A man is playing guitar while young children dance around him and older children play soccer.	A man is playing guitar as children sing along.	1
Two boys paddle across the water with fishing nets, one wearing a long-sleeved yellow shirt and the other wearing a baggie hoodie.	The two boys caught some fish.	1
A small boy is listening to headphones is front of a building, with a soldier in the background.	A young boy listens to the newest pop music in front of a building.	1
A young woman dressed in black and another with purple hair hold up signs offering free hugs.	The woman wants to make people feel good	1
A well lit room, with three glasses on the table and two plates.	There is a bottle of wine on the table.	1
Two men are having a conversation while sitting on the patio.	Enjoying coffee sitting on a patio two friends are having a great conversation eating biscuits	1
Woman in short-sleeve purple shirt pushing button on street.	The woman is pushing a crosswalk button	1
A man in an orange vest is riding on an escalator.	A repair man in an orange vest is riding on an escalator.	1
Cameraman in populated building taping an event.	The event is being recorded by a person.	1
A man is shining shoes in a marketplace.	A man is tending to the shoes of a man in a suit near a fruit seller.	1
A male and female fire performer, work their craft in front of an audience.	A man and woman preform fire tricks.	1
A little girl in a red dress is carrying shopping bags.	A girl just got done shopping for the day.	1
A girl wearing flip-flop sandals swinging on a swing set in a park underneath fluffy white clouds.	A girl is swinging on a swing set by herself on a nice summer day.	1
a dog runs across the grass.	The dog runs after a stick.	1
An overweight woman and man have upset faces as they sit on a bench.	A married couple sitting on the bench mad at each other.	1
Man dressed in drag pointing at his open mouth.	The man in drag has on a wig.	1
A guy in a suit playing bagpipes next to a girl wearing teal clothing.	A woman plays with her dog.	2
A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.	The workers are knee deep in fish eyes.	2
The black and brown dogs play in the snowy field.	The dog does not like the coldness of the snow.	2
A mother is kneeling with her child with rocks in the background.	A man kneels next to his child.	2
A blond woman offers a platter of food to another blond woman while sitting at a white table.	The blond woman is keeping the food all for herself.	2
a man wearing black, speaks into a microphone, while a woman writes.	The captain of the ship is yelling in a storm that has drenched him in rain.	2
Lots of people are walking on the road near several white buildings towards Nationals Park.	A group of people are running in a race.	2
large man in black shirt next to police officer walking away from man in blue shirt and backpack	The police officer is eating donuts with his feet while the two men walk away together.	2
Indian shop vendor working during the day.	An Indian shop vendor is works nights.	2
A snowboarder in white soaring through the air.	A woman skis down a mountain.	2
Five people of different ages are sitting at the table playing a board game.	a punch of people are playing nintendo	2
A man has finished climbing a set of stairs, between two tall, conical structures.	A man is lazy.	2
Various people crossing the street by a liquor store and Thai House.	Various people are sitting on the street	2
A man wearing a green jacket and ear protection stands on the street.	A man wearing a green jacket has no ears while he is standing in the street.	2
A lady and young girl sit at a restaurant together.	A lady and a girl sit at home while a man cooks dinner	2
A woman in shorts and sandals is being pulled by a small child as a subway train goes by.	People in coats get on a ski lift.	2
