sentence	label
is it true with four face buddha?	0
How would you feel if you woke up tomorrow and humans weren't on top of the game anymore?	0
What is hesychasm?	0
Ganesha... and How to pray to Ganesha?	0
For the mothers in the world, would u allow your son to get away with this crap ?	0
I don't want to go to school.?	0
what do you like more? chrismas or easter?	0
Rapunsel had long hair, Sleeping Beauty slept, What gimmic that Jesus used captured your imagination most?	0
how hot is the sun?	1
Why is glass vessel in vacuum flask is silvered?	1
how many feet are in one meter?	1
what is Mashroom Phenomena?	1
why can't I go faster then light?	1
what  constellations stars where out in the past week?	1
Is Granite intrusive or extrusive?	1
how abs works?	1
Is there a cancer risk when reusing a water bottle (i.e. aquafina)?	2
testies of a person r not at proper place. one of them come at right place time to time ,anohter never comes?	2
Is it true that...?	2
In a few weeks im taking my boyfriend to get a pedicure with me?	2
What is the best argument against banning smoking in all public places?	2
Where is the butterfly race taken in?	2
what could cause a swollen lymph node followed by a painful sore throat?	2
Has anyone used Instead Softcup while having sex?	2
You Flip a coin and toss a number 1-6  dice \nwhat are ur chances of getting heads and a 2 \non the dice?	3
What were your plans for prom?	3
determine budget in project management?	3
do you know how the uniform looks for International Arts Business High School?	3
Crowd went there to see te humiliores eradicated and many striking matches.?	3
where can I find some good notes to study for a global regents?	3
life quote, saying, and poems?	3
What are Koala's habits?	3
how do I get to my blog from my yahoo page?	4
Could Win XP recovery discs for one PC be used to install an operating system on another PC without a system?	4
Ethernet question (and other forms of networking)?	4
I've just loaded a website to the web, and can see it through  all browser except AOL. Any suggestions ?	4
how to download ati radeon 200g driver from internet tell me the site?	4
which is the latest version of microsoft windows.?	4
How can you repair a water damaged laptop on your own?	4
Have you had spoof mail from ebay or Paypal?	4
does everyone know the difference between these things?	5
Week 13 QB?	5
Who replaces Owen now ?	5
what was the first people to discover the football and which year?	5
Does anyone know, where Cristiano Ronaldo lives?	5
is JJ reddick in the NBA draft?	5
is there anywhere i can see steve nash's wife?	5
How to save the WWE?	5
I am 15 years old and I live in Connecticut and I am in desperate need of a job, how should i approach this?	6
Whats your fave thing to do when its raining?	6
how can I find what the fair market value of a house was in 1983?	6
What do you do when your oldest brother just up and moves out because he turned his back against God.?	6
where can i find a computerised cotton spinning plant quotation to import in sudan?	6
how to submit my web page?	6
Does Mark Percival Really Hate Christmas?	6
Do i need a license to run an empolyment agency?	6
Is there any fans of Taylor Rain?	7
What is the plumber's friend?	7
If it takes one man 1 hour to dig a hole, how long will it take 2?	7
Who was voted off american idol tonight, i missed it?	7
"What's that commercial where a guy is driving, lost, and ""carol of the bells"" is playing, but with diff words?"	7
Who is your favorite female model,singer or actress?	7
Anyone for blonde counselling?	7
so who is your favourite........?	7
Should I dump him before the holidays?	8
MEN answer this pleeeeez?	8
How do you find out if someone likes you or not?	8
help...(guy problems)?	8
my neighbors kids?	8
what does a.g stands for?	8
If a man falls in love with a Transsexual, Does that make him gay???	8
What is more attractive ?	8
Henry Kissingers just released papers?	9
What is the first day of spring in 2006?	9
if i want to replace a birth certificate do i have to get from the state i was born in?	9
Per year, what % of average people need a lawyer for something in their lives & how many actually get one?	9
Why is the armies dress jacket and pants a different color blue?	9
I want to know about TDCJ/sentencing time.?	9
If Gerald Ford croaks soon will he get full state funeral like Reagan?	9
IS IMMIGRATION A contentiousWORK? OR NON _CONTENTIOUS?	9
