sentence	label
, one hour photo lives down to its title . 	0
floundering 	0
in a plot as musty as one of the golden eagle 's carpets 	0
moron 	0
its scrapbook of oddballs 	0
puts on airs of a hal hartley wannabe film -- without the vital comic ingredient of the hilarious writer-director himself . 	0
the attempt to complicate the story only defies credibility 	0
a fragile framework 	0
all awkward , static , 	0
it all seemed wasted like deniro 's once promising career and the once grand long beach boardwalk . 	0
disguise 24/7 	0
director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading . 	0
's just merely very bad 	0
before i see this piece of crap again 	0
gross-out flicks , 	0
a major waste ... generic 	0
i do n't know if frailty will turn bill paxton into an a-list director , but he can rest contentedly with the knowledge that he 's made at least one damn fine horror movie 	1
cinema history as the only movie ever 	1
seem self-consciously poetic and 	1
wonderful subject 	1
made the full monty a smashing success ... but 	1
endearing . 	1
a sumptuous work 	1
kissing 	1
both an admirable reconstruction of terrible events , and a fitting 	1
exploits ( headbanger ) stereotypes in good fun , while adding a bit of heart and unsettling subject matter . 	1
know it would n't exist without the precedent of yiddish theater , whose jolly , fun-for-fun 's - sake communal spirit goes to the essence of broadway . 	1
ambitious ` 	1
old enough to have developed some taste 	1
savvy director robert j. siegel and his co-writers 	1
of rich detail condensed 	1
a majestic achievement , an epic of astonishing grandeur and 	1
