	question	option1	option2	label
0	What can I do about a rash or when my skin is irritated?	Wash the affected area with warm water and light soap, do not be forceful or scrape off excess skin. Dry the area, and then apply a topical lotion that relieves itching.	Locate the affected area, and apply hydrogen peroxide. Afterwards, wash the area with warm water and soap to remove the hydrogen peroxide. Dry off with a dry towel.	0
1	how do you navigate a car?	drive it.	push it.	0
2	To round off a piece of plastic being used for a finger stylus.	Use heat to round off the plastic.	Use sandpaper to round off the plastic.	0
3	To prevent juices from running out of your trash bag,	put newspaper at the bottom of a trash bag to absorb run off.	add some chopped fruit to the bottom of a trash bag before use.	0
4	how do you forge someone's signature?	sign in their name.	sign in your name.	0
5	Prevent diluted coke soda.	Freeze coke in ice cube tray.	Refrigerate coke in ice cube tray.	0
6	how to temper batter	slowly add 1/3 cup of the hot liquid to the batter, and stir. pour back into the rest of the hot liquid.	pour all of the hot liquid into the batter, and then place in a blender.	0
7	To dry potatoes after frying,	carefully remove the fried potatoes from the pan with a slotted spoon and set onto paper towels to drain until cooled.	carefully remove the fried potatoes from the pan with a tablespoon and set onto paper towels to drain until cooled.	0
8	how do you release pressure on something?	let it go.	hold down on it.	0
9	how to make rice, beans and collards	Make Red Beans and Rice. Meanwhile, saute 6 cups chopped collard greens in butter over medium heat until wilted, 5 to 8 minutes; season with salt and chipotle hot sauce. Add to the rice.	Make Red Beans and Rice. Meanwhile, refrigerate 6 cups chopped collard greens in butter over medium heat until wilted, 5 to 8 minutes; season with salt and chipotle hot sauce. Add to the rice.	0
10	how do you rest your eyes?	close your eyes.	massage your eyes.	0
11	sharpen pencil	use knife	cut on angle	0
12	Do cardio exercise without running.	Use a jump rope for 15 minutes.	Run around a chair for 15 minutes.	0
13	How to stay cool while walking or jogging in the summer?	When out walking or jogging, take a spritzer bottle filled with water and peppermint oil. Wear a personal cooling fan around the neck. Wear loose clothing that allows air flow. Stay hydrated and do not over exert yourself which can lead to heat exhaustion.	In Australia you will not be getting heat exhaustion in July since it will be freezing cold outside. Your water bottle would freeze anyway. Take a hot thermos of something to keep you warm or just stay inside where the fires are burning nice and toasty.	0
14	Inhale scent to sleep faster.	Put lavender oil in an oil diffuser on night stand.	Put coconut oil in an oil diffuser on night stand.	0
15	how to make a simple syrup	simmer 1 cup of water and 1 cup of sugar in a medium heated pot until the sugar dissolves. Bottle and store in your refrigerator for up to 2 weeks.	simmer 1 cup of unflavored gelatin and 1 cup of sugar in a medium heated pot until the sugar dissolves. Bottle and store in your refrigerator for up to 2 weeks.	0
16	How to crack a walnut.	Use a nutcracker and hold a walnut between two fingers. Open the nutcracker and place the walnut securely in the center of it. Hold the nutcracker over a bowl or a trash can to catch any debris. Squeeze the nutcracker shut in your hands until the walnut cracks.	Use a nutcracker and hold a walnut between two fingers. Open the nutcracker and place the walnut securely in the center of it. Hold the nutcracker over a fire or stovetop to catch any debris. Squeeze the nutcracker shut in your hands until the walnut cracks.	0
17	To get the cloth cloak to stick to the baby doll.	Soak the cloth cloak in glue and paint.	Sew the cloth cloak to the baby doll.	0
18	How to trace stencil onto paper.	Trace along the outside of the stencil with a pencil onto the paper.	Trace along the outside of the stencil with an eraser onto the paper.	0
19	How to patch up a hole in drywall.	Cut around the area of the hole into a square, then measure the square and cut another piece of drywall to size. Hold the new piece in place and drill to the studs. Place joint tape around the edges, then use a joint knife to apply putty. Sand it down when it's dry and wipe clean with a wet washcloth.	Cut around the area of the hole into a square, then measure the square and cut another piece of drywall to size. Hold the new piece in place and scotch tape it to the studs. Place joint tape around the edges, then use a joint knife to apply putty. Sand it down when it's dry and wipe clean with a wet washcloth.	0
20	how to add a light garlic flavor to dishes?	run a garlic clove over a grater.	toss sliced garlic with parmesan cheese, and saute in olive oil.	0
21	How do you make cinnamon sugar?	In a bowl, sprinkle one unit of cinnamon over four units of sugar and stir together with a spoon.	In a bowl, lay one cinnamon stick over four units of sugar and stir together with a spoon.	0
22	How to charge a phone.	Plug the charger into the wall. Take the charging port and plug it into the phone. Make sure the phone indicates that it is now charging.	Plug the charger into the wall. Take the charging port and plug it into the phone. Make sure the phone doesn't give any indication of charging or any notification.	0
