premise	hypothesis	label
A man with a mad standing on a ladder holding yellow measuring tape.	A man is standing on a ladder	0
A man in a suit walking down the street with a colorful drawing in the background.	A man in a suit is walking outside.	0
A male practices BMX bike riding at and man made urban practice field with big lumps of dirt, water and a factory as a back drop.	A person practicing	0
Two students having a conversation on the other side of a concrete wall, which has a common sitting are on the other side.	Two students are talking.	0
Flags with men in yellow vests in front of them.	There are men with yellow vests.	0
The young man is checking his map.	A man, young in age, stops to check his map.	0
A brown and white dog with pointy ears stands outside in sand holding a small tire in its mouth.	A dog holds a tire in its mouth.	0
a group of five young people all dressed in black in a dimlight room	A group of five people are wearing black.	0
A lady is in a wheelchair on the corner of a street, and a man in a white shirt is about to cross the street.	There are two people outside.	0
The train worker checks to make sure that everything is okay before the train leaves the station.	There is a worker working.	0
A boy is putting the cone end of a melting ice cream cone in his mouth.	A child eats a treat.	0
Many people at an outdoor gathering with a guy and girl in the foreground.	Two people are in the foreground of a large group outdoors	0
A blurry dog inside on a carpet.	The dog is on the carpet.	0
A military man training his dog for combat.	A person is teaching an animal.	0
Asian people in a SuperMarket.	People shopping.	0
a man with a green hat& jacket sitting on the sidewalk playing a guitar.	The man is making music.	0
A woman sitting on a wall on a bright summer day.	She is enjoying the beautiful summer day.	1
a woman and a child looking at the child's dress	A mother and her daughter admire the dress.	1
A woman is sitting up asleep with her head resting on her hand.	A college girl fell asleep resting on her hand as the psychology professor droned on.	1
A man with white shirt and blue jeans pushing a truck with a picture of a woman Edwards saying real colors never dye	A man pushes a truck that had run out of gas.	1
Men in fluorescent green vest stand in a group.	The men are having a conversation.	1
A bald man holds a fish in front of a lake while two blond young children stand near him while holding fishing poles.	There is a grandfather teaching his grandchildren how to fish at a lake.	1
This man is playing a set of red drums.	A man is playing drums in front of a sold out crowd.	1
A man in a t-shirt and shorts poses in front of a police squad wearing full S.W.A.T. gear.	A officer is about to go to work to arrest some bad guys.	1
In foreground, a woman in pink jeans is helping a child in a heart t-shirt to skate, while cyclists and others walk in background with palm trees.	A skate teacher teaches her student skating.	1
A happy girl in a forest with leaves falling from a tree.	a girl lost in the forest	1
The man in the white shirt is praying in public.	A man is bowing his head.	1
Two scientists work together, looking into the smoke of their experiment to see how it's all coming together.	Two female scientists are working together.	1
A young boy in Christmas-themed pajamas unwraps a gift and plays with other gifts while family watches him.	The child is celebrating the holidays with family.	1
A young boy is pushing a toy ATV around a rubber pool	A kid is playing outside in the sun	1
Two Asian people look at flowers lined up on a table.	Two people pick out flowers for a wedding.	1
A man standing in a lake fishing.	A man is catching fish at a lake for dinner.	1
A sculptor in a blue sweater chiseling a piece of stone.	A sculptor in a red sweater chiseling a piece of stone.	2
A boy in a red, white, and blue striped shirt holding and examining a bug.	The boy is playing with a cat.	2
Two boys are sitting to a table filled with food and snacks.	Two young boys, candy bars and other snacks jammed in their pockets, ran across the field to get away from the store clerk.	2
A man with a bag walking along a stone street in front of an old looking building with blue pillars.	a man is sitting, eating lunch .	2
The young man is tuning his guitar.	A baby is on a table.	2
A man stands among cement fixtures in front of a donut shop.	The man is petting a walrus.	2
A man sleeping on a wooden chair.	A woman starting a fire.	2
Smoke is coming from a jet in the sky.	The jet sits on the ramp.	2
A man is kicking a ball on an empty field.	A man is kicking a ball on an crowded field	2
A police officer talks to the owner of a parked car.	The police officer sitting at the precinct.	2
A biker is doing tricks on his bike.	The person is doing tricks on his skateboard	2
Two men wearing black vests and white shirts and a girl are holding bottles of beer.	Three women are drinking wine.	2
dough is being rolled out.	Dough is placed in the oven.	2
A man with glasses wearing ornate clothing sitting down with an ornament in his hand.	A man at the hospital getting an x-ray.	2
Rugby players having fun.	The players are bored.	2
A young man in odd clothes leaning against a brick wall with a garden in it.	A young man in odd clothes is sleeping in a car.	2
