sentence	label
Abbas Apologizes to Kuwait for 1990 PLO Stand  KUWAIT (Reuters) - Mahmoud Abbas, on the first visit by a  top PLO official to Kuwait in 14 years, apologized to the Gulf  state for the Palestine Liberation Organization's failure to  condemn Iraq's 1990 invasion of its small neighbor.	0
Movie critical of the treatment of Muslim women created an outrage AMSTERDAM, NETHERLANDS - A Dutch filmmaker who outraged members of the Muslim community by making a film critical of the mistreatment of women in Islamic society was gunned down and stabbed to death Tuesday on an Amsterdam street.	0
Bush defends action against Iraq President Bush backs his policy on Iraq, despite confirmation that Saddam Hussein did not have WMD.	0
Blast in Gaza Home of Hamas Man Kills 4 - Medics GAZA (Reuters) - An explosion tore through the home of a senior Hamas militant in Gaza on Wednesday, killing at least four people and wounding him and about a dozen other Palestinians, medics said. 	0
Priest #39;s Arrest Fuels Anger of Supporters of Aristide Human rights groups in Haiti and abroad are protesting the detention of the Rev. Grard Jean-Juste, a well-known Roman Catholic priest and vocal supporter 	0
Gunmen kill Iraqis working for US Insurgents kill 21 Iraqis, mostly civilians working for the US military, in separate attacks across the country.	0
"Melissa Etheridge Has Cancer, Cancels Tour LOS ANGELES - Singer Melissa Etheridge has been diagnosed with breast cancer and has canceled upcoming tour dates to undergo treatment, her publicist said Thursday.    Etheridge, 43, will undergo surgery and a ""speedy and complete recovery"" is expected by her doctor, publicist Marcel Pariseau said in a statement..."	0
Bush leaves for overnight trip to Canada in effort to force closer ties (Canadian Press) Canadian Press - WASHINGTON (CP) - President George W. Bush left early Tuesday for his first official visit to Canada since he was re-elected in an effort to forge friendlier ties.	0
Trulli to race in Japan, Brazil Jarno Trulli will replace Toyota #39;s Ricardo Zonta in Japan, before sending F1 veteran Olivier Panis into retirement one grand prix early as the season ends at Interlagos.	1
American League Game Summary - Kansas City at Tampa Bay Tampa Bay has won six of eight against the Royals this season, but Kansas City holds a slight 14-13 edge since the start of the 2001 campaign...Bell has seven career games against the Royals and is 2-0...Bell made his first start of the month and made his 	1
USA #39;s Hull fumes over benching Former Red Wing Brett Hull won #39;t be in the lineup again tonight, when the United States faces Russia in the quarterfinals of the World Cup of Hockey, and he #39;s not happy about it.	1
Football Press Conference Set For Thursday Morning OXFORD, Miss. - A press conference to announce the hiring of a new head football coach at The University of Mississippi has been scheduled for Thursday morning, December 16, at 10:00 am, in the new Indoor Practice Facility.	1
Holtz bids farewell as Spurrier waits in wings COLUMBIA, SC ---- As South Carolina coach Lou Holtz left the game he #39;s cherished for 33 seasons, he couldn #39;t resist poor-mouthing himself one last time.	1
Golf: Singh fires final round 69 to win third straight event FARMINGTON, United States : Vijay Singh shot a three-under par 69 to win the 4.2 million dollar PGA event and capture his eighth title of 2004.	1
Lucchino thinks it was a bad move The president and chief executive officer of the Red Sox thinks Pedro Martinez made the wrong decision. But Larry Lucchino nonetheless had nothing but praise for the former Red Sox ace, who decided to take a more lucrative offer and join the New York Mets.	1
Thin bullpens have managers calling on closers earlier An epidemic has erupted in the postseason. In the first seven division series games, managers used their closers for three innings three times.	1
Body of NBC TV exec #39;s son believed found GRAND JUNCTION, Colo. - Moments after surviving a horrific plane crash, Charles Ebersol frantically begged bystanders for help in rescuing his kid brother from the wreckage:  quot;Can you please help get him 	2
UPDATE 3-Guidant resolves Champion stent issues Guidant Corp. (GDT.N: Quote, Profile, Research) said on Thursday it has resolved manufacturing and design problems that caused tiny fractures in its experimental 	2
New steel giant includes Lackawanna site A major change is coming to the global steel industry and a galvanized mill in Lackawanna that formerly belonged to Bethlehem Steel Corp.	2
Where Have All the Chief Financial Officers Gone? The push for better ethics and transparent accounting in corporate America has had an unexpected side effect: more finance chiefs are calling it quits.	2
United asks court to impose pay cut Union workers may face a 23 percent slash in pay; United says it needs cash reserves. United Airways asked a bankruptcy judge to impose a 23 percent pay cut on its union workers, including pilots and attendants.	2
Russia chose rebate figure to sell Yukos unit: Dresdner MOSCOW : A top Western bank asked to value Yukos #39;s core asset said the Russian government chose the lowest price possible for a planned sale of the oil giant #39;s crown jewel in a move that has shaken investors.	2
SunTrust Fires 3 Executives Over Miscalculations SunTrust Banks said yesterday that it had fired its chief credit officer and two other executives after finding numerous errors in calculating how much to set aside for bad loans.	2
Vioxx pulled from market The maker of the popular arthritis drug Vioxx is removing it from markets worldwide after a new study found that long-term users face increased risks for heart attack and stroke.	2
CA CEO: IT is too complex Editor #39;s Summary: The new CEO at Computer Associates has spoken! He said in a speech this week that IT products are not being designed with the customers #39; needs in mind and that the products out there are too complex.	3
Evolution and Religion Can Coexist, Scientists Say In some corners, popular belief holds that science and religion are incompatible, but scientists may be just as likely to believe in God as other people, according to surveys.	3
Researchers Find New Species of Bird MANILA, Philippines - Filipino and British wildlife researchers say they #39;ve stumbled upon what appears to be a new species of flightless bird found only on the tiny forested island of Calayan in the northern ...	3
Jobs offered to let Sony into iTunes, report says To counter Microsoft #39;s planned entry into the digital music market, Apple Computer offered to sign a strategic agreement with Sony, according to a Sept.	3
"W3C highlights Mobile Web Initiative at workshop The World Wide Web Consortium (W3C) is considering a new effort called the ""W3C Mobile Web Initiative,"" that will seek to make Web access from mobile devices such as mobile phones and PDAs (personal digital assistants), as simple, easy and convenient as desktop Web access."	3
Film Industry Files Anti-Piracy Suits (AP) AP - A trade group representing seven major movie studios filed a first wave of lawsuits against individuals they say are offering pirated copies of films using Internet-based peer-to-peer file sharing programs.	3
Uganda Opposes Trade in Ivory A TEAM of wildlife officials has left for a global meeting in Bangkok, Thailand to oppose the lifting of the ban imposed on ivory trade.	3
Two New Neptune-Sized Planets Discovered or about the size of the planet Neptune, say astronomers from the University of Texas and two other institutions.	3
