premise	hypothesis	label
A man building a fire.	A man with materials for a fire.	0
two guys sitting on the floor, with the guy in the green jacket reading a piece of paper.	Two men are together on the floor.	0
People are walking around a yard sale in the snow.	People are at a snowy yard sale.	0
Teen girl in a parka kissing teen boy in a brown jacket on a snowy street	Some teenagers are outside kissing.	0
Adults and children gathered outdoors under a slatted roof socializing	Adults and children and gathered around to socialize.	0
A boy in blue and white on rollerskates holds hockey stick with a black ball at the end of it.	A boy is playing sports.	0
Group of rollerskaters in a skate park.	There are a group of people with rollers kates in a park.	0
Five women wearing scarves, sitting in a row, on the ground in front of an old stone wall working with their hands.	Five women are outside.	0
A young child with a red belt does a demonstration.	The child is demonstrating his science project.	1
A man standing at a urinal with a coffee cup.	The man in the bathroom was afraid someone would take his coffee.	1
man in turquoise shirt reading new paper in a newsstand.	The man in the turquoise shirt is going to purchase the newspaper.	1
three males and a female watch as a biker fixes a chain that has come off his gear on his bike.	The people watching are spectators.	1
A couple enjoy a beautiful day bicycling on a bike trail wearing bicycling safety helmets and gloves.	A married couple is taking their daily bike ride.	1
A dog jumps over the sand.	A dog jumps on the sand.	1
A group of volunteers working with children to do a toy drive outside of a toys r us for children in need.	Ten children.	1
black male wearing Run DMC t-shirt giving another black male a haircut	black male wearing Run DMC t-shirt giving another black male a fade haircut	1
A woman wearing a scarf covering her head and a long dress shops for vegetables at an open air market.	A boy plants flowers.	2
Two women share an umbrella and walk down a busy street during a rainstorm.	Swim teams are playing in the pool before the race.	2
Two men in blue jumpsuits, one holding a bandaged girl	Two men are playing cards.	2
Group performs a dance together.	Singers perform karaoke	2
A child is looking at a clown.	A girl dances in a tutu.	2
A woman with a baby browses in a bookstore.	The family is sitting by a lake.	2
Two African American girls are eating lunch at a table in a cafeteria.	african american girls have no place to sit in cafeteria	2
A man with white hair and a long white beard is eating.	A lawnmower comes along and cuts the man's beard off.	2
