	sentence	label
0	but how shall they bring the news of failure to the grand councilwoman without being punished ?	0
1	enter stella ( theron ) , a beautiful nerves-of-steel safecracker , who joins charlie and his former gang when they follow the backstabber to california , where they plan to re-steal the gold by tapping into los angeles ' traffic control system , manipulating signals and creating one of the biggest traffic jams in la history .	0
2	the farmer whom the barn belongs to is distraught and ca n't cope from the intruder 's power of articulations .	0
3	jordan is a mom who is on a life long search for true faith as she tries to protect her only child from what she believes is injustice .	0
4	ling min becomes the manager of haier factory when the factory is almost bankrupted .	0
5	she gives frode a small monster puppet , which frode throws in the closet in his bedroom .	0
6	`` sumo east and west `` takes us into this world through the story of wayne vierra of hawaii , aka kamakiiwa , a former professional sumo wrestler in japan whose pro career was cut short by injury , but who rebounded to become a champion in the growing world of amateur sumo .	0
7	gigantic is the story of they might be giants , a unique musical group centered on john flansburgh and john linnell .	0
8	the film contains colour home movie footage of the film 's production which where shot by charles ' brother sydney .	0
9	club le monde follows an evening out at a seedy nightspot .	0
10	the documentary follows otte from holland to ghana , where he 's set to celebrate his fifth anniversary as the leader of mepe , the region of 300 , 000 people who installed him .	0
11	in the 1880 's , chon wang ( jackie chan ) 's father and keeper of the imperial seal has been murdered by parliament and royal family member rathbone ( aidan gillen ) , ( who steals the imperial seal ) with chon wang 's sister , chon lin ( fann wong ) witnessing the murder .	0
12	in 1931 , in chicago , michael sullivan ( tom hanks ) , a hit man working for john rooney ( paul newman ) , and irish mob boss , faces a dilemma when what he does his witnessed by his twelve-year-old son .	0
13	the project of pre-crime , at the time being in a state of trial run , is going to be voted about in the near future .	0
14	so when charlie sees mallory with her new boyfriend , curtis , he goes a bit mad .	0
15	disrespectful and selfish , sang-woo lashes out in anger , perceiving that he has been abandoned .	0
16	an apparent gynaecologist dr . nightingale hastily marries a pregnant patient , modesta and takes her home to his mysterious manor to meet mother .	0
17	14-year-old meredith attempts to maintain a religious vow of silence during a thanksgiving dinner with her agnostic family .	0
18	also , anthony is black and victoria is white , which does n't sit well with michael , anthony 's best friend since childhood and a surrogate older brother .	0
19	slowly , patricia regains her joy of life although living in complete isolation .	0
20	in present-day london , twelve-year-old quinn watches as his mother , a construction engineer , inadvertently wakes an enormous fire-breathing beast from its century-long slumber .	0
21	their assignment : using equal parts skill and humor , catch arnold gundars , one of the world 's most successful illegal arms dealers , and foil his treacherous plans for the plane .	0
22	the two men ( anthony and michael ) are successful in the high tech world of silicon valley , and have known each other since childhood .	0
23	incredibly , dionysus ' unarmed women defeat pentheus ' formidable royal army .	0
24	in exchange for commuted sentences , they are sent on a covert mission to cuba in order to rescue a jailed female political prisoner on the island .	0
25	true love is right around the corner as long as he does n't lose sight of what he 's looking for .	0
26	donde cae el sol tells a little story between a 65 years ol man and a woman who is thirty years younger that him .	0
27	max plays it cool as he infiltrates beno 's palace stronghold in the steamy jungle of the yucatan .	0
28	a young man is found bruised , beaten and stumbling down a secluded road .	0
29	the story is set in a place called attic town , where the great syndicate robs and kills anyone who stands in their way .	0
30	the united states of america is notorious for its astronomical number of people killed by firearms for a developed nation without a civil war .	0
31	ultimately , anime moves far beyond the realm of simple cartoons , encompassing a sensuous melange of complex storytelling , cutting edge imagery , music and fashion .	0
32	her stalker looks threatening but his manner seems to suggest that he is just a confused social outcast , trapped in an obsessive , repetitive rut that revolves around anna .	0
33	she 's helped along in that process by betsy wright ( pamela gordon ) , a misanthropic dog-walker in need of help with her business and struggling with her own dark past .	0
34	a young boy is devastated when the planned vacation with his father is cancelled due to an emergency salvage mission at a remote canadian lake .	0
35	convinced that peter is tracking her , she turns to them for help .	0
36	well , there is a boy named kyle who gets a warning from his friend caitlin to not peek .	0
37	meanwhile , una makes herself being fired in the supermarket .	0
38	loss is a film eulogy for six firefighters who died in the collapse of the world trade center , sept 11 2001 .	0
39	his reins in the countryside around the happy forest surpassed the sporadic attacks by the evil knight .	0
40	what if hitler did n't die in berlin at the end of the war ?	0
41	the experiment is supposed to be transported to a prison asteroid , yet manages to escape captain gantu , who was supposed to deliver him there .	0
42	when they try to collect a debt from the boss of a rival gang , a fight erupts and jie shoots the gang-boss .	0
43	before his very eyes on the store tv monitor , he sees his pick come up as the winning numbers for $ 50-million !	0
44	what resulted is a stirring and emotional reflection of that day and his experience .	0
45	he meets sunny , an afghan immigrant hot dog vendor , whose son is a would-be rapper , among others , and falls for laila , a fashion designer who still carries the expectations of her traditional parents .	0
46	set in the early 1970 's , this is the tale of a young man whose fiancee has been killed , but who finds himself falling for another woman even while he is still living with his fiancee 's grieving parents and being drawn into the legal battle to bring her killer to justice .	0
47	this very strong cultural identity , different from the us model allows blanca li to give an original point of view on today 's melting pot of french urban youngsters .	0
48	ben rubin , a young israeli internist vying for the position of surgeon , learns that his internship has been terminated and he has been chosen to accompany abraham lazar , the hospital administrator and his wife , dori on a trip to india .	0
49	making use of homemade steel helmets and chest plates to stop bullets , they committed a series of robberies from 1878-80 , when kelly was captured and hanged in melbourne .	0
50	the fact that he owns the gun of a popular man , who got killed , from that town makes him prime suspect .	0
51	with utter certainty that druden is the one from butcher 's vision , inez plans their escape to richmond .	0
52	thirty years ago he was a poor worker who left his girlfriend to pursuit his dream of success .	0
53	a corrupt cop is more interested in the money on the criminals he catches than justice ; a young woman discovers she 's pregnant , and her boyfriend is unfeeling ; and a young man calls a prostitute it 's the first time for both , and neither can go through with it .	0
