	question	option1	option2	label
0	leather sheath	can form protective cover on sharp knife blades to prevent temporary injury	can form protective cover on magic 8 ball to prevent temporary injury	0
1	microwave bowl	to hold food with tape to stick	to hold food with patio to stick	0
2	Mix pieces of bread and tacky glue.	Mix pieces of bread and tacky glue using a popsicle stick.	Mix pieces of bread and tacky glue using your finger.	0
3	How do you prepare boiled yams to be cooked?	Clean, peel, and trim the yams. Then, cut the yams into cubes that are about ½ inch to 1 inch in size. Each cube should be approximately the same size.	Clean, peel, and trim the yams. Then, cut the yams into cubes that are about ½ inch to 1 inch in size. Each cube should vary in size.	0
4	How can I keep my bartender from getting rid of my drink if I have to go to the bathroom quickly?	"Place a coaster on top of your drink, this is universal sign for ""I'll be back""."	"Place a coaster under your drink, this is universal sign for ""I'll be back""."	0
5	Make several batches of cookies at once.	Double or triple a basic cookie dough recipe, then add different toppings to portions of the dough.	Mix up several different recipes of cookies, then bake them in portions in the oven.	0
6	board	can be cleaned with baby wipe 	can be cleaned with pen 	0
7	To swallow bitter medicine	Mix your liquid medicine into a strongly flavored drink, to mask the bitterness.  You can also ask your pharmacist to add flavor to your medicine.	Mix your liquid medicine into a lightly flavored drink, to mask the bitterness.  You can also ask  your doctor to add flavor to your medicine.	0
8	How do I freeze a huge pack of ground beef in smaller packages?	Separate the ground beef into one pound sections. Fill Freezer safe zip lock bags and flatten with a cutting board. Label and stack in the freezer.	Separate the ground beef into one pound sections. Fill Freezer safe zip lock bags and flatten with a spoon. Label and stack in the freezer.	0
9	How do I advance my carerr	Graduate college and apply to as many jobs as possible	Graduate college but don't apply to any jobs	0
10	To get better rest at night,	don't use any electronics, especially your phone for an hour before bed.	download a sleep app on your phone and sleep with it on your pillow.	0
11	how do you steer a car?	hold the steering wheel in the direction you want to move.	hold the tires in the direction you want to move.	0
12	How can you hold a door on edge?	Here’s a simple way to hold a door on edge when you need to plane it or install hinges or a lock. Just make a “V” from two lengths of scrap wood, joining them with one screw. Then screw each piece of wood to the top or bottom of the door, as shown; the horizontal piece should be slightly longer than the angled piece.	Here’s a simple way to hold a door on edge when you need to plane it or install hinges or a lock. Just make a  S from two lengths of scrap wood, joining them with one screw. Then screw each piece of wood to the top or bottom of the door, as shown; the horizontal piece should be slightly longer than the angled piece.	0
13	To attach the LED to the Tiny 9V Clip Flashlight	Glue directly to battery holder.	Nail directly on to battery holder.	0
14	To occupy yourself while waiting for your flight,	stop for a relaxing drink at one of the airport restaurants.	go to a nearby shopping center to get any last minute luggage items.	0
15	What is the best way to paint a door	Take it off the hinges and lean it up against something, then paint	Leave it on the hinges where it already was, then paint	0
16	Remove broken light bulb without getting cut.	Cut 1/3 of potato, shove into light bulb and twist off.	Cut 1/3 of orange, shove into light bulb and twist off.	0
17	What can I use for a solid platform that allows liquid to drain?	Use an old wooden shipping pallet.	Use a solid old wooden platform.	0
18	MAKE SHIFT BED	put piece of cardboard down	don't smoke	0
