	question	option1	option2	label
0	Water	can be frozen 	can be burnt 	0
1	how to add more flavor to a broth?	add a few teaspoons of tomato concentrate.	boil with a few egg shells and parsnip tops.	0
2	shoe	can crush a bug 	can crush a car 	0
3	How to hide the cord for a wall-mounted light?	You can hide the cord behind a curtain.	You can hide the cord behind a window.	0
4	To prepare a pumpkin to use for cooking, you can	Make sure to remove all of the seeds and pulp	Make sure not to remove the seeds and pulp	0
5	Decorate a wooden shelf	Measure the wooden shelf, mark the measurements with a pencil onto a piece of self adhesive wallpaper, cut out the piece and tear the back film off the wallpaper, apply to the shelf, slide a book over to flatten the wallpaper, let dry over night	Measure the wooden shelf, mark the measurements with a pencil onto a piece of paste wallpaper, cut out the piece and tear the back film off the wallpaper, apply to the shelf, slide a book over to flatten the wallpaper, let dry over night	0
6	How to tie shirt for tie dying.	Tie rubber bands around shirt in different patterns.	Tie wire around shirt in different patterns.	0
7	How to trace baby's foot.	On a white sheet of paper, place baby's foot on the paper. With a pencil, trace the outline of the baby's foot.	On a black sheet of paper, place baby's foot on the paper. With a pencil, trace the outline of the baby's foot.	0
8	Keep bathroom tiles clean.	Polish bathroom tiles with car wax to keep them clean.	Scrub tiles with salt to keep them scratch free and clean.	0
9	How do I prepare dry ingredients to make macarons?	Sift the powdered sugar, 1/3 at a time. Now sift the almond flour the same way, in the same bowl. Now whisk it until it's thoroughly combined	Sift the powdered sugar, 1/3 at a time. Now sift the almond flour the same way, in the same kitchen scale. Now whisk it until it's thoroughly combined	0
10	How to trim leather tassels evenly.	Cut across bottom of leather tassels with scissors in a straight line.	Cut across bottom of leather tassels with wire in a straight line.	0
11	Keep the backyard nice and clean.	Mow the grass and rake the leaves.	Hire a lawn guy.	0
12	foil	is smoother than sand paper 	is rougher than sand paper 	0
13	To prepare the baking dish for chicken parmigiana,	coat the bottom of a baking dish with 2 cups of pasta sauce.	coat the bottom of a baking dish with 2 teaspoons of pasta sauce.	0
14	The time to set to bake for the muffins.	Set the time to bake to 35 minutes until golden brown.	Set the time to bake to 85 minutes until golden brown.	0
15	What is the best type of oil to use to make Churros?	Safflower oil.	Lemon oil.	0
16	To make your own bright party streamers,	make loops out of strips of paper and then connect them together like a chain.	hang lengths of yarn across the room and criss cross them over each other.	0
17	Create an Easter basket.	Fill a rattan basket with fake grass and then add many kinds of candy and chocolates until it's filled with fun things.	Buy a basket and paint a bunny and some eggs onto it. Spray it with finishing spray and allow to dry. Enjoy the basket by filling it with easter items.	0
18	How to measure your dog	You will need a sewing tape that is flexible to measure your dog around the should blades and measure in at the mid line of your dog as well as the spine.	You will need a measuring tape that is flexible to measure your dog around the should blades and measure in at the mid line of your dog as well as the spine.	0
19	How can you water your home garden without having to do it manually every day?	Setup a drip system to provide constant water supply on a timer.	Setup a hose to provide constant water supply all day long.	0
20	mask for dry hair	combine raw eggs, honey, and mayo. let sit on hair for twenty minutes and rinse out.	add vodka and olive oil to a cup of peanut butter. let sit on hair for ten minutes before rinsing.	0
21	how do you bust a lip?	make it bleed.	make it pop.	0
22	bottle opener	can cut soap into pieces	can store soap inside	0
23	Add waterproof layer to jacket.	Spray WD-40 all over outside of jacket.	Spray WD-40 all over inside of jacket.	0
24	Wipe desktop computer screen with scratching.	Wipe with a coffee filter.	Wipe with a notebook paper.	0
25	ice cream scoop	can be used to scoop ice cream if you're in an airplane	can be used to scoop mud if you're in an airplane	0
26	How can I cut a sheet of brass?	Use aviation snips to cut the brass sheet.	Use fabric scissors to cut the brass sheet.	0
27	how do you turn off an xbox?	hold your finger over the xbox image on the console.	unplug your xbox from the outlet.	0
