premise	hypothesis	label
A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.	The woman shared her candy with the child.	0
Children sitting down together for lunch time at their school.	children eating lunch at school	0
Six people on stage getting ready to take a bow.	the people were on stage	0
Several women riding horses and carrying rope waiting for the gate to open at a rodeo event.	there are horses at a rodeo	0
A man in a black outfit are tossing up toy balls.	A man is wearing black	0
A dog sits in a car with its tongue sticking out.	A dog is in the car.	0
A young woman in a print and black colored top is utilizing flour and other ingredients to bake in the kitchen.	This woman is not in her bedroom right now.	0
A man having just thrown a baseball in large field.	A man threw a baseball	0
Woman in a green and white striped shit lying in a chair with a yellow bag, holding a folded piece of paper.	The woman is clothed.	0
This woman is taking her turn during a bowling match.	A woman is at a bowling ally.	0
A child is mostly hidden in a green shopping bag.	A child hiding inside a shopping bag.	0
Crowd of people sitting and standing under a bridge.	People are congregation outside.	0
Horses and jockeys running in a turf race.	The jockeys are moving.	0
Five young, well-dressed people work in a kitchen.	There are five people in the kitchen.	0
A group of African people are awaiting to receive a bag.	They are patient.	0
One woman is holding something up to her mouth while the other woman has her fingers on the side of her face.	Woman are hanging out.	0
A woman is holding a tennis racket.	A woman is about to play tennis.	0
Two men are wearing black hats and carrying bagpipes.	Two men are transporting bagpipes.	0
A Scottish band of musicians plays music for a crowd whilst wearing kilts.	A band is playing music.	0
A man in a white shirt and sunglasses and a man in a black shirt and sunglasses sit at a table with four beer bottles.	A man in a white shirt and sunglasses and a man in a black shirt and sunglasses drink together.	0
a person wearing a white hooded sweatshirt covered with a blanket sitting on a bench reading	A person sitting down on a piece of furniture reading.	0
One gu, wearing blue gloves and a brown vest, with a large camera pointed toward a Conquest trailer with a solar cell at his feet.	A guy with a camera taking pictures.	0
A few people are planting flowers.	They are gardening.	0
A van with flags advertising floats, boogie boards, umbrellas, chairs, and surfboards.	The van is colorfully overflowing with a melange of advertising signs.	0
Two college aged males smile while sitting at a lab table with an egg on it.	A couple of young men are in their university class.	0
A young girl picks up a hose.	A young person picks up a watering hose	0
A group of young boys play a basketball game.	There are people playing a sport.	0
A group of men in wetsuits carrying instruments are walking in a parade.	There's more than one male shown in the photo.	0
Asian little kids in a school waiting for a teacher.	Some Asian kids are waiting for a teacher.	0
A small girl climbs her way up a playground set towards a slide.	A child plays near a slide.	0
Three children in big balls inside of a swimming pool, at a festival.	Three children in a swimming pool.	0
Many people are gathered and the group in the foreground is conversing with drinks and their coolers nearby.	A group of people holding drinks are conversing while surrounded by others	0
Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike	Tall humans waiting	1
Two young adults are enjoying time in the snow.	Two adults are throwing snowballs.	1
As the blue sky is dappled with white, fluffy clouds, two people are standing together near a seating area with green umbrellas.	A man and wife enjoying the sun coming out.	1
Woman in white shirt and blue track pants raking leaves.	A woman rakes maple leaves.	1
A woman with glasses playing a tuba.	A woman with glasses playing an instrument.	1
The man in the striped shirt has the attention of a gathering crowd.	A mime begins to perform for a crowd in the street.	1
A man with gray hair combed back, a blue plaid shirt and jeans, is smoking a cigarette.	The man is wearing cowboy boots.	1
Two Asian children are standing at the foot of a tree together.	the children are playing a game	1
Friend gathered together setting and laughing on a blue blanket with a little toddler wearing a blue hat.	The group of people are sitting down to have a family reunion.	1
A boy from another country is being photographed by a tourist, and he does n't know what to make of it.	A child's picture is being taken for a travel guide	1
An old man stands in front of a doorway.	A man is blocking people from entering his house.	1
A speaker is giving a speech at a formal event.	The speech is for a formal event.	1
Two men, one dressed in blue shirt and pants and one dressed in purple shirt and black pants are creating pottery.	The two men are giving demonstrations to a class on how best to form pottery on a pottery wheel.	1
Woman in a green top and blue jeans bowling.	A woman is bowling for a national championship.	1
A little girl wearing striped pants, a pink top, and boots follows two older girls on horseback.	The girls are learning how to ride horses.	1
