	question	option1	option2	label
0	How to make a wheel out of plywood	Use a jig saw to cut your plywood into a circle to make a wheel.	Use a chain saw to cut your plywood into a circle to make a wheel.	0
1	How do you store washed and ironed fabric before use?	Store prepared fabric neatly by folding it or wrapping it on a bolt when not in use.	Store prepared fabric by leaving it unfolded or unwrapped from its bolt when not in use.	0
2	how do you get a sponge ready to wash dishes?	wet it and put soap on it before scrubbing the dishes.	scrub the dishes and then halfway through, add soap.	0
3	car	crushing pumpkin easily	crushing wood easily	0
4	How to moisturize your skin after a shower?	Once you come out the shower, dry your face gently with a cloth and then apply moisturizer to your warm and moist skin and allow it to settle	Once you come out the shower, apply moisturizer to your warm and moist skin and allow it to settle then dry the moisturizer with a cloth	0
5	how to easily peel thin skinned fruits	place in a bowl and cover with boiling water, let stand for one minute then peel with sharp paring knife.	place in a bowl and cover with boiling lemons, let stand for one minute then peel with sharp paring knife.	0
6	what to roast vegetables on?	parchment paper	parchment paper towels	0
7	How to Get Rid of Stress Balls on Your Neck	To use the tennis ball technique, lie down on the floor and place the tennis ball beneath your neck, at the approximate location of the stress ball. You can also do this leaning against a wall.	To use the bowling ball technique, lie down on the floor and place the bowling ball beneath your neck, at the approximate location of the stress ball. You can also do this leaning against a wall.	0
8	To avoid ruining a nice Halloween costume,	where a different low key, DIY costume to school instead of your real one.	don't move at all or participate in any of the Halloween festivities at school.	0
9	Pencils	can mark up a thin sheet of paper with graffiti. 	can mark up a concrete building with graffiti. 	0
10	Keep birds away.	Cut strips of foil and hang from trees.	Cut strips of toilet paper and hang from trees.	0
11	how is watermelon mint dressing made?	Purée 2 cups cubed seeded watermelon, 3 tablespoons sherry vinegar, 1/3 cup each olive oil and vegetable oil, 1/2 teaspoon kosher salt, and pepper to taste in a blender. Add 1/2 cup torn mint; pulse to combine.	Purée 2 cups cubed seedy watermelon, 3 tablespoons sherry vinegar, 1/3 cup each olive oil and vegetable oil, 1/2 teaspoon kosher salt, and pepper to taste in a blender. Add 1/2 cup torn mint; pulse to combine.	0
12	stand	can hold a  sign 	can hold a  billboard 	0
13	Create Bacon Onion Tomato Bread	Roll out bread dough and then sprinkle bacon bits, diced onions and sun dried tomatoes over the dough. Roll up the dough and tuck in the ends. Put in a bread pan and bake until golden brown.	Put bread dough in bread pan and then sprinkle bacon bits, diced onions and sun dried tomatoes over the dough. Put bread pan on the burner and cook on medium heat until golden brown.	0
14	How to easily fade jeans?	Rest the jeans in a bucket of water for a day then hang outside on the washing line for a few days in dry weather	Rest the jeans in a bucket of water for a minute then hang outside on the washing line for a few hours in wet weather	0
15	Make paint touch up jar.	Add paint to empty baby food jars.	Add paint to full baby food jars.	0
