	question	option1	option2	label
0	To lighten skin naturally	apply aloe vera gel on skin daily.	mix two parts turmeric with one part lemon juice and one part honey and apply the paste on face.	0
1	To convert Moroccan Stew into a vegan option	Use butternut squash and chickpeas in lieu of meat	Use butternut squash and additional spices in lieu of meat	0
2	how do you use the keyboard buttons on a laptop?	press down on them with your fingers.	hold you fingers right over them.	0
3	How do I use baking soda to whiten my teeth?	Mix 1/4 teaspoon baking soda with a pinch of salt in the palm of your hand.  Moisten toothbrush with warm water and press it into the mixture to apply some to the bristles.  Gently brush teeth and rinse.	Mix 1/4 teaspoon baking soda with a pinch of red pepper in the palm of your hand.  Moisten toothbrush with warm water and press it into the mixture to apply some to the bristles.  Gently brush teeth and rinse.	0
4	How to bake a potato.	Wash and scrub the potato well with water, poke each end with a fork and place in 425 degree oven for 45 minutes.	Wash and scrub the potato well with soap, poke each end with a fork and place in 425 degree oven for 45 minutes.	0
5	to determine the center of 4x4 plywood	make two lines from the corner to the opposite corner, mark the point where two lines cross each other	make two lines from the corner to the next corner, mark the point where two lines cross each other	0
6	how to add more flavor to a broth?	add a few teaspoons of tomato concentrate.	boil with a few egg shells and parsnip tops.	0
7	To swap between Super NES, Nintendo 64, and Game Cube audio/video cables.	The RCA (yellow, white, red) cables on these three systems are the same.	The RCA (red, blue, green) cables on these three systems are the same.	0
8	food	helps you run.	helps the car run.	0
9	What are the steps to making a paper lantern?	You will need a pencil, cutting blade, ruler, chart paper, glue, bulb holder, and wire. Connect the wires and the strips of paper together.	You will need a pencil, cutting blade, ruler, chart paper, glue, bulb holder, and wire. Connect the wires and the strips of metal together.	0
10	How to warm food using microwave	Put the food in the microwave and turn on the microwave then input the duration you want the food to be warmed.	Take the food you want to warm and put in the microwave then connect the microwave to power supply to ensure the microwave is powered.	0
11	Peppermint	can take away nausea quickly	can take away broken bones quickly	0
12	To make a mold for homemade candy bars, you can	Line cardboard boxes with aluminum foil	Line cardboard boxes with sand paper	0
13	How to secure corners of wooden tool crate.	Use wood glue to secure long piece of wood in each corner for added support.	Use nail glue to secure long piece of wood in each corner for added support.	0
14	To attach felt to a piece of wood.	Glue the felt to the non-sanded side of wood.	Sew the felt to the non-sanded side of wood.	0
15	How to child proof a trampoline	To keep little feet from getting hurt on trampoline springs, cover them with pool noodles.	To keep little feet from getting hurt on trampoline springs, cover them with pool filters.	0
16	pine shavings	can be used as  bedding for hamsters	can be used as  food for hamsters	0
17	Clean a car's windshield using the windshield wiper at a gas station.	Using the sponge side of the windshield wiper, dunk it in the cleaning solution to get it wet, then wipe up and down the whole windshield. Turn the windshield wiper over to the blade side and drag it across the windshield until all of the water is gone.	Using the blade side of the windshield wiper, dunk it in the cleaning solution to get it wet, then wipe up and down the whole windshield. Turn the windshield wiper over to the sponge side and drag it across the windshield until all of the water is gone.	0
18	soap	can be advertised on internet 	can be advertised on screws 	0
19	crayon	writes on napkins 	writes on brush 	0
20	How can I open a tight key ring without hurting my fingers or nails?	Use a staple remover and push the points of the remover between the bound parts of the ring to widen enough to add or subtract a key.	Use a staple remover and push the points of the remover between the bound parts of the ring to widen enough to add or subtract a staple.	0
21	To attach sections of copper heating pipe together, you can	Use epoxy to hold the sections of pipe in place	Use masking tape to hold the sections of pipe in place	0
22	To prevent sausages from exploding while being cooked, you can	Take a fork and use it to prick small holes in the sausages	Take a spoon and use it to prick small holes in the sausages	0
23	How can you water your home garden without having to do it manually every day?	Setup a drip system to provide constant water supply on a timer.	Setup a hose to provide constant water supply all day long.	0
24	To cut grooves into a wooden board.	Use a router with proper sized bit and cut the grooves out.	Use a router with proper sized bit and fill the grooves in.	0
25	Make a t-shirt from a hoody?	Easy enough, as long as your hoody is zipper free.  Just cut away the arms at the sleeve holes, Trim the neckline to the desired length, and you will have a t-shirt in 5 minutes.	Easy enough, as long as your hoody is zipper free.  just cut away the legs at the sleeve holes, Trim the cuffs  to the desired length, and you will have a t-shirt in 5 minutes.	0
26	How do you clean a litter box?	Empty all of the litter out of the box and fill the box with 1/2 inch of vinegar. Let the vinegar sit for 15 minutes. Mix some warm water into the vinegar and scrub the box, and then dump out the mixture.	Empty all of the litter out of the box and fill the box with 1/2 inch of vinegar. Let the vinegar sit for 15 minutes. Mix some warm water into the vinegar and wipe the box, and then dump out the mixture.	0
27	Practice your soccer shooting skills.	Practice your approach to the ball, placing your plant foot just behind the ball when you want to get some air under it	Practice your approach to the ball, placing your plant foot just in front the ball when you want to get some air under it	0
28	To prevent burning hands when lighting a candle,	light a long, twisted roll of paper on fire to light the candle.	put the fire on your palm instead of your fingers to light it.	0
29	To identify burl when looking in the woods,	look for large, chaotic and round lumps growing off the base of the trunk.	look for trees with wide bases and swirling growth patterns on the trunk.	0
30	earring back	can carve words into iced cake 	can carve words into iced sidewalk 	0
31	How to prevent failure of writing something in the wrong size on a cake?	First use a toothpick and write your message, get it the right size, then go over with the icing.	First use a icing nozzle and write your message, get it the right size, then go over with the toothpick.	0
32	Decide what to throw out.	If you have an item that you haven't used in a year, have completely forgotten about, or can't even image what you'll need it for ever again, then it's time to toss it.	If you have an item that you haven't used in a week, have completely forgotten about, or can even image what you'll need it for ever again, then it's time to toss it.	0
33	How to patch up a hole in drywall.	Cut around the area of the hole into a square, then measure the square and cut another piece of drywall to size. Hold the new piece in place and drill to the studs. Place joint tape around the edges, then use a joint knife to apply putty. Sand it down when it's dry and wipe clean with a wet washcloth.	Cut around the area of the hole into a square, then measure the square and cut another piece of drywall to size. Hold the new piece in place and scotch tape it to the studs. Place joint tape around the edges, then use a joint knife to apply putty. Sand it down when it's dry and wipe clean with a wet washcloth.	0
34	how do you put cream on your sking?	rub it around your skin until it blends in.	squirt it on your skin and let it settle.	0
35	basket	can be thrown at a mirror 	can be used to repair a broken mirror 	0
36	How do you use a clothespin?	Holding an article of clothing up to a clothesline, squeeze the open end of the clothespin with two fingers and slide the clasped end over the clothing and line, release the pressure.	Holding an article of clothing up to a clothesline, squeeze the open end of the clothespin with your fist and slide the clasped end over the clothing and line, release the pressure.	0
37	how do you dispose of sanitary napkins?	throw them into the trash beside the toilet.	flush them down the toilet.	0
38	How to make a fun vertical bookshelf?	Run a thick band thread across a bundle of books and staple the thread to a wooden plank, place brackets into the wall and place the plank underneath the brackets for an inverted bookshelf	Run a thick band thread across a bundle of books and staple the books to a wooden plank, place brackets into the wall and place the plank atop the brackets for an inverted bookshelf	0
39	What kind of boxes are good for making shelves?	shoe boxes	jewelry boxes	0
40	Make a hair dryer holder.	Hang string cloth grocery bag in bathroom for hair dryer.	Hang plastic grocery bag in bathroom for hair dryer.	0
41	how do you log into your netflix app?	open the netflix app, put in your information, then click log in.	open the netflix app, click on sign up, put in your information, then click log in.	0
