	question	option1	option2	label
0	how to make compound butter?	add some chopped herbs and lemon zest to softened butter.	add salt, buttermilk, and pepper to softened butter.	0
1	cup	contains pens inside	contains airplanes inside	0
2	Get rid of a mosquito bite.	Mix together a paste of equal parts betonite clay and cider vinegar, then cover the bite with the paste and allow to dry. After drying, wipe away.	Mix together a paste of equal parts betonite clay and cider vinegar, then cover the bite with mayonaise and allow to dry. After drying, wipe away.	0
3	To make cream cheese easily spreadable, you can	Beat the cream cheese with a hand mixer	Beat the cream cheese with a measuring cup	0
4	How to whistle?	Purse your lips by putting them together tightly while curling your tongue under. Blow steadily as you breathe out.	Purse your lips by putting them together tightly while curling your tongue over. Blow steadily as you breathe out.	0
5	How do you cook french fries so that you have fewer calories?	Put them in a shallow pan, spread them out, and bake in the oven for 10 to 20 mins at 400 degrees.	Put them in a shallow pan, spread them out, and bake in the oven for 50 to 90 mins at 400 degrees.	0
6	How to make a Fried Cherry Pie on your stovetop.	r 1 1/4 cup flour and 1/4 tsp. salt.  Using a pastry blender cut 1/3 cup shortening until pieces are pea sized.  Sprinkle 1 tablespoon of cold water over mixture, toss with a fork.  Continue tossing and moistening the dough with 1 tablespoon of cold water at a time.  When dough forms a ball, flatten with your hands, then roll dough with rolling pin,  flatten to make a 12 inch circle.  Out of this make as many 5 inch circles as possible.  In each circle place about 1/2 cup of canned cherry pie filling.  Fold in half over pudding, crimp edges.  Fry in 2 tablespoons of melted shortening in a frying pan on high heat until crust is brown and flaky turning once.	r 1 1/4 cup flour and 1/4 tsp. salt.  Using a pastry blender cut 1/3 cup shortening until pieces are pea sized.  Sprinkle 1 tablespoon of cold water over mixture, toss with a fork.  Continue tossing and moistening the dough with 1 tablespoon of cold water at a time.  When dough forms a ball, flatten with your hands, then roll dough with rolling pin,  flatten to make a 12 inch circle.  Out of this make as many 5 inch circles as possible.  In each circle place about 1/2 cup of canned cherry pie filling.  Fold in half over pudding, crimp edges.  Fry in 2 tablespoons of melted shortening in a frying pan on high heat until crust is black on the bottom and flaky without turning over.	0
7	Ride a bicycle.	Hold the bicycle upright between your legs with one foot on a pedal. Gently push off the ground with your other foot and place it on the other pedal, then apply pressure to the pedals with the feet to continue forward motion.	Hold the bicycle upright between your legs with both feet on a pedals. Gently push off the ground with your other foot and place it on the other pedal, then apply pressure to the pedals with the feet to continue forwards motion.	0
8	To make condensed soup thinner for gravy.	Add water to the condensed soup.	Strain the condensed soup.	0
9	Easy non toxic finger painting fun for the kids.	Use primary paints, a jar each of non toxic acrylic yellow, blue and red. Make secondary colours by mixing equal amounts a teaspoon at a time, to make other colours. Place the new colours in little cupcake holders or similar. The kids will love creating their own colours. Set up a table with large sheets off a roll of parchment or other cheap paper, and let them start dipping their fingers in and start painting on it, their many treasures.	Use primary paints, a jar each of non toxic acrylic yellow, blue and red. Make secondary colours by mixing equal amounts a teaspoon at a time, to make other colours. Place the new colours in little cupcake holders or similar. The kids will love creating their own colours. Set up a table that you don't mind getting paint on, and let them start dipping their fingers in and start painting on it. You will have an art deco table to treasure.	0
10	To make bicycling up a steep hill on a ten speed bike easier,	change gears to one of the higher gears.	squeeze one of the brakes to give resistance.	0
11	One wants to remove rust from a metal object.	One should acquire saline.	One should acquire fresh water.	0
12	To conserve water,	do not leave the water running while brushing your teeth.	leave the water running while brushing your teeth.	0
13	To make homemade laundry detergent,	Heat up 1/3 bar of grated Fels-Naptha in large pot with 6 cups water stirring till dissolved, add 1/2 cup Borax 20 Mule Team and stir, add 1/2 cup Arm and Hammer Washing Soda and stir constantly til dissolved, pull from heat, add 4 cups tap water and stir, add 1 gallon water and 6 cups water and stir.	Heat up 1/3 bar of grated Fels-Naptha in large pot with 6 cups water stirring till dissolved, add 1/2 cup Borax 20 Mule Team and stir, add three 3 lb. 7 oz boxes Arm and Hammer Washing Soda and stir constantly til dissolved, pull from heat, add 4 tsp. tap water and stir, add 1 cup water and 6 tbsp. water and stir.	0
14	mechanical pencil	is much more visible on paper than any glue 	is much more visible on paper than any highlighter 	0
15	to press down the inner loop of the doggie bow tie	Press down with the palm of your hand only to flatten Do not use iron	Press down with your feet and use your hands in place. Do not use iron	0
16	To keep Space Shuttle Rocket Stove from cooling too quickly.	Use an outer body made of steel.	Use an outer body made of wool.	0
17	How do I remove a door from its hinges?	Use a punch to remove the hinge pins.	Break off the hinges with a sledge hammer.	0
18	sponge	can smudge crayon 	can store crayon 	0
19	How to switch on a laptop?	Press the power button for a second.	Plug the laptop into a socket.	0
20	How do you scare your sister with green army men?	Take one and gently cut it's head off.  Fill the cavity with ketchup and glue the head back on.  Line them up in your backyard and shoot them with a BB gun.	Take one and gently cut it's head off.  Fill the cavity with mayonnaise and glue the head back on.  Line them up in your backyard and shoot them with a BB gun.	0
21	open a container of marshmallow fluff that is stuck	Wrap a rubber band on the plastic jar just below the lid to prevent your hands from slipping. Rotate the lid in a counter-clockwise motion to remove	Wrap a rubber band on the plastic jar just below the lid to prevent your hands from slipping. Rotate the lid in a counter-clockwise motion to remove. Be sure to keep the jar cold	0
22	how to treat peeling skin	Rub sliced cucumber over your peeling skin. Bring your skin in contact with the light green flesh of the cucumber, not the dark green skin. Hold the slices against your skin for about 20 minutes and rinse off with warm water. Repeat as often as you’d like until your peeling skin starts improving	Rub sliced onions coated with ketchup over your skin. Bring your skin in contact with the light green flesh of the cucumber, not the dark green skin. Hold the slices against your skin for about 20 minutes and rinse off with warm water. Repeat as often as you’d like until your peeling skin starts improving	0
23	newspaper	can be repaired with masking tape patching up a tear.	can be repaired with socket patching up a tear.	0
