	question	option1	option2	label
0	Can you sharpen old scissors easily?	Yes you can sharpen the blades on scissors with a rock or file. Just like when sharpening a knife, make sure that when you run the blade over the stone that you are always moving it in one direction only.	Yes you can sharpen the blades on scissors with a rock or file. Just like when sharpening a knife, make sure that when you run your hand over the stone that you are always moving it in one direction only.	0
1	Remove skin from fish.	Take off with dental floss.	Take off with chop sticks.	0
2	How do I put a 1 1/8 inch hole in the wood?	Place a 1 1/8 inch auger bit in a hand drill and drill a hole in the proper location by cranking the drill in a clockwise direction.	Place a 1 1/8 inch auger bit in a hand drill and drill a hole in the proper location by cranking the drill in a counterclockwise direction.	0
3	To control stretch marks during pregnancy,	use a nice lotion every day.	take a hot shower every day.	0
4	When constructing paper planting pots, what is a good object to use as a template for the shape?	A soup can	A trash can	0
5	Organize your closet.	Go through your closet and donate what you do not wear. Take everything out and look at it. Whatever you are going to keep, hang nicely and organize by type.	Go through your closet and see what you have. Take everything out and look at it. Whatever you are going to keep, hang nicely and organize by color. Pack it in there.	0
6	how do you scale a building?	climb on it.	measure it.	0
7	How do you make a fly trap?	Find a jar and put some sugar water and a paper funnel. The flies will smell the sugar and go down the funnel but wont be able to get out.	Find a cup and put some sugar water and a paper funnel. The flies will smell the sugar and go down the funnel but wont be able to get out.	0
8	how do you sweep a floor?	brush the broom on the floor, moving it back and forth.	brush the broom on the floor, putting all the trash in one pile.	1
9	Increase pop factor water balloons.	Prevent air when filling up balloons.	Blow air when filling up balloons.	1
10	To prevent from shorting out electrical components in a computer when touching them, you should	Touch something rubber before you touch the components	Touch something metal before you touch the components	1
11	To limit the moment of inertia that can come for a poorly packed backpack.	Pack heavy items as far away as possible from your back.	Pack heavy items as close as possible from your back.	1
12	To eat rice with chopsticks,	hold your chopsticks wide open near the bottom of a clump of rice, then gently close the sticks around the clump of rice as you scoop it up.	hold your chopsticks slightly open near the bottom of a clump of rice, then gently close the sticks around the clump of rice as you scoop it up.	1
13	how to tell if seafood is bad	Seafood should never smell overwhelmingly chocolatey; that's a sure sign that it’s starting to go bad.	Seafood should never smell overwhelmingly fishy; that's a sure sign that it’s starting to go bad.	1
14	What can you rinse the yoga mat in to ensure it's clean and to prevent it from being slippery?	Rinse the yoga mat in in used bath water to make sure it's clean and to prevent it from being slippery.	Rinse the yoga mat in clean water to make sure it's clean and to prevent it from being slippery	1
15	Make holes in recycled soda cans and use a decorative shade for tea lights	Punch holes in an empty soda can according to a decorative byline. Place a tealight outside.	Punch holes in an empty soda can according to a decorative outline. Place a tealight inside.	1
