premise	hypothesis	label
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	A man is pulling on a rope.	0
The skateboarder jumps over the ramp.	person skateboarding	0
Two elderly people wearing blue shirts are sitting by a rock formation, socializing while they eat.	The elderly people are over the age of 18 years old.	0
people are gathered at some kind of shop on the side of the street.	People are outside.	0
A girl, perhaps around five, wearing white shorts, red and white top and carrying a red balloon, is standing outside of a wooden building, looking inside.	The girl is near a window.	0
An older man with white hair wearing a blue hat and blue jacket sits on a brown bench on a sidewalk, opposite a store and in front of a black vehicle.	An old man has white hair	0
A group of people gather and holding different types of flags.	A bunch of people display different flags.	0
Several groups of young boys are paired up to practice martial arts on the grass.	Boys are practicing martial arts outside.	0
A group of people stand below black and white patterned decorations.	The group is standing below some decorations.	0
Three children in jackets looking at water's edge looking at their reflections in a lake	Humans in jackets	0
A young woman wearing sunglasses and several necklaces drinks from a bottle of water in an outdoor setting.	A woman is having a drink outside.	0
A couple with their eyes closed dances as people watch.	A couple dancing.	0
Conversation between two man.	Two people conversing.	0
A boy in a black helmet jumps a bicycle with a small town visible in the background.	A boy in a helmet jumps a bicycle.	0
Female musician pauses her guitar playing to enjoy a moment during a performance.	The female guitar player pauses to look at the crowd	0
Two dogs are swimming through deep water within close proximity to one another.	Two dogs swimming.	0
Two men, one playing a horn and the other playing a sax on a dimly lit stage.	The men are both on stage.	0
In the midst of a tennis match, a girl in yellow is jumping to hit the ball.	A girl is competing	0
Two guys load boxes into a battered blue container that sits on a brick-paved street.	People are putting boxes into a container.	0
A storefront with poor artist rendition of street art.	A store with art	0
One man in a red shirt is falling, while another man in a blue shirt watches during a soccer game.	One man in a red shirt is falling	0
Four children in a fake egg having fun.	there are childrens playing	0
Three children play at a dock.	The 3 kids are spending time outside.	0
Couples standing outside a large hotel.	There are more than one couple.	0
People outside in a city field.	People are in a field.	0
A dog is backlit buy the sun as he jumps up to catch a tennis ball.	A dog is performing a track with a ball.	0
A couple look through a camera in Paris.	A couple are together in Paris.	0
A man in a vest stands near a taxi cab.	A man stands next to a taxi.	0
Kids jump in a sack race, as a little girl on the beach with a minnie mouse bucket with her shovel scoops up the sand in piles.	Kids jump.	0
