	question	option1	option2	label
0	To make your own pencil holder.	Many different items can be a pencil holder but one of the best is an old mug that you no longer use.	Place pencils in your old drawers that you don't use for anything else to easily store them for later use.	0
1	To make apple slices flexible so they can be rolled	Microwave the apple slices on high for 3 minutes	Broil the apple slices in the oven for 45 minutes.	0
2	To ensure that chopped zucchini stays firm	Take care to remove seeds	Take care to include seeds	0
3	poster	to display sports fandom to friends	to display inner demons to friends	0
4	Can I make my own curry seasoning?	1 tbsp turmeric    2 tsp coriander    1-1/2 tsp cumin    3/4 tsp ground mustard    1/2 tsp cardamom    1/2 tsp ground cloves    1/2 tsp nutmeg    1/8 tsp cayenne	1 tbsp turmeric    2 tsp coriander    1-1/2 tsp cumin    3/4 tsp ground mustard    1/2 tsp cardamom    1/2 tsp ground cloves    1/2 tsp nut butter    1/8 tsp cayenne	0
5	leek and potato soup	45 grams butter    4  leeks chopped    350 grams potatoes diced    1 litre chicken stock    Instructions    In a saucepan, melt half the butter over low heat. Add the leeks and cook, stirring occasionally, until softened, about 5 minutes. Add the potatoes and cook for 3 minutes.    Increase the heat to medium, pour in the stock and bring to boil. Reduce to a simmer, cover, and cook until the leeks and potatoes are tender, 35 to 40 minutes. Remove the pan from the heat and add the remaining butter in small pieces, stirring until it’s all incorporated.    Season with sea salt and pepper to taste. Transfer to a blender and puree until smooth. Serve in warm bowls.	45 grams butter    4  leeks chopped    350 grams potatoes diced    1 litre chicken stock    Instructions    In a saucepan, melt half the butter over low heat. Add the leeks and cook, stirring occasionally, until softened, about 5 minutes. Add the potatoes and cook for 3 minutes.    Increase the heat to medium, pour in the stock and bring to boil. Reduce to a simmer, cover, and cook until the leeks and potatoes are tender, 35 to 40 minutes. Remove the pan from the heat and add the remaining butter in small pieces, stirring until it’s all incorporated.    Season with sea weed and pepper to taste. Transfer to a blender and puree until smooth. Serve in warm bowls.	0
6	how do you use a kcup machine?	put the pod in and start it.	pour the contents of the pod in and start it.	0
7	To remove freshly baked, hot bread out of the pan,	slide a knife around the edge of the pan to release the loaf, then tip the bread out onto a wire rack to cool.	use a knife around the loaf to release it from the pan, and then put the bread onto a rack to cool.	0
8	How to clean a glue gun.	While the glue gun is still hot use a ball of aluminum foil to wipe it off.	While the glue gun is still hot use a ball of rubber bands to wipe it off.	0
9	sandwich bag	can be recycled 	can be frozen 	0
10	To add support to cardboard display stand.	Add a strip of cardboard behind the stand for support.	Add a strip of cardboard to the side of the stand for support.	0
11	how do you turn change into dollar bills?	take it to the change center kiosk at walmart, and dump it in the machine. then give the slip to a cashier. they will give you the cash.	take it to walmart, and hand it to a cashier, they will give you the cash.	0
12	how do you add glitter to paper?	put glue on the paper, and then sprinkle glitter over it before it dries.	spread glitter all over the paper and put tape over it.	0
13	How can I clean the top of a fan?	Get a ladder, stand on it, then spray cleaner and wipe it down	Get a ladder, stand on it, then spray cleaner and let it sit	0
14	How do you separate an egg with your hands?	Crack the egg on the side of a bowl. Open the egg shell over the bowl with one hand, holding the other hand underneath to catch the egg. Allow the egg white to drip through your open fingers into the bowl.	Crack the egg over the counter. Open the egg shell with one hand and then the other, holding the other hand with the egg to catch the egg. Allow the egg to drip through your hands onto the counter.	0
15	bobby pin	replace shoestrings for shoes 	replace shoes 	0
16	Store frozen bread buns or rolls.	Wrap with cut cereal bag.	Wrap with cut cereal box.	0
17	How to get a crispier crust on potatoes when baking?	Cook the potatoes at a higher temperature to have a crispier crust.	Cook potatoes at a lower temperature for longer to have a crispier crust.	0
