	question	option1	option2	label
0	To get the proper texture on the cheese of a pizza,	cook the pizza under a broiler in the oven.	cook the pizza under a low temperature.	0
1	How to make a wheel out of plywood	Use a jig saw to cut your plywood into a circle to make a wheel.	Use a chain saw to cut your plywood into a circle to make a wheel.	0
2	trucks	carries boats 	carries highrise 	0
3	Protect glass cups when moving.	Store cups in socks.	Store cups in underwear.	0
4	For an indoor garden, it is essential that the space for the garden	Has access to electricity for the lights	Has access to wind power for the lights	0
5	microwave	can bend  two forks 	can bend  stainless steel bucket 	0
6	How do you store washed and ironed fabric before use?	Store prepared fabric neatly by folding it or wrapping it on a bolt when not in use.	Store prepared fabric by leaving it unfolded or unwrapped from its bolt when not in use.	0
7	How can I store contacts without a lens case?	Use a clean empty prescription bottle.	Use a full prescription bottle.	0
8	To make a magnetic clasp for the wooden wallet,	take two magnetic strips and glue each side to the interior back and the interior of the flap. Make sure that the magnetic strips align when closed.	take two magnetic strips and glue each side to the exterior back and the exterior of the flap. Make sure that the magnetic strips align when closed.	0
9	how do you get a sponge ready to wash dishes?	wet it and put soap on it before scrubbing the dishes.	scrub the dishes and then halfway through, add soap.	0
10	To plug a sega genesis controller into an atari 2600.	Just physically plug the it in.	Use a screwdriver to screw in the Genesis to 2600 adapter before use.	0
11	car	crushing pumpkin easily	crushing wood easily	0
12	How to construct your brass key?	Place lamination of thin brass sheet around a balsa wood core. Glue to the wood. Decide on the pattern of the top and cut it out with a jig saw. Sand down with a belt sander.	Place lamination of thin brass sheet around a balsa wood core. Tape to the wood. Decide on the pattern of the top and cut it out with a jig saw. Sand down with a belt sander.	0
13	How to moisturize your skin after a shower?	Once you come out the shower, dry your face gently with a cloth and then apply moisturizer to your warm and moist skin and allow it to settle	Once you come out the shower, apply moisturizer to your warm and moist skin and allow it to settle then dry the moisturizer with a cloth	0
14	how to easily peel thin skinned fruits	place in a bowl and cover with boiling water, let stand for one minute then peel with sharp paring knife.	place in a bowl and cover with boiling lemons, let stand for one minute then peel with sharp paring knife.	0
15	Push kid on swing at a distance.	Attach a rope to swing seat and pull.	Attach a rope to swing rope and pull.	0
16	what to roast vegetables on?	parchment paper	parchment paper towels	0
17	how do you play hide and seek?	everyone hides while one person counts. when the person is done counting, they go around looking for people who are hiding. whoever is found first, counts next.	every one hides all at once.	0
18	how to cook multiple quasadillas at once	Cook quesadillas next to each other instead of one tortilla stacked on top of the other	Cook quesadillas on top of one another instead of one tortilla stacked on top of the other	0
19	How to Get Rid of Stress Balls on Your Neck	To use the tennis ball technique, lie down on the floor and place the tennis ball beneath your neck, at the approximate location of the stress ball. You can also do this leaning against a wall.	To use the bowling ball technique, lie down on the floor and place the bowling ball beneath your neck, at the approximate location of the stress ball. You can also do this leaning against a wall.	0
20	To avoid ruining a nice Halloween costume,	where a different low key, DIY costume to school instead of your real one.	don't move at all or participate in any of the Halloween festivities at school.	0
21	Pencils	can mark up a thin sheet of paper with graffiti. 	can mark up a concrete building with graffiti. 	0
22	To cut a strip of silver, you can	Use a jewelers saw to carefully cut the metal	Use a table saw to carefully cut the metal	0
23	Keep birds away.	Cut strips of foil and hang from trees.	Cut strips of toilet paper and hang from trees.	0
24	how is watermelon mint dressing made?	Purée 2 cups cubed seeded watermelon, 3 tablespoons sherry vinegar, 1/3 cup each olive oil and vegetable oil, 1/2 teaspoon kosher salt, and pepper to taste in a blender. Add 1/2 cup torn mint; pulse to combine.	Purée 2 cups cubed seedy watermelon, 3 tablespoons sherry vinegar, 1/3 cup each olive oil and vegetable oil, 1/2 teaspoon kosher salt, and pepper to taste in a blender. Add 1/2 cup torn mint; pulse to combine.	0
25	stand	can hold a  sign 	can hold a  billboard 	0
26	How to make DIY Paper Leaves	To make DIY Paper Leaves, first gather your materials. You'll need Craft Paper; Pencil; Scissors; Craft Glue	To make DIY Paper Leaves, first gather your materials. You'll need Craft Paper; Pencil; Small torch; Craft Glue	0
27	Create Bacon Onion Tomato Bread	Roll out bread dough and then sprinkle bacon bits, diced onions and sun dried tomatoes over the dough. Roll up the dough and tuck in the ends. Put in a bread pan and bake until golden brown.	Put bread dough in bread pan and then sprinkle bacon bits, diced onions and sun dried tomatoes over the dough. Put bread pan on the burner and cook on medium heat until golden brown.	0
28	How to easily fade jeans?	Rest the jeans in a bucket of water for a day then hang outside on the washing line for a few days in dry weather	Rest the jeans in a bucket of water for a minute then hang outside on the washing line for a few hours in wet weather	0
29	how do you cancel something?	stop it.	start it.	0
30	Make paint touch up jar.	Add paint to empty baby food jars.	Add paint to full baby food jars.	0
31	blender	chops fruit 	chops diamonds 	0
32	To organize your clothes in your closet	Start by sorting them by seasons	Start by mixing them up by season	0
33	To add new music to an MP3 player without paying for it,	go to a library and find CD's that you can download onto your laptop.	go to a music store and record the sound of the previews for albums.	0
34	Deskin a roasted pepper on the stove.	Place roasted peppers in a pot of water with a lid. Heat the pot and let steam build up. The skins will disconnect from the pepper.	Place roasted peppers in a pot of water for 2 hours. Heat the pot and let steam build up. The skins will disconnect from the pepper.	0
