premise	hypothesis	label
Young kids with soccer gear on walking towards the camera.	Young kids walk towards the camera.	0
A man in a red shirt is holding a little boy in a blue shirt	A man is holding a little boy.	0
A man with sunglasses standing by a white and red building with a very blue sky above.	A man wearing sunglasses.	0
Light colored dog running with a ball in its mouth.	A dog is playing with a ball.	0
This man is wearing green and black equipment to ride his dirt bike.	This man is wearing equipment to ride his bike.	0
A black bird is resting on a power line.	The power line is acting as a perch for a bird.	0
A man using ski gear is jumping through the air near a brick building and blue guardrails.	A man is jumping.	0
A man preparing a camera on a tripod	A human preparing.	0
Two people, male and female, dressed in office wear walking along a sidewalk.	there are some people in professional dress	0
A baseball batter awaits a pitch.	There is a baseball batter.	0
A female in a green shirt standing while traffic passes.	a girl waits by passing cars	0
Two girls and two guys walking down the street.	People walking down the street.	0
A well dressed man with glasses working with an open piano.	A man is working on a piano.	0
A woman sits on a bed with a stuffed camel in her lap while putting her hands over her face.	A woman sits on a bed with a stuffed animal.	0
The lake looks very shallow.	The edge of the lake is low.	0
Two dogs playing in the water.	The dogs are wet.	0
A boy in a black jacket and tan hat is running down a sidewalk.	A child is running because he is late for school.	1
A man attaches bicycles to the back of his car in a tree lined parking lot.	A man puts his red bicycle onto the back of his truck.	1
A woman with sunglasses on is on a bicycle and is looking at the camera with a smile on her face.	A woman is enjoying a sunny day in a park.	1
A band plays in front of a crowd at a Euro Jazz concert.	The people in the crowd liked the band.	1
A woman being flipped in a taekwondo competition	A sexy woman being flipped in a martial arts competition.	1
A woman is walking along the beach with three children following behind her.	She is their mother.	1
A young child carries a large bag over his head.	The kid is using the bag as a mask because he is ashamed.	1
A girl wearing a green shirt rides her bicycle in front of an apartment building.	A girl is biking to school from her apartment.	1
A man in a suit gives a presentation to a crowd of people.	The man is very important.	1
A soccer player with no shirt standing in the middle of the field.	The boy is on the skins team in gym class.	1
A group of people are organizing their chinese lanterns.	People organize their lanterns for an event.	1
Man airing up his back bicycle tire and hoping it will hold.	The man is working on his bike.	1
A group of people standing on a hillside decorated with yellow flowers as fog rolls over a nearby mountainside.	The people are hoping it doesn't rain.	1
People sit on a bench by the pool.	People are near water.	1
The woman with blond-hair holds her sunglasses.	She is at the beach	1
A man in a blue shirt chipping ice off of a block while a man in tan cleans up the shavings.	A man is creating an ice sculpture.	1
A group of people are riding on a tour bus and viewing something interesting out the window.	A group of people are being led on a musem tour.	2
A girl in red jumps across a path.	The girl is dressed in blue.	2
A rollerblader is skating against the flow of many other rollerbladers.	A rollerblader is moving with the crowd.	2
Two young men are sitting at a table with dominoes and a woman in black who is talking while they are smiling at the camera.	two men are starting a fight with each other	2
A young girl sits in the grass, admiring a tiny plant.	a girl runs around in the grass	2
A bearded man wearing sunglasses is preparing food.	A woman is washing the dishes.	2
A group of woman are dancing while the other woman are watching and clapping.	Men are standing around a bus station.	2
A child in colorful goggles plays in a pool.	A child with no goggles plays in a pool.	2
A rugby player in a white and red jersey shakes a tackle from a member of the opposing blue team.	A guy in a basketball uniform helps the cheerleaders perform their routine.	2
A group of friends enjoy desert.	A group of friends are at a movie.	2
A large group of sports players in green and white uniforms line up behind a couple trophies.	Babies line up.	2
A girl wearing a pink skateboard helmet is riding in a skateboard bowl.	The girl with the blue helmet is riding her bike.	2
A person fishes alone off of a dock as the sun sits on the horizon.	A woman is skinning a deer.	2
Cyclists await the start of a race.	The cyclists are all sitting in canoes.	2
A casual family stroll by the water.	A man is playing a video game with his son.	2
A young woman and her daughter play with a blue and white beach ball in the grass.	Females are sleeping in their beds.	2
