premise	hypothesis	label
A vivid and colorful street vendor gathering shows a number of proprietors outdoors, with a woman offering a box of items in the foreground.	A group of colorful street vendors are outdoors, while a woman is with a box of items in the foreground	0
Two men, seated side-by-side, look at something on a computer that one man is pointing to with a pen.	Two men are looking at a computer screen and one is pointing a pen at the screen.	0
A man wearing glasses and a black shirt with the number four on it is walking by a merchants table while people behind him are looking at the items on the table.	A man is walking by a vendor.	0
A young girl wearing a bikini in an innertube.	A girl is floating on the water.	0
A woman in a crowd smiles at something off-camera in front of an Applebee's.	A female surrounded by other people is grinning in front of a restaurant.	0
A boy in a green uniform is kicking a soccer ball in a game while two others stand behind him.	A boy is kicking a ball during a soccer game.	0
Beautiful mountain scenery and a ski lift.	A mountain and a ski lift.	0
A boy kicking a soccer ball into the net while the goalie jumps for the ball.	the kicking kid kicked the ball into the goal besides another player.	0
A bird flies above the water.	The bird is flying.	0
A guy in black shirt and shorts and dog outside.	A guy and a dog are outside.	0
A blond man carries an axe through a forest.	The man is blond	0
A man is riding his bicycle through the woods.	A male exercises near trees	0
A group of children are playing on swings.	Some kids swinging.	0
Kitchen workers are preparing food in a busy, smokey kitchen.	Kitchen workers are preparing food	0
Construction workers engaging in a day of outdoor work.	Some people are outdoors.	0
A little girl and a grown man are looking at each other and holding up two fingers on their right hands.	A girl and man are outdoors.	0
People walking through a garden in the middle of a city.	The people are in the garden.	0
Children play in the sand at the beach.	The children are near the sand.	0
Guy jumping off a pier into lake.	A man is jumping into a lake.	0
hockey player in white uniform with stick	The player is wearing a uniform.	0
A man is sleeping on the sidewalk, on top of a box.	The man has his eyes closed.	0
a woman wearing sunglasses sits inside of a building with several other people looking outside.	The woman is protected from the weather because she is inside.	0
Man giving female a leg up onto tree.	A person is climbing a tree	0
Man in yellow shirt holding bike while young boy sits on it	A man and a child.	0
A small brown and white dog chases a white ball over the grass.	The dog is outdoors.	0
A man, in a yellow baseball cap and sunglasses, is aboard some sort of boat on the water.	a man on a boat	0
A man with a suitcase holds paper as he sits by a marina.	He is outside.	0
Some people sit on benches under rows of trees in front of a building.	Humans are outdoors.	0
Many people in the crowd look at the stage, some with balloons.	People look at the stage.	0
Crowd watches as a woman in red shirt goes to break a cinder block with a sledgehammer on a man's chest.	A woman breaks a cinder block with a sledgehammer	0
An aerial view of a woman sitting in a blue chair on the beach.	The woman sitting on the blue chair is easy to spot.	0
A young boy wearing a red uniform lines up to kick a soccer ball.	A young male is playing a sport.	0
Lady in a pretty bright yellow dress is being asked to dance, while children look on.	The woman is a bout to dance with a man in a suit.	1
Four children huddle under a blanket.	Four children are huddled under a blanket telling ghost stories.	1
A caterer preparing food at an outdoor venue, with many dished on display.	The caterer cooked every single dish on display.	1
Four people wait by the side of the road, with a wall covered in Chinese or Japanese characters behind them.	Two couples stand by the side of the road.	1
A man in winter wear stands near an intersection.	A man is waiting for the light to change.	1
Ballerina performing as a girl rat in an open park.	The girl is a rat	1
A man washing windows in a harness and a dark blue shirt.	A worker is wearing a helmet.	1
A man in red bermuda pants is climbing a mountain with his friend.	A man and his friend climb a mountain in Europe.	1
Two men are sitting on the floor under a staircase playing guitars.	They are singing as well.	1
A boy playing in a pile of dead leaves.	a boy loves fall	1
At a table with her colleagues, a woman in a U.S. Army uniform fills in a chart.	A woman at a table with colleagues fills in a chart showing off the latest results.	1
