	question	option1	option2	label
0	What should I do if my phone charger isn't working?	Use a toothpick to clean out all the ports and holes in the phone, it is clogged.	Use a Hershey bar to clean out all the ports and holes in the phone, it is clogged.	0
1	What can I use to wrap up some cookies after I bake them?	Take a piece of tinfoil and put it over the cookies, after putting them on a plate.	Take a piece of khaki and put it over the cookies, after putting them on a plate.	0
2	To separate egg yolks from egg whites for a recipe, you can	Crack the egg and carefully catch the yolk in the shell	Crack the egg and carefully catch the white in the shell	0
3	If you don't own an ironing board	throw your wrinkled clothes in a dryer for thirty minutes with a wet sock.	throw your wrinkled clothes in a dryer for thirty minutes with a wet hand.	0
4	To melt the marshmallows for the marshmallow jello fondant	melt the marshmallows for 50 seconds on half power, take out and stir, melt for 45 seconds on half power, and mix one more time	freeze the marshmallows for 50 seconds on half power, take out and stir, melt for 45 seconds on half power, and mix one more time	0
5	mousse	be wrapped in a piece of paper 	be wrapped in a jar 	0
6	What can I use to sketch	The best thing to use is a graphite pencil	The best thing to use is a graphite marker	0
7	how to winterize windows	install window insulation film, seal with a hair dryer	install window insulation washer fluid, seal with a hair dryer	0
8	How do I hold my cake pops to dry/cool?	Flip a colander upside down onto a counter and use the holes to hold the pop sticks.	Flip a cooler upside down onto a counter and use the holes to hold the pop sticks.	0
9	To keep your vacuum cleaner in excellent condition,	empty the dirt after each use. Also, wash the filter and clean the hoses on a monthly basis.	empty the dirt after each use.  Also, wash the filter and clean the hoses on a yearly basis.	0
10	rope 	can wrap around elephant 	can wrap around grand canyon 	0
11	How to quickly remove the pit from an avocado?	Slice the avocado in half and chop down on the pit with a knife then raise the knife to dislodge the pit	Slice the avocado in half and chop down on the flesh with a knife then peel away the flesh of the avocado	0
12	q-tip	clean more ears than a rubber band 	can burn up a  rubber band 	0
13	How to make a vodka and soda?	Put some ice in a glass. Measure an ounce and a half of vodka in glass. Finish the cocktail with soda.	Put some ice in a glass. Measure an ounce and a half of soda in a glass. Finish the cocktail with vodka.	0
14	What's a way to take my dog for a walk?	Introduce him to the collar or harness and leash. ...    Teach a cue. ...    Make him come to you. ...    Practice inside. ...    Take it outside. ...    If he pulls: If your dog starts pulling in the other direction, turn yourself into “a tree.”	Introduce him to the collar or steel harness and leash. ...    Teach a cue. ...    Make him come to you. ...    Practice inside. ...    Take it outside. ...    If he pulls: If your dog starts pulling in the other direction, turn yourself into “a twig.”	0
15	how do you win at chess?	take out the king	take out the knight.	0
16	steam roller	flattens buildings 	flattens asphalt 	1
17	What is an easy way to make a baby quilt without cutting a lot pieces to be sown together?	"Cut 2 matching pieces of material and 1 if batting with scissors, sandwich the batting with the print materials placing print sides in, sew a line 1"" from the edge all the way around, then fold edges in and sew around the edges again, and then sew in circular motions all over the quilt and cut strings off when done."	"Cut 2 matching pieces of material and 1 if batting with scissors, sandwich the batting with the print materials placing print sides out, sew a line 1"" from the edge all the way around, then fold edges in and sew around the edges again, and then sew in circular motions all over the quilt and cut strings off when done."	1
18	To have a successful lemonade stand.	Add whipped cream to the top of the lemonade.	Offer great flavor and make large signs.	1
19	To make presentation for pancakes.	You can dust some sugar powder for the presentation by sprinkling some powder on top of the pancakes and napkin.	You can dust some sugar powder for the presentation by sprinkling some powder on top of the pancakes and plate.	1
20	To stop the clock in a basketball game,	throw the ball out of bounds.	call a time out.	1
21	Protect teeth from coffee stains.	Drink water before drinking coffee.	Drink water while drinking coffee.	1
22	How can you keep swimming goggles cleaner longer?	Wipe a smear of sulphuric acid on the inside of the goggles, then wipe it off, it will keep them cleaner longer.	Wipe a smear of toothpaste on the inside of the goggles, then wipe it off, it will keep them cleaner longer.	1
23	make charcoal	use lighter fluid	wrap lint in aluminum foil and set on fire	1
24	Repel ants from pet food.	Apply honey in circle around pet food.	Apply vaseline in circle around pet food.	1
25	box cutter	can hold wood together like nails 	can be used with nails as crude weaponry.	1
26	How can I attach LED lights to paperclips?	Use magnets to attach LED lights to paperclips.	Use a hot glue gun to attach LED lights to paperclips.	1
27	Steps to make electricity from fire.	Take the bigger sink and spread evenly the oil grease using something flat, attach the COLD SIDE of the Peltier Cell to it (the side with the writes on), spread more Thermal paste on the HOT SIDE of the cell, attach the small sink to it, I used some heat resistant tubes to protect the wires from the heat and a couple of M3 40mm bolts to fix everything in place, I made a quick test with a propane torch to see if the prototype is working, With a cylindrical Steel can I made the brazier, measure the top sink (in my case is 40mm) and cut the shape on the bottom of it using an electrical tool, If everything fit right move on, use a water container to allow the cooling to be more effective than air, pour enough water to cover the sink, but beware of touching the Peltier Cell and start the fire.	Take the bigger heatsink and spread evenly the Thermal grease using something flat, attach the COLD SIDE of the Peltier Cell to it (the side with the writes on), spread more Thermal paste on the HOT SIDE of the cell, attach the small heatsink to it, I used some heat resistant tubes to protect the wires from the heat and a couple of M3 40mm bolts to fix everything in place, I made a quick test with a propane torch to see if the prototype is working, With a cylindrical Steel can I made the brazier, measure the top heatsink (in my case is 40mm) and cut the shape on the bottom of it using an electrical tool, If everything fit right move on, use a water container to allow the cooling to be more effective than air, pour enough water to cover the sink, but beware of touching the Peltier Cell and start the fire.	1
28	To make the individual loafs for the spanish bread	Divide the risen dough to 16 pieces with a fork	Divide the risen dough to 16 pieces with a knife	1
29	How to check level with containers on wood plank.	Using a level, place it on the corner of the plank with the containers a few inches apart. If it is showing it is leveled, then leave, if it is not then adjust plank.	Using a level, place it on the middle of the plank with the containers a few inches apart. If it is showing it is leveled, then leave, if it is not then adjust plank.	1
30	A smelting machine	can craft a nice t shirt for clothing.	can craft a suit of armor for clothing.	1
31	How can I save my milk if I am going to be leaving town for a bit?	Freeze the milk, but make sure the jug is not more than 5/4 full at most. Then just let the milk thaw when you get back.	Freeze the milk, but make sure the jug is not more than 3/4 full at most. Then just let the milk thaw when you get back.	1
