premise	hypothesis	label
two people are kayaking outdoors	Two people are kayaking.	0
A young child splashing in water.	A young child is wet.	0
A child with her hair tied is smiling.	there is a happy child	0
In a crowd of people, a man stands smiling with hands up.	A group of people are standing.	0
Woman wearing a costume, drinking a beverage.	A female in weird clothing holding a glass.	0
Four people with black hair pose for a picture with windows in the background.	Four black haired people pose for a picture.	0
Two dogs are playing in a field of tall grass.	There are animals outdoors.	0
A couple of men on a bus are looking out the window.	Men are looking out a window.	0
A man in a blue-plaid shirt and white hat, backdropped by a stone wall performs an unknown task while standing atop a platform.	A man is on a platform.	0
Men siting on table, with red, green, yellow, and blue umbrella's.	Men are sitting, surrounded by multicolored umbrellas.	0
A smiling woman holding an object is standing next to a man.	A happy woman holding an object is standing next to a man.	0
People on bikes gathered at night.	people riding bikes.	0
It appears as though an elderly man is sleeping or relaxing on some cool cement squares between two rows of pillars.	A person is laying down.	0
A man in black carrying an orange backpack stands next to a red backpack that is laying in the snow.	A man is standing in the snow with his backpacks.	0
A man in a green shirt directs trucks in preparation of the racetrack.	A man is outside directing traffic	0
A middle-aged man and woman are holding hands walking in a street with people behind them.	A man and a woman are walking outside.	0
Two girls in heels stand on a street corner.	Girls are standing on a street corner	0
A man skates down a long outdoor stairway.	This man performs some extreme skating.	0
A woman drawing a picture of two children.	A woman is drawing.	0
A man with blond dreadlocks, wearing a clown t-shirt, is talking on the phone.	The man is wearing clothes.	0
A musical trio- two females and a male- is performing in an auditorium	A musical trio- two females and a male- perform.	0
Some of the trees on the side of the track are beginning to change color with the season.	Some of the living woods on the outside of the ring are starting to vary in appearance.	0
People on gondola rides through the canals of Venice between buildings.	The people are outdoors	0
A group of spectators sitting in lawn chairs in the street facing a building and drinking beer.	There's multiple individuals shown here.	0
Young boy encounters other children, also riding bikes.	Children are riding bikes.	0
A boy speaks to his elder in the orange garb.	A boy speaking to and older person.	0
Three guys in basketball uniforms, two of them are wearing orange and white uniforms and the other is wearing blue and yellow, playing basketball.	People are playing a ball game.	0
A group of women and one older man have food and drinks at a restaurant and talk amongst themselves.	A group of people are at a restaurant.	0
One man is holding a dumpster door open while another man puts a trash bag in the dumpster.	The men know where to throw out their trash.	0
An adult male is kneeling on top of a roof make repairs	A male is making repairs.	0
Two men asleep in separate chairs.	Two men are sitting in different chairs.	0
A dog rests on a loveseat, while a man lies on a nearby sofa.	the dog is takign a nap	0
A man descends a snowy mountain.	The man is using tools to help descend the mountain.	1
A man locking his bicycle to a metal pole.	The man had his last bike stolen, so no he is careful.	1
Two young blond women stand in a plaza sharing a mass of white cotton candy while pedestrians pass by all around them.	Two women are trying to look cute for strangers.	1
Men on an oil rig pose in their life preservers.	the men are happy to work on the oil rig	1
Man dressed in coat, scarf, and hat painting a picture of a building on an easel in the streets.	An artist paints an old building in a city.	1
A young boy wearing glasses has his hair set to stand up.	A boy is getting ready for a date.	1
Four girls playing soccer while the coach looks on.	Girls play soccer in the state tournament.	1
A man is sitting on a blue machine of some kind, on the side of the road.	A man is sitting on a large blue machine	1
Dog has mouth open in field.	The dog is panting from running.	1
A man in a blue boat on the water.	The man is going fishing.	1
A dog is jumping through the air in an open, snow covered field.	In a snow covered open field, a dog leaps over an ice puddle.	1
A wet man in a black tank top.	The man is part of a wet tshirt contest.	1
A man in a black shirt playing a guitar while another man watches.	the man is a player	1
A man attending to the front wheel of his motorcycle.	The man is stealing a tire from a motorcycle.	1
A rodeo rider on a bucking horse with a clown in the background.	A clown is riding the bucking horse.	1
A man and a woman both wearing blue shirts using a camera to take a picture of themselves in front of a fountain as a dark-haired woman passes by.	The woman is old	1
A dark headed man kneeling down beside of a yellow wall.	The man was taking a break after running.	1
A dog running across the snow with a snowball in its mouth.	A puppy is running outside during a white christmas.	1
The dollies and shipping containers create a roadway for the worker driving the vehicle.	The man is driving a forklift to unpack a shipping container.	1
A couple of people are standing and the person in the red coat is pointing at the body of water.	A couple of people are near a body of water.	1
A boy in green throws his left leg into a kick.	The boy is practicing his karate moves.	1
A woman has messy hair and her face and chest are covered in fake blood.	A woman covered in fake blood prepares to go out on stage.	1
A solo snowboarder swooshes down a mountain leaving a cloud of powdery snow in his wake.	The snowboarder was the only one of the mountain.	1
Smiling boy in tube, extending had toward camera.	A boy attempts to eat the camera.	1
A large group of seated people all looking in the same direction.	People are watching a movie in a movie theater.	1
three weirdly dressed men, playing in some form of musical fiasco.	People are confused about the weirdly dressed music trio.	1
The black dog is by a soccer ball and the brown dog is running.	Two dogs are playing outside.	1
The black dog is by a soccer ball and the brown dog is running.	People are trying to catch their dogs who wandered into a soccer game.	1
A man in a yellow shirt covered in sweat playing a guitar.	The man is singing a song.	1
A man is walking down a street with bicycles behind him.	A man is crossing the street in the middle of a bicycle race.	1
A man in a jersey stands in front of a large crowd.	The man is a basketball player.	1
A girl in pink slides down the slide at a playground.	A girl is sliding down the slide in the rain.	1
A little boy is playing in the water with a beautiful sunset and mountains in the background.	The boy is having a grilled hot dog.	2
An Asian street performing couple wearing black outfits with giant bowties are making funny gestures in front of an audience which is sitting on the sidewalk.	A couple are playing instruments on the street.	2
3 people wearing festive costumes and feathers dancing in a parade.	Some people are running in a marathon.	2
A guy filming dolls messes around with his camera.	A guy filming baby mice gets excited.	2
Workers erect a pavilion for an event in the park.	Workers build a stage for the outdoor concert.	2
A man in a red shirt walks past a store with a huge rocking chair.	The man does not see a giant rocking chair.	2
Children playing in a playground.	Some kids are playing in the livingroom.	2
A toddler in dirty jeans attempts to pull a younger child in a wagon.	Children are clean.	2
Two women both wearing white shirts and black pants, one smoking sitting on a fixture on the sidewalk.	Two women are wearing black shirts and white pants.	2
A man is taking a picture of a woman by a fountain.	A woman is photographing her husband near a fountain.	2
One motorcyclist speeds away from a parked motorcyclist along a drag strip.	The people in sports cars are racing.	2
A woman in black is explaining a diagram.	A woman is burning down a diagram.	2
Two men and a woman walking together.	Two girls and three men are running together.	2
A teenage girl with short brown hair knits with large needles and gray yarn.	A boy knots.	2
A man with helmet stands in front of a building	The man is inside the building	2
Workers cleaning a set of statues and the surrounding steps.	Men sitting on the bench.	2
Cheerleaders throw girl in air.	Cheerleaders are lifting up their arms	2
Group of cyclists spotted on an Asian highway.	Some cyclists are repairing their bikes.	2
An man cooks on his grill at sunset.	A man is baking a cake for his mother.	2
A woman in a black dress stands next to a pink bicycle.	The woman is wearing a pink dress and has a black bike.	2
Protesters run as gas grenades are thrown into the street.	The protesters are getting shot at by firearms.	2
A woman in a red dress covers another woman's eyes.	The two women are at opposite ends of the block.	2
A blond woman sitting with her legs crossed with her eyes closed.	A blond woman is jumping up and down	2
A man in a pink plaid shirt, holds a blue object, a green object and a red object that are often used for juggling.	An acrobat throws three objects in the air.	2
Two young girls playing together.	Two young girls not playing	2
A man with no shirt plays basketball.	A woman with no shirt plays basketball.	2
Two dogs play with each other outside.	Four dogs played at the park.	2
A lady in a bright pink shirt is pulling a hot food cart.	A lady smiling for a photograph.	2
a child reaches up into the air as a woman stands to his left and another person is seen wearing jeans to his right	There are three children.	2
A man wearing a blue sweater and collared undershirt is playing the board game Risk	The man is wearing a red shirt.	2
People out enjoying drinks and conversation while sitting at an outdoor restaurant patio.	The people are sitting inside the restaurant.	2
Man wearing a gray jacket sitting on a green bench petting a black dog wearing a red collar.	A man is petting a golden retriever	2
