premise	hypothesis	label
Young kids with soccer gear on walking towards the camera.	Young kids walk towards the camera.	0
A man with sunglasses standing by a white and red building with a very blue sky above.	A man wearing sunglasses.	0
This man is wearing green and black equipment to ride his dirt bike.	This man is wearing equipment to ride his bike.	0
A black bird is resting on a power line.	The power line is acting as a perch for a bird.	0
A man using ski gear is jumping through the air near a brick building and blue guardrails.	A man is jumping.	0
Two people, male and female, dressed in office wear walking along a sidewalk.	there are some people in professional dress	0
A well dressed man with glasses working with an open piano.	A man is working on a piano.	0
Two dogs playing in the water.	The dogs are wet.	0
A woman with sunglasses on is on a bicycle and is looking at the camera with a smile on her face.	A woman is enjoying a sunny day in a park.	1
A woman being flipped in a taekwondo competition	A sexy woman being flipped in a martial arts competition.	1
A man in a suit gives a presentation to a crowd of people.	The man is very important.	1
A group of people are organizing their chinese lanterns.	People organize their lanterns for an event.	1
Man airing up his back bicycle tire and hoping it will hold.	The man is working on his bike.	1
People sit on a bench by the pool.	People are near water.	1
The woman with blond-hair holds her sunglasses.	She is at the beach	1
A man in a blue shirt chipping ice off of a block while a man in tan cleans up the shavings.	A man is creating an ice sculpture.	1
A group of people are riding on a tour bus and viewing something interesting out the window.	A group of people are being led on a musem tour.	2
A bearded man wearing sunglasses is preparing food.	A woman is washing the dishes.	2
A rugby player in a white and red jersey shakes a tackle from a member of the opposing blue team.	A guy in a basketball uniform helps the cheerleaders perform their routine.	2
A large group of sports players in green and white uniforms line up behind a couple trophies.	Babies line up.	2
A girl wearing a pink skateboard helmet is riding in a skateboard bowl.	The girl with the blue helmet is riding her bike.	2
A person fishes alone off of a dock as the sun sits on the horizon.	A woman is skinning a deer.	2
A casual family stroll by the water.	A man is playing a video game with his son.	2
A young woman and her daughter play with a blue and white beach ball in the grass.	Females are sleeping in their beds.	2
