	sentence	label
0	whether noam chomsky , the mit linguist and political philosopher , is the most important intellectual alive , as the new york times once famously called him , is open for debate .	0
1	meanwhile , una makes herself being fired in the supermarket .	0
2	the result of a weekend affair he had back at the height of his fame produced olivia , a newpaper delivery girl for the south wales echo .	0
3	forced to exist between living and dead , and only revealing their skeleton forms in the moonlight , the pirates intend to use elizabeth 's blood and necklace ( a part of their curse ) to return to their normal state .	0
4	jack ( samuel l . jackson ) finds himself being held hostage while the criminals decide what to do with him , and the leader 's beautiful girlfriend , erin ( milla jovovich ) , is left alone to watch jack .	0
5	only nurse bloom knows the spells to ensure that the child will see benevolent spirits , not evil ones , but she has n't bargained for lena 's mother , who scoffs at 'old time ideas ' and discreetly disposes of the special tea the nurse has brewed .	0
6	fraud feathers and fairies ( one of the stories from the 'red rock ' trilogy of stage plays ) is based on the california gold rush era in the mythical town of red rock .	0
7	a young man ( keanu reeves ) plays a doctor caring for a man ( nicholson ) , who suffers a heart attack at the house of his young girlfriend 's mother ( keaton ) .	0
8	in converging with angels , a world-weary sex worker ( dylan thomas ) impulsively takes in a drunk , fragile young woman who is in distress ( allison campbell ) , hoping to force some measure of redemption in a life that is financially comfortable , but morally and spiritually bankrupt .	0
9	john klein ( richard gere ) , a washington newspaper reporter leaves his job after his wife ( debra messing ) dies to investigate strange reports , including psychic visions ( `` prophecies `` ) and sightings of winged creatures ( `` mothmen `` ) , in a small west virginia town , that may be the signs of an alien invasion of earth . . .	0
10	at the same time other changes in sumo are being prompted by its growing popularity in the west , where its adherents are lobbying for sumo 's inclusion in the olympic games even as other promoters are arranging amateur sumo tournaments in venues like las vegas casinos - tournaments that not surprisingly bear little resemblance to the sport 's japanese forebear .	0
11	once again , the case seems to be solved with this spectacular arrest .	0
12	the colorful cast of characters includes the addlepated cafe owner , freddy , picasso 's sexy young femme dujour , his pompous art dealer , and a mysterious visitor from the future .	0
13	he follows a new suspect , huh , and eventually catches him in the act of brutally murdering a woman in a crowded techno bar .	0
14	a mythic motorcycle tale of father and son `` , this is the story of manuel galloway ( fishburne ) , also known as `` the king of cali `` , the president of a motorcycle club whose members are all african-american men , mostly white-collar workers who exchange their suits and ties at night and on weekends for leather outfits and motorcycle helmets .	0
15	two angels realize that the babies have been switched , and decide to try and find the antichrist and prevent the end of the world .	0
16	he tells her to keep fighting for her goals but still to compromise .	0
17	he has no life ( lives at home with his mother ) and no reason to live .	0
18	it deals with a whole lot of fun , romance and suspense .	0
19	so when a jamaican family move in next door and build a cricket net in the back garden , david is in seventh heaven .	0
20	raja also manages to go to malaysia with them .	0
21	in a small fishing village an established fishmonger , davis , starts to have his supply bought from under him by new boy alan leech .	0
22	awaking , he meets manny , a mammoth who travels to the north , and decides to follow him .	0
23	he is a homeless street performer who brings shakespeare 's soliloquies to life each afternoon on various street corners around the city of denver .	0
24	while in jail they usually have fights with the security guard , a overweight lunatic .	0
25	the story follows a visit to bobby by his mother .	0
26	when she decides to cancel her only holiday with tor and go on a self-development course with per instead , the passive bystander tor realises he 's going to have to stand up and be a man .	0
27	'grasp ' is a darkly humorous mystery peppered with some truly surreal visuals .	0
28	when wei is promoted from the rank of nightclub parking valet to the rank of debt-collector in brother gu 's gang , he persuades his boss to hire jie to work alongside him .	0
29	'nine dead gay guys ' is the outrageous but hilarious result of the ensuing caper as the lads begin the search for the elusive bed .	0
30	this was just after the offensive against the taliban forces had started .	0
31	max is surrounded by treachery and can trust no one , including natalie , the dangerously beautiful cia agent assigned to watch over him .	0
32	but will 's drive for the brass ring hits a last-minute obstacle when his mistress suddenly vanishes - with the capital for his latest plans for expansion .	0
33	a love triangle forms , with rachael , the least interested and keen to leave , but clues to her mothers whereabouts appear , as do her own problems which both rafe and matt wish to help with .	0
34	the plan goes by smoothly , but troubles comes when ray actually falls in love with eva .	0
35	durval and celia are charmed by the child at first , but soon they see some sad news about celia and kiki on tv that will change the whole situation .	0
36	he moves around the urban landscape from park bench to bus bench with his best friend , an aging dog named bones .	0
37	however , when one of the lads accidentally shags a punter ( steven berkoff ) to death , they are forced to look for 'work ' elsewhere .	0
38	but they 're also so much more , as you 'll find out in deborah dickson 's powerful and intimate documentary .	0
39	shy tonho dreams of being successful , but misses his family and brazil .	0
40	ultimately she discovers that what appears on the surface to be true quite often is not .	0
41	2 . a cranny , hollow , or crevice , as in a rock .	0
42	when a depressed marketing executive goes to a psychiatrist for help , he discovers the doctor is crazier than he is .	0
43	steve quickly discovers that burt can not even provide temporary lodging , but an administrator at his new high school directs him to a shelter for runaway kids where he soon learns to navigate his way .	0
44	picard and the enterprise can escape , only to find themselves battling shinzons completely cloaked warbird , who is after the complete destruction of earth .	0
45	one horrible night , kimberly mathews , a random girl from the nearby town , wanders too close to willy 's territory .	0
46	they all dream about finding their prince charming , and all too often settle for the frog .	0
47	it captures the spirit of a small , country town as its citizens discover that beer definitely tastes better when it 's free .	0
48	it is only natural for `` the shu `` to flourish under the care of corrupt and powerful men like battista .	0
49	unfortunately , her plan goes wrong , and she actually kills herself .	0
50	suffering from his flashbacks , vince does n't realize that ellen has also disappeared from the cemetery , right before his eyes .	0
51	aka birdseye is the saga of an obsessive colorado sheriff and his trusting teenage son , who risk it all when their twisted reconstruction of a mysterious kidnapping case escalates into a dangerous hunt for a mythical swiss criminal .	0
52	the film is a poignant story about a unique relationship between a grandfather and his grandson before the boys bar mitzvah .	0
53	the war of the ring has now begun . . .	0
54	it is a study of dark forces lurking in the lives of teenagers today .	0
55	francis takes advantage of his wife success and reputation to bring his ambitious casino project of its feet .	0
56	their reporting becomes more compelling when they gather the courage to tell the truth about witnessing two of their peers throw a four-year-old out of a 14th story window .	0
57	semi-improvised on the streets of liverpool , dan reed 's drama brings the true face of britain 's underworld to light .	0
58	a counterfeit 1000 tomin bank note is passed in a bazaar .	0
59	'brass tacks ' is a 35mm feature length , narrative drama .	0
60	besides a few survivors , the only two who know about freddy 's plans are teenagers lori ( monica keena ) and will ( jason ritter ) .	0
61	at the same time , scientist and businessman norman osborn , after exposure to an experimental nerve gas , develops an alternate personality himself ; the super-strong , psychotic green goblin !	0
62	the story captures the dilemma of gifted musicians turning music into a professional career without losing artistic integrity and soul .	0
63	the story follows a year in the life of the hemples , a family that takes home schooling to an extreme - and has for generations .	0
64	a reasonably efficient mechanism , but it offers few surprises and finds its stars slumming in territory they should have avoided .	1
65	the stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble .	1
66	it almost plays like solaris , but with guns and jokes .	1
67	. . . you can be forgiven for realizing that you 've spent the past 20 minutes looking at your watch and waiting for frida to just die already .	1
68	a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor .	1
69	the only fun part of the movie is playing the obvious game . you try to guess the order in which the kids in the house will be gored .	1
70	there 's a disturbing 'great white hope ' undertone to the other side of heaven that subtly undermines its message of christian love and compassion .	1
71	gorgeous to look at but insufferably tedious and turgid . . . a curiously constricted epic .	1
72	rife with nutty cliches and far too much dialogue .	1
73	confessions is without a doubt a memorable directorial debut from king hunk .	1
74	so infectious , so colorful , so exhilarating , that you almost forget that at its core , it 's merely a curry-inflected remake of father of the bride , with snippets of other films thrown in .	1
75	a well-done film of a self-reflexive , philosophical nature .	1
76	ben affleck as jack ryan , tom clancy 's intrepid hero ? ridiculous . what 's next ? d . j . qualls as indiana jones ? or tom green as han solo ?	1
77	coarse , cliched and clunky , this trifling romantic comedy in which opposites attract for no better reason than that the screenplay demands it squanders the charms of stars hugh grant and sandra bullock .	1
78	sean penn , you owe nicolas cage an apology .	1
79	a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .	1
80	morrissette has performed a difficult task indeed - he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating .	1
81	this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short .	1
