	question	option1	option2	label
0	To reduce eye puffiness naturally.	Just put a metal spoon in the fridge overnight and when you wake up use it to reduce puffiness around tired eyes.	Just put a metal spoon in the oven overnight and when you wake up use it to reduce puffiness around tired eyes.	0
1	how to check meat for doneness	use an instant read thermometer	cut into the meat, if it's not done stick back in the pan	0
2	To tell your right and left ear buds apart without looking	Tie a small knot at the speaker end of the left hand one.	Tie a small knot at the connecting end of the left hand one.	0
3	How can you get an Umbrella in a downpour?	Step into a bar.  Ask if there are any umbrellas in lost and found.  Leave them a nice tip and take your new umbrella.	Step into a Phone booth.  Ask if there are any umbrellas in lost and found.  Leave them a nice tip and take your new umbrella.	0
4	Add fluff to blankets.	Throw in tennis balls when drying blankets.	Throw in golf balls when drying blankets.	0
5	what to use as a base for sauces	make a roux	make a salad dressing	0
6	Deodorize fish smell in kitchen.	Simmer pot of water with cinnamon sticks.	Simmer pot of water with chop sticks.	0
7	To chop basil	Stack basil leaves and roll into a cigarette. Slice leaves crosswise in a rocking motion with a sharp chef's knife to make thin ribbons..	Stack basil leaves and roll into a cigarette. Slice leaves lengthways in a rocking motion with a sharp chef's knife to make thin ribbons..	0
8	When cleaning up an oil spill on concrete, what is the best procedure?	Use dog litter to soak up the spill, then dispose of the dirty litter properly.	Use cat litter to soak up the spill, then dispose of the dirty litter properly.	1
9	What electronic parts are easiest to solder?	"Soldering products called ""surface to surface"" are the easiest for beginners."	"Soldering products called ""through hole"" are the easiest for beginners."	1
10	how do you cremate something?	burn it for five seconds.	burn it to ashes.	1
11	Measure something without a ruler.	Use a stack of rolled quarters.	Use a dollar bill which is 6 inches long.	1
12	How to create slingshot pellets	Tear a piece of paper in half until it is rectangular in shape and thick enough. Then fold the rectangle in half so that the rubber band is able to be held back with it.	Fold a piece of paper in half until it is rectangular in shape and thick enough. Then fold the rectangle in half so that the rubber band is able to be held back with it.	1
13	how to sharpen scissors	Sandpaper will sharpen your tongs easily – just by cutting through it several times. Medium grit works the best for this application.	Sandpaper will sharpen your scissors easily – just by cutting through it several times. Medium grit works the best for this application.	1
14	how do you wear underwear?	over your pants.	underneath your pants.	1
15	To make it easier to paint a board,	make the board rough first by sanding it down with a fine grit sandpaper.	make the board smooth first by sanding it down with a fine grit sandpaper.	1
