	question	option1	option2	label
0	How to clean glass windows.	In a spray bottle, mix 50% distilled vinegar and 50% tap water. Spray on window. Let it set for a few minutes then wipe clean with dry cloth.	In a spray bottle, mix 50% distilled vinegar and 50% tap water. Spray on window. Let it set for an hour then wipe clean with dry cloth.	0
1	To create your own sanding block, you can	Glue a piece of sandpaper to a block of wood	Glue a piece of sandpaper to a stack of paper	0
2	make spicy chocolate chip bark	1 12 - ounce package semisweet chocolate pieces    2 cups finely crushed corn tortilla chips*    1 -2 teaspoons crushed red pepper (optional)    directions    In a medium bowl, microwave chocolate for 1 minute. Stir. Continue to microwave and stir at 20-second intervals, until smooth. Stir in tortilla chips.    Spread or pat mixture on a parchment-lined baking sheet to a 12x8-inch rectangle (mixture will be thick). Sprinkle with crushed red pepper, if desired.    Freeze 15 minutes. Break into pieces. Store in refrigerator up to 5 days.	1 12 - ounce package semisweet chocolate pieces    2 cups finely crushed corn tortilla chips*    1 -2 cups crushed red pepper (optional)    directions    In a medium bowl, microwave chocolate for 1 minute. Stir. Continue to microwave and stir at 20-second intervals, until smooth. Stir in tortilla chips.    Spread or pat mixture on a parchment-lined baking sheet to a 12x8-inch rectangle (mixture will be thick). Sprinkle with crushed red pepper, if desired.    Freeze 15 minutes. Break into pieces. Store in refrigerator up to 5 days.	0
3	How do I shovel snow and not hurt my back?	Bend your knees and lift with your legs. As you lift the snow, keep the shovel blade close to you, to reduce back strain. Switch off between snow shoveling right-handed and left-handed, so that you're working different muscles.	Bend your knees and lift with your legs. As you lift the snow, keep the shovel blade away from you, to reduce back strain. Switch off between snow shoveling right-handed and left-handed, so that you're working different muscles.	0
4	How to make a cold cut sandwich.	Start with piece of bread, ad condiment such as mayo, ad preferred lunch meats, ad your choices of tomato, pickles, lettuce, peppers etc, top with another piece of bread.	Start with piece of bread, ad condiment such as mayo, ad preferred lunch meats, ad your choices of tomato, pickles, lettuce, peppers etc, top with another piece of bread and cook in microwave.	0
5	To separate egg yolks from egg whites for a recipe, you can	Crack the egg and carefully catch the yolk in the shell	Crack the egg and carefully catch the white in the shell	0
6	how to keep your pipes from freezing in the winter	open any cabinet doors covering plumbing in the kitchen and bathroom.	open any cabinet knobs and drawers covering plumbing in the kitchen and bathroom.	0
7	knees	can support a child 	can support a tv 	0
8	fingernails	can be hidden in a  floor 	can be hidden in a  dresser 	1
9	how do you use milk with cereal?	take a bite of cereal, then a sip of milk.	pour the milk into the cereal bowl.	1
10	glass	can cut wood easily.	can cut skin easily.	1
11	To make a recycled wrapping paper wreath	Attach strips of wrapping paper to a plastic coat hangar.	Attach strips of wrapping paper to a bent wire coat hangar.	1
12	To limit the moment of inertia that can come for a poorly packed backpack.	Pack heavy items as far away as possible from your back.	Pack heavy items as close as possible from your back.	1
13	Make a colored pencil case.	Place in CD case.	Place in DVD case.	1
14	how to sanitize a kitchen sponge?	soak in lemon juice, and dry with a hairdryer.	soak for five minutes in a quart of water and 3 tablespoons of bleach.	1
15	How do you clean a cast iron skillet?	Wipe interior surface of still-warm skillet with paper towels to remove any excess food and oil. Rinse under cold running water, scrubbing with nonmetal brush or nonabrasive scrub pad to remove any traces of food.	Wipe interior surface of still-warm skillet with paper towels to remove any excess food and oil. Rinse under hot running water, scrubbing with nonmetal brush or nonabrasive scrub pad to remove any traces of food.	1
