	question	option1	option2	label
0	Make a tea fountain leak proof so it functions properly	Once you have drilled holes for your pump and water line. Insert water line, apply silicone and allow to dry 24 hours to prevent leaks around the lines and drilled holes	Once you have drilled holes for your pump and water line. Insert water line,  silicone holes shut and allow to dry 24 hours to prevent leaks around the lines and drilled holes	0
1	To bake the best sponge cake.	Always use the freshest eggs possible. The whites of fresh eggs will whip up into a frenzy of air, whereas older eggs struggle to hold it together.	Always use the freshest eggs possible. The whites of fresh eggs will whip up into a frenzy of air, whereas older eggs struggle to cook at all.	0
2	how to fake a window shadow?	cut out shapes in a piece of cardboard.	use a light bulb and a piece of led strip lighting.	0
3	How do you repair a broken statue?	Use super glue.	Use glue paste.	0
4	plastic bottle	can contain water and other things 	can contain water indefinitely 	0
5	Remove stuck ringer finger.	Apply butter around finger.	Apply sugar around finger.	0
6	make quinoa	Rinse quinoa in a fine mesh sieve until water runs clear, drain and transfer to a medium pot. Add 2 cups water and salt and bring to a boil. Cover, reduce heat to medium low and simmer until water is absorbed, 15 to 20 minutes. Set aside off the heat for 5 minutes; uncover and fluff with a fork.	Rinse quinoa in a fine mesh sleeve until water runs clear, drain and transfer to a medium pot. Add 2 cups water and salt and bring to a boil. Cover, reduce heat to medium low and simmer until water is absorbed, 15 to 20 minutes. Set aside off the heat for 5 minutes; uncover and fluff with a fork.	0
7	how do you tackle someone?	run at them full speed	jump on them.	0
8	How to refill a hole in your garden	Use a gardening shovel to refill the dirt	Use a gardening hose to refill the dirt	0
9	how do you follow a road?	walk down the road and don't turn.	walk beside the road and don't turn.	0
10	To find the perfect temperature to cook pizza at	Set the oven between 450-500 degrees.	Slow cook the dough at about 200 degrees for 30 minutes.	0
11	How do you clean the sole of white shoes?	Remove excess dirt with a paper towel dipped in warm water. Use a tooth brush to scrub with dish soap. Wipe dry with a towel. Repeat as needed.	Remove excess dirt with a straw  dipped in warm water. Use a tooth brush to scrub with dish soap. Wipe dry with a towel. Repeat as needed.	0
12	television tray	can be embroidered with a kerchief 	can be embroidered with a night stand 	0
13	How do I make sure that the cookies are all the same size?	Use a small ice cream scoop to scoop out the dough and put it on the cookie sheet.	Use a slotted spoon to scoop out the dough and put it on the cookie sheet.	0
14	To rinse spare ribs to begin using them for a recipe, you can	Give them a gentle rinse under cold water	Give them a gentle rinse under boiling water	0
15	How do I remove a door from its hinges?	Use a punch to remove the hinge pins.	Break off the hinges with a sledge hammer.	0
16	To update android mobile application.	Search for the application to be updated and click on it to download the update.	Open the play store application and navigate to update the application	1
17	To get soil and roots to release gently from germination bed.	Bang the outside of the pot.	Rub the outside of the pot.	1
18	vise grip	instead of tissue tissue 	holding  tissue 	1
19	How to quickly melt chocolate bars?	Forgo the double boiler and crack the chocolate into a microwave safe bowl and heat for 15 minutes, stop and stir the chocolate then repeat every 15 minutes until melted	Forgo the double boiler and crack the chocolate into a microwave safe bowl and heat for 15 seconds, stop and stir the chocolate then repeat every 15 seconds until melted	1
20	To puree bananas together, you can	Place them in a food dehydrator	Place them in a food processor	1
21	How to plant Roses so they grow well?	All roses grow best in full sun with moist, well-drained soil that's rich in organic matter. Make sure your roses get at least 6 hours of indirect sun a day; if they get less light, the plants won't bloom as well and will be more susceptible to attack from pests and diseases.	All roses grow best in full sun with moist, well-drained soil that's rich in organic matter. Make sure your roses get at least 6 hours of direct sun a day; if they get less light, the plants won't bloom as well and will be more susceptible to attack from pests and diseases.	1
22	How do you put on a pillow case?	Hold the pillow case by the open end and flap it to fluff it up, hold the pillow near the unopened end and stuff over the pillow case, shaking during the process to make sure it is all the way in.	Hold the pillow case by the open end and flap it to fluff it up, hold the pillow near the open end and stuff into the pillow case, shaking during the process to make sure it is all the way in.	1
23	Reduce weight gain when eating.	Eat a meal with a fast pace.	Eat a meal with a slow pace.	1
24	How to mark wood measurements.	Measure the wood using a measuring cup and mark with a marker.	Measure the wood using a tape measure and mark with a marker.	1
25	How to safely saw through wood to split it?	Place the wood on a counter top and saw through the wood, then place in a vice grip	Place the wood in a vice grip and make sure it is steady then saw the wood as desired	1
26	how do you prove you're you at an airport?	show them your social security card.	show them your id	1
27	To easily recreate an image many times repeatedly,	try and memorize the proportions and quickly draw them again	recreate the image with a stencil and then spray paint over it.	1
28	To cover edible flowers with egg white evenly.	Beat the egg white in a small bowl just a bit, until slightly foamy. The aim is to break the albumen completely without whisking much air in. This will help you cover the petals evenly. Hold the flower with one hand, dip the paint brush into the egg white and cover the flower like you were painting it. Cover both sides of the petals completely but with a thick layer.	Beat the egg white in a small bowl just a bit, until slightly foamy. The aim is to break the albumen completely without whisking much air in. This will help you cover the petals evenly. Hold the flower with one hand, dip the paint brush into the egg white and cover the flower like you were painting it. Cover both sides of the petals completely but with a thin layer.	1
29	To check if a piece of chicken is cooked all the way through,	insert a meat thermometer into the middle of the breast and check for 50 degrees.	insert a meat thermometer into the middle of the breast and check for 165 degrees.	1
30	How to prepare rainwater for cooking or drinking?	Use a large saucepan to store the water and then cool it in the fridge to use	Use a large saucepan to boil the water and then cool it in the fridge to use	1
31	how do you turn off an iphone alarm?	press the repeat button on the screen.	press the stop button on the screen	1
